PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Sri Sanctuary,Sale,3400000.0,9,6,7320,Afnee .
Sri Sanctuary,Sale,1970000.0,6,5,3756,Jessica Yong
Sri Sanctuary,Sale,1600000.0,4,4,3500,Bernice Wong
Seri Mutiara,Sale,1780000.0,5,5,3500,Jayden Yee
The Peak Taman TAR,Sale,4600000.0,6,5,8500,Shiqin Saidin
The Peak Taman TAR,Sale,8500000.0,5,9,10500,Eugene Yap
The Peak Taman TAR,Sale,8844640.0,,,16688,Jennifer Poon
The Peak Taman TAR,Sale,7392440.0,,,13948,Jennifer Poon
The Peak Taman TAR,Sale,21655070.0,,,32321,Jennifer Poon
The Peak Taman TAR,Sale,21655070.0,,,32321,Jennifer Poon
The Peak Taman TAR,Sale,7227375.0,,,19273,Jennifer Poon
The Peak Taman TAR,Sale,1400000.0,7,7,1920,Farhan Rahman
The Peak Taman TAR,Sale,6500000.0,10,9,12452,Mohd Azlan Shah
The Peak Taman TAR,Sale,3883100.0,,,14935,Franca Teh
The Peak Taman TAR,Sale,7300000.0,10,9,12450,Franca Teh
The Peak Taman TAR,Sale,4603600.0,,,11509,Franca Teh
The Peak Taman TAR,Sale,3700000.0,6,5,4000,Afifi Mohd Noor
The Peak Taman TAR,Sale,5184000.0,5,6,9182,Alan Ho
The Peak Taman TAR,Sale,3000000.0,7,7,6500,Afnee .
The Peak Taman TAR,Sale,6500000.0,10,9,12450,Iqbal Rafei
The Peak Taman TAR,Sale,3824000.0,,,15296,Nizam Shoib
The Peak Taman TAR,Sale,8500000.0,5,9,10500,Nizam Shoib
The Peak Taman TAR,Sale,6500000.0,10,10,12452,Ken Loo
The Peak Taman TAR,Sale,6500000.0,10,9,12451,Zaiful Ismail
The Peak Taman TAR,Sale,6500000.0,10,9,12452,Fazli Shahar
The Peak Taman TAR,Sale,5376000.0,,,14935,Wallace Yap
The Peak Taman TAR,Sale,4488000.0,,,10687,Wallace Yap
The Peak Taman TAR,Sale,4251500.0,,,17006,FAHMI TAPCKL
The Peak Taman TAR,Sale,1600000.0,6,5,4800,Nasrul Afiq Hamzah
The Peak Taman TAR,Sale,4638000.0,,,15460,Kelson How Kai Sheng
The Peak Taman TAR,Sale,4488540.0,,,10687,Kelson How Kai Sheng
The Peak Taman TAR,Sale,4385260.0,,,14146,Kelson How Kai Sheng
The Peak Taman TAR,Sale,4251500.0,,,17006,Kelson How Kai Sheng
The Peak Taman TAR,Sale,4539250.0,,,18157,Kelson How Kai Sheng
The Peak Taman TAR,Sale,6319970.0,,,20387,Kelson How Kai Sheng
The Peak Taman TAR,Sale,7299990.0,,,27037,Kelson How Kai Sheng
The Peak Taman TAR,Sale,4624050.0,,,15945,Kelson How Kai Sheng
The Peak Taman TAR,Sale,5376600.0,,,14935,Kelson How Kai Sheng
The Peak Taman TAR,Sale,3780000.0,,,10500,Nizam Shoib
The Peak Taman TAR,Sale,6500000.0,10,9,12450,Andi Tee
The Peak Taman TAR,Sale,5184000.0,5,6,9182,Allan Ho
The Peak Taman TAR,Sale,6500000.0,10,9,12452,Zay Zaiha
The Peak Taman TAR,Sale,6500000.0,10,9,12452,Ken Loo
The Peak Taman TAR,Sale,6500000.0,10,9,12452,Afiq Anuar
The Peak Taman TAR,Sale,7299000.0,,,27037,Wallace Yap
The Peak Taman TAR,Sale,6300000.0,,,20387,Wallace Yap
The Peak Taman TAR,Sale,8500000.0,5,9,10500,Elaine Tan
The Peak Taman TAR,Sale,6500000.0,10,8,12452,Mohd Safuan Sidin
The Peak Taman TAR,Sale,6500000.0,10,9,12452,Abdul Rahim
The Peak Taman TAR,Sale,6500000.0,10,9,12452,Arif Mustapha
The Peak Taman TAR,Sale,6500000.0,10,9,9000,Sarliza Jafar
The Peak Taman TAR,Sale,4488540.0,,,10687,Andi Tee
The Peak Taman TAR,Sale,6500000.0,10,9,12451,Patrick Oon
The Peak Taman TAR,Rent,15000.0,5,4,4500,Vincent Yong
Taman Taynton View,Sale,860000.0,4,3,2000,Kevin Yai
Taman Taynton View,Sale,950000.0,4,3,2000,Kevin Yai
Taman Taynton View,Sale,1200000.0,4,3,2800,Kevin Yai
Taman Taynton View,Sale,870000.0,9,9,2400,Dominic Chandran
Taman Taynton View,Sale,3200000.0,4,4,4800,Fred Chai Meng Foong
Taman Taynton View,Sale,1500000.0,4,3,2572,Kevin Yai
Taman Taynton View,Sale,519000.0,3,2,1650,Vincent Tan
