PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
๋๋Jambul Hill Residences,Sale,2100000.0,5,5,3950,Ivan Chia
๋๋Jambul Hill Residences,Sale,1980000.0,4,5,3459,Edwin Ng
๋๋Jambul Hill Residences,Sale,2000000.0,5,5,3450,Pen Teo
๋๋Jambul Hill Residences,Sale,1700000.0,5,5,3450,Zhonl Saw Boon Loong
๋๋Jambul Hill Residences,Sale,1700000.0,5,5,2700,Ivan Chia
Richmont Residences,Sale,1080000.0,6,7,2700,Alex Cheah
Richmont Residences,Sale,1080000.0,6,7,2700,Max Tay
Richmont Residences,Sale,1080000.0,6,7,2700,Elaine Yeoh
Richmont Residences,Sale,1080000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1150000.0,6,7,2700,Fibo Law
Richmont Residences,Sale,1150000.0,6,7,2700,Nigel Cheon
Richmont Residences,Sale,1080000.0,6,7,2700,Jia Yong
Richmont Residences,Sale,1080000.0,6,7,2700,Correen Lee
Richmont Residences,Sale,1080000.0,6,7,2700,Jia Yong
Richmont Residences,Sale,5880000.0,6,7,7000,Camillus Chai
Richmont Residences,Sale,1080000.0,6,6,2700,Tracy Tan
Richmont Residences,Sale,1080000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1150000.0,6,6,3000,Loh EC
Richmont Residences,Sale,1100000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1080000.0,6,7,2700,Alex Cheah
Richmont Residences,Sale,1200000.0,6,6,2700,Jerome Eng
Richmont Residences,Sale,1150000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1200000.0,5,5,2700,Zhonl Saw Boon Loong
Medan York @ Georgetown,Sale,3950000.0,7,8,6068,Amos Sin
Medan York @ Georgetown,Sale,2800000.0,4,3,3500,Amos Sin
Medan York @ Georgetown,Sale,6000000.0,6,6,4000,Amos Sin
Medan York @ Georgetown,Sale,6000000.0,4,3,4200,Elaine Ooi
Medan York @ Georgetown,Sale,5800000.0,5,3,4500,Elaine Ooi
Medan York @ Georgetown,Sale,6000000.0,4,3,4000,Elaine Ooi
Medan York @ Georgetown,Sale,2800000.0,4,3,3500,CT CHAI
Medan York @ Georgetown,Sale,6000000.0,6,6,7810,CT CHAI
Medan York @ Georgetown,Sale,5800000.0,6,6,4000,Fennie Seow
Medan York @ Georgetown,Sale,3990005.0,5,6,4500,Welson Teh
Medan York @ Georgetown,Rent,5800.0,6,6,4000,Irene Goh
Ferringhi Villa,Sale,2450000.0,4,4,3500,Dave Soon
Ferringhi Villa,Sale,1600000.0,4,2,2500,Marcus Sim
Ferringhi Villa,Sale,1280000.0,5,6,3000,Marcus Sim
Ferringhi Villa,Sale,2200000.0,4,3,4200,Arissa Phuan
Ferringhi Villa,Sale,1599999.0,4,2,2440,Kenneth Kung
Ferringhi Villa,Sale,1580000.0,5,4,3500,Welson Teh
Ferringhi Villa,Sale,2600000.0,4,3,4000,Chew SA
Ferringhi Villa,Sale,2600000.0,4,3,9000,Rex Tung
Ferringhi Villa,Sale,1400000.0,3,3,1700,Marcus Sim
Ferringhi Villa,Sale,2600000.0,4,3,3800,Marcus Sim
Ferringhi Villa,Sale,2000000.0,4,3,2900,KK Kwok
Ferringhi Villa,Sale,1700000.0,4,3,2040,Eva Liew
Ferringhi Villa,Sale,1950000.0,4,3,3800,George Er
Ferringhi Villa,Sale,2380000.0,4,3,3800,George Er
Ferringhi Villa,Sale,2000000.0,5,3,3400,Eva Liew
Ferringhi Villa,Sale,1680000.0,5,2,2900,Eva Liew
Ferringhi Villa,Sale,2450000.0,4,2,3280,Eva Liew
Ferringhi Villa,Sale,2600000.0,5,6,4500,Eva Liew
Ferringhi Villa,Sale,1950000.0,4,3,2900,Eva Liew
Ferringhi Villa,Sale,1900000.0,6,3,3500,Eva Liew
Ferringhi Villa,Sale,1400000.0,4,3,1700,Gene Lim
Ferringhi Villa,Sale,2000000.0,5,4,3750,Rex Tung
Ferringhi Villa,Sale,2200000.0,4,2,3500,Sam Khoo
Ferringhi Villa,Sale,1350000.0,4,2,3000,Siang .
Ferringhi Villa,Sale,2800000.0,4,3,3380,KK Kwok
Ferringhi Villa,Sale,1990000.0,3,3,1671,KK Kwok
Ferringhi Villa,Sale,1950000.0,4,3,2900,Chris Teoh
Ferringhi Villa,Sale,4500000.0,5,5,4500,KK Kwok
Ferringhi Villa,Sale,2480000.0,6,7,5000,KK Kwok
Ferringhi Villa,Sale,1580000.0,5,2,2200,Loh CL
Ferringhi Villa,Sale,2600000.0,5,4,4000,KH Lim
Ferringhi Villa,Sale,1599000.0,4,4,2800,Heanry Lim
Ferringhi Villa,Sale,5380000.0,6,5,6000,Serena Tan
Ferringhi Villa,Sale,1550000.0,4,3,4100,Loh CL
Ferringhi Villa,Sale,1280000.0,5,6,3000,Marcus Sim
Ferringhi Villa,Sale,6500000.0,10,8,9000,Serena Tan
Ferringhi Villa,Sale,1580000.0,5,4,4000,Felicia Poh
Ferringhi Villa,Sale,1350000.0,4,2,3000,Siang .
Ferringhi Villa,Sale,1580000.0,5,2,2200,Alex Cheah
Ferringhi Villa,Sale,2600000.0,4,5,4000,Serena Neoh
Ferringhi Villa,Sale,1350000.0,4,2,3000,Siang .
Ferringhi Villa,Rent,2800.0,4,3,2500,Andrew Chong
Ferringhi Villa,Rent,3200.0,4,4,3500,Dave Soon
Ferringhi Villa,Rent,4000.0,5,5,4000,Xinnee .
Ferringhi Villa,Rent,5000.0,5,5,4000,Xinnee .
Ferringhi Villa,Rent,2800.0,4,3,2000,Xinnee .
Ferringhi Villa,Rent,2800.0,4,4,3400,Rex Tung
Ferringhi Villa,Rent,2800.0,4,3,3400,KK Kwok
Ferringhi Villa,Rent,2800.0,3,3,1700,Irene Goh
Ferringhi Villa,Rent,2800.0,5,3,2900,Eva Liew
Ferringhi Villa,Rent,2800.0,4,2,2200,Jason Lim
Ferringhi Villa,Rent,2800.0,4,3,2000,Danick Teoh
