PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Residensi Bukit Citra,Sale,328000.0,3,2,1033,Halil Husayni Samsinor
Residensi Bukit Citra,Sale,280000.0,3,2,1030,Maryam .
Residensi Bukit Citra,Sale,304000.0,3,2,1030,Siti Fairuz
"MesaHill, Putra Nilai",Sale,329888.0,3,2,720,Chong Yuen Kiong
"MesaHill, Putra Nilai",Sale,170000.0,1,1,350,Chong Yuen Kiong
"MesaHill, Putra Nilai",Sale,167000.0,Studio,Studio,350,Mike Tan
"MesaHill, Putra Nilai",Sale,280000.0,2,2,650,FT Lim
"MesaHill, Putra Nilai",Sale,270000.0,2,1,460,Mike Tan
"MesaHill, Putra Nilai",Sale,270000.0,2,1,650,Mr Teoh .
"MesaHill, Putra Nilai",Sale,180000.0,1,1,350,Jemmy Rohani
"MesaHill, Putra Nilai",Sale,433800.0,4,4,2600,Eddy .
"MesaHill, Putra Nilai",Sale,260000.0,2,2,650,Chrix Soo
"MesaHill, Putra Nilai",Sale,170000.0,1,1,350,Chrix Soo
"MesaHill, Putra Nilai",Sale,250000.0,2,1,450,Chrix Soo
"MesaHill, Putra Nilai",Sale,270000.0,2,1,650,Chrix Soo
"MesaHill, Putra Nilai",Sale,165000.0,1,1,350,Chrix Soo
"MesaHill, Putra Nilai",Sale,330000.0,3,2,850,Chrix Soo
"MesaHill, Putra Nilai",Sale,285000.0,2,2,720,Chrix Soo
"MesaHill, Putra Nilai",Sale,230000.0,2,1,450,Chrix Soo
"MesaHill, Putra Nilai",Sale,210000.0,2,1,450,Chrix Soo
"MesaHill, Putra Nilai",Sale,280000.0,2,1,650,Chrix Soo
"MesaHill, Putra Nilai",Sale,180000.0,1,1,350,Selina Tee
"MesaHill, Putra Nilai",Sale,165000.0,1,1,350,Athena Cho
"MesaHill, Putra Nilai",Sale,175000.0,1,1,350,Jemmy Rohani
"MesaHill, Putra Nilai",Sale,163000.0,1,1,350,Wiliam Lim
"MesaHill, Putra Nilai",Sale,210000.0,2,1,450,Athena Cho
"MesaHill, Putra Nilai",Sale,250000.0,2,1,450,Athena Cho
"MesaHill, Putra Nilai",Sale,270000.0,2,1,650,Athena Cho
"MesaHill, Putra Nilai",Sale,170000.0,1,1,350,Athena Cho
"MesaHill, Putra Nilai",Sale,260000.0,2,1,650,Athena Cho
"MesaHill, Putra Nilai",Sale,330000.0,3,2,850,Athena Cho
"MesaHill, Putra Nilai",Sale,230000.0,2,1,450,Athena Cho
"MesaHill, Putra Nilai",Sale,285000.0,2,2,720,Athena Cho
"MesaHill, Putra Nilai",Sale,280000.0,2,1,650,Athena Cho
"MesaHill, Putra Nilai",Sale,190000.0,1,1,380,Calvin Chong
"MesaHill, Putra Nilai",Sale,288000.0,2,2,554,Calvin Chong
"MesaHill, Putra Nilai",Sale,210000.0,2,2,450,Jemmy Rohani
"MesaHill, Putra Nilai",Sale,280000.0,2,2,650,Jemmy Rohani
"MesaHill, Putra Nilai",Sale,350000.0,3,2,850,Jemmy Rohani
"MesaHill, Putra Nilai",Sale,200520.0,2,2,554,Kyla Kum
"MesaHill, Putra Nilai",Sale,190000.0,1,1,380,Calvin Chong
"MesaHill, Putra Nilai",Sale,288000.0,2,2,554,Calvin Chong
"MesaHill, Putra Nilai",Sale,190000.0,1,1,380,Calvin Chong
"MesaHill, Putra Nilai",Sale,288000.0,2,2,554,Amy Chin
"MesaHill, Putra Nilai",Sale,190000.0,1,1,380,Amy Chin
"MesaHill, Putra Nilai",Rent,999.0,2,2,650,Jayden Chek
"MesaHill, Putra Nilai",Rent,1300.0,2,2,720,Chong Yuen Kiong
"MesaHill, Putra Nilai",Rent,800.0,1,1,350,Chong Yuen Kiong
"MesaHill, Putra Nilai",Rent,1988.0,3,3,1085,Chong Yuen Kiong
"MesaHill, Putra Nilai",Rent,800.0,Studio,Studio,310,Chrix Soo
"MesaHill, Putra Nilai",Rent,800.0,Studio,Studio,350,Athena Cho
"MesaHill, Putra Nilai",Rent,1300.0,2,2,720,Mike Tan
"MesaHill, Putra Nilai",Rent,800.0,1,1,350,Chrix Soo
"MesaHill, Putra Nilai",Rent,800.0,1,1,350,Athena Cho
"MesaHill, Putra Nilai",Rent,1050.0,2,1,450,Mike Tan
"MesaHill, Putra Nilai",Rent,1300.0,2,2,720,Jenny YM Lee
"MesaHill, Putra Nilai",Rent,1200.0,2,2,650,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,800.0,1,1,350,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,899.0,2,1,450,Jayden Chek
"MesaHill, Putra Nilai",Rent,1199.0,2,2,720,Jayden Chek
"MesaHill, Putra Nilai",Rent,1400.0,3,3,1050,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,1000.0,2,2,650,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,800.0,1,1,350,Chrix Soo
"MesaHill, Putra Nilai",Rent,800.0,1,1,350,Athena Cho
"MesaHill, Putra Nilai",Rent,750.0,1,1,350,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,1200.0,1,1,460,Chrix Soo
"MesaHill, Putra Nilai",Rent,1000.0,2,1,650,Chrix Soo
"MesaHill, Putra Nilai",Rent,1000.0,2,1,650,Athena Cho
"MesaHill, Putra Nilai",Rent,1100.0,2,2,650,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,950.0,2,2,450,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,1200.0,2,1,650,Jeff Ng
"MesaHill, Putra Nilai",Rent,1200.0,2,1,460,Athena Cho
"MesaHill, Putra Nilai",Rent,1600.0,2,2,720,Hafiz Yusof
"MesaHill, Putra Nilai",Rent,1200.0,2,2,650,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,1200.0,2,2,720,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,750.0,1,1,350,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,1400.0,2,2,750,Hervin Raj
"MesaHill, Putra Nilai",Rent,699.0,1,1,350,Jayden Chek
"MesaHill, Putra Nilai",Rent,799.0,2,1,450,Jayden Chek
"MesaHill, Putra Nilai",Rent,1000.0,2,2,720,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,750.0,1,1,350,Selina Tee
"MesaHill, Putra Nilai",Rent,1200.0,2,2,720,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,750.0,1,1,350,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,900.0,2,2,450,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,1200.0,2,2,650,Jemmy Rohani
"MesaHill, Putra Nilai",Rent,1500.0,3,2,850,Jemmy Rohani
Starz Valley,Sale,350000.0,2,2,770,Azmi Othman
Starz Valley,Sale,313000.0,2,1,761,Dr. Laily Rashid
Starz Valley,Sale,168000.0,1,1,337,BC Lee
Starz Valley,Sale,339000.0,2,1,720,Ally Chong
Starz Valley,Sale,155000.0,1,1,301,Ainin Sofiya
Starz Valley,Sale,220000.0,1,1,549,Mike Tan
Starz Valley,Sale,297000.0,3,2,761,Yeong .
