PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Dato Senu,Sale,759000.0,6,4,2000,C. Y. Chin
Taman Dato Senu,Sale,220000.0,2,1,670,Nor Rimi Johari
Taman Dato Senu,Sale,220000.0,2,1,670,Nadia Rahim
Taman Dato Senu,Sale,185000.0,3,1,678,Firdaussazwan Mustafa
Taman Dato Senu,Sale,420000.0,3,2,1100,Teng Kee Min
Taman Dato Senu,Sale,180000.0,2,1,450,Justin Lim
Taman Dato Senu,Sale,420000.0,3,2,1000,Muhammad .
Taman Dato Senu,Sale,388000.0,3,2,1700,Rubaa Letchumanan
Taman Dato Senu,Sale,340000.0,3,2,750,Appni Lizar
Taman Dato Senu,Rent,1300.0,3,2,1500,Ahmad Fadli Ayub.
Taman Dato Senu,Rent,1600.0,3,2,1400,Sephine Kang
Taman Dato Senu,Rent,1600.0,3,2,1400,Steven Thong
Taman Dato Senu,Rent,1600.0,3,2,1400,Selvam .
Taman Dato Senu,Rent,1200.0,3,2,1750,Seri Nordin
Taman Dato Senu,Rent,1500.0,3,2,1100,Wiliam Lim
Taman Dato Senu,Rent,1500.0,3,2,1300,Chris Ling
Desa Setapak,Sale,550000.0,5,3,1326,Azrul Ismail
Desa Setapak,Sale,420000.0,4,3,1000,Rex Ng
Desa Setapak,Sale,380000.0,2,2,900,Rex Ng
Desa Setapak,Sale,390000.0,3,2,880,Aaron Ong
Desa Setapak,Sale,390000.0,3,2,770,King Wha
Desa Setapak,Sale,420000.0,3,2,1000,Zheng Hong Tan
Desa Setapak,Sale,390000.0,3,2,1000,Zheng Hong Tan
Desa Setapak,Sale,430000.0,3,2,588,Almon Yeap
Desa Setapak,Sale,450000.0,3,2,1036,Lucas Low
Desa Setapak,Sale,670000.0,4,3,2000,Lucas Low
Desa Setapak,Sale,580000.0,5,3,1056,Lucas Low
Desa Setapak,Sale,420000.0,3,2,1200,James Loh
Desa Setapak,Sale,390000.0,3,2,990,Benson Chong
Desa Setapak,Sale,418000.0,3,3,1100,Josephine Pea LS
Desa Setapak,Sale,420000.0,3,2,800,Ben Ng
Desa Setapak,Sale,390000.0,3,2,770,King Wha
Desa Setapak,Sale,675000.0,4,3,1600,Masnizah Arifin
Desa Setapak,Sale,400000.0,2,1,854,KAT NEOH
Desa Setapak,Sale,450000.0,3,2,1200,Shahrul Muhammad
Desa Setapak,Sale,630000.0,5,3,1100,GEE .
Desa Setapak,Sale,420000.0,3,3,900,Welson Moo
Desa Setapak,Sale,420000.0,3,3,1100,GEE .
Desa Setapak,Sale,400000.0,3,2,660,Brandon Chin
Desa Setapak,Sale,440000.0,3,2,1300,Brandon Chin
Desa Setapak,Sale,430000.0,3,2,1300,Brandon Chin
Desa Setapak,Sale,420000.0,3,2,1200,Brandon .
