PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Sunway Lenang Heights - Bungalow,Sale,1900000.0,6,7,3865,Patrick Lai
Sunway Lenang Heights - Bungalow,Sale,1900000.0,6,7,3865,Patrick Lai
Sunway Lenang Heights - Bungalow,Sale,1800000.0,5,5,2943,Kia .
Sunway Lenang Heights - Bungalow,Sale,1700000.0,6,6,2934,Kia .
Sunway Lenang Heights - Bungalow,Sale,1900000.0,6,7,3865,Kia .
Sunway Lenang Heights - Bungalow,Sale,1680000.0,5,4,3331,Max Kan
Sunway Lenang Heights - Bungalow,Sale,1650000.0,4,4,2900,Howard Lee
Sunway Lenang Heights - Bungalow,Sale,2780000.0,7,7,4535,Alfred Then
Sunway Lenang Heights - Bungalow,Sale,2680000.0,7,7,5090,Alfred Then
Sunway Lenang Heights - Bungalow,Sale,1800000.0,5,6,2934,Serene Teh
Sunway Lenang Heights - Bungalow,Sale,3000000.0,6,7,4535,Yuki Cheng
Sunway Lenang Heights - Bungalow,Sale,1800000.0,5,6,2934,Elayne Low
Sunway Lenang Heights - Bungalow,Sale,3000000.0,7,7,4535,Lynn Wong
Sunway Lenang Heights - Bungalow,Sale,1700000.0,5,4,3200,Lynn Wong
Sunway Lenang Heights - Bungalow,Sale,1800000.0,4,5,2943,Michelle Fong
Sunway Lenang Heights - Bungalow,Sale,1680000.0,5,6,2934,Shirley Yap
Sunway Lenang Heights - Bungalow,Sale,1700000.0,6,6,2934,Sim Boon Siang
Sunway Lenang Heights - Bungalow,Sale,1680000.0,6,6,2934,Serene Teh
Sunway Lenang Heights - Bungalow,Sale,1800000.0,4,3,2943,Ryon Teh
Sunway Lenang Heights - Bungalow,Sale,1800000.0,5,5,2843,Shela Lim
Sunway Lenang Heights - Bungalow,Sale,2400000.0,4,5,3783,Bosco Eng
Sunway Lenang Heights - Bungalow,Sale,1700000.0,6,6,2934,Agnes Low
Sunway Lenang Heights - Bungalow,Sale,1880000.0,5,6,3865,Florissa kuik
