PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Cinta Sayang Resort Villas,Sale,1300000.0,5,5,2795,Derrick Ng
Cinta Sayang Resort Villas,Sale,3000000.0,6,6,5300,Derrick Ng
Cinta Sayang Resort Villas,Sale,1260000.0,4,5,2659,Derrick Ng
Cinta Sayang Resort Villas,Sale,1260000.0,4,5,2659,Yvnee Hang
Cinta Sayang Resort Villas,Sale,800000.0,4,2,15000,Erin Anuar
Cinta Sayang Resort Villas,Sale,1350000.0,4,5,2796,Yvnee Hang
Cinta Sayang Resort Villas,Sale,1260000.0,4,5,2659,Hosiang .
Cinta Sayang Resort Villas,Sale,1350000.0,4,5,2800,Hosiang .
Fairfield Villas @ Yarra Park,Sale,1280000.0,5,5,2400,Derrick Ng
"The Hillpark Kulim Perdana, Kulim, Kedah",Rent,14000.0,7,5,3400,Hazim Zack
