PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Halimahton,Sale,1980000.0,4,2,3000,Bhavesh .
Taman Halimahton,Sale,41463750.0,,,66342,James Ng Voon Fei
Taman Halimahton,Sale,2099000.0,4,3,2000,Gerald Ng
Taman Halimahton,Sale,1898000.0,5,4,2000,Henrick Tan
Taman Halimahton,Sale,1990000.0,5,4,2000,Tricia Lee
Taman Halimahton,Rent,4000.0,5,9,5000,Ken Wong
Laman Vila,Sale,3500000.0,6,6,4670,Adrian Ang
Laman Vila,Sale,3150000.0,6,6,4000,Adrian Ang
Laman Vila,Rent,8300.0,5,6,3900,Keanu Tan
Laman Vila,Rent,8299.0,6,7,3940,Keanu Tan
Verge 32 @ Melawati,Sale,3200000.0,6,6,4600,Rashid Sukri
Verge 32 @ Melawati,Sale,3990000.0,5,5,4500,Bernice Wong
Verge 32 @ Melawati,Sale,1200000.0,5,4,3000,Nicky Yap
Verge 32 @ Melawati,Sale,3990000.0,5,5,4500,Bernice Wong
Verge 32 @ Melawati,Sale,3990000.0,5,4,4552,YK. Ho
Verge 32 @ Melawati,Sale,4000000.0,5,4,4552,Masrudin Md Yusoff
Verge 32 @ Melawati,Sale,3990000.0,5,4,4552,Alan Chin
Verge 32 @ Melawati,Sale,4000000.0,5,4,4552,Nazli Ambak
Verge 32 @ Melawati,Sale,4000000.0,5,4,4552,Afifi Sedzali
Verge 32 @ Melawati,Sale,4000000.0,5,4,4552,Rahman Isa
Verge 32 @ Melawati,Sale,3990000.0,5,4,4500,Bernice Wong
Jelutong Villas,Sale,3900000.0,5,5,5000,Jeremy Tang
Jelutong Villas,Sale,4000000.0,6,5,5000,Amy Ho
Jelutong Villas,Sale,4000000.0,5,5,5000,May Leong
Taynton Harmoni,Sale,4000000.0,7,6,6650,Chee Meng
Taynton Harmoni,Sale,4000000.0,7,6,8671,Chloe Seet
Taynton Harmoni,Sale,4000000.0,7,6,8671,Yvonne Wong
Kiara Hills,Sale,4300000.0,4,5,5500,Hena Chuah
Kiara Hills,Sale,2600000.0,6,6,4111,Khairul Zainuddin
Kiara Hills,Sale,1798000.0,5,4,2995,RICK FONG MAN JIE
Kiara Hills,Sale,7000000.0,6,6,7100,Jo-Ann Hor
Kiara Hills,Sale,4300000.0,6,6,5608,Cindy Tan
Kiara Hills,Sale,6800000.0,7,7,7800,Cindy Tan
Kiara Hills,Sale,7800000.0,6,7,7000,David Tang
Kiara Hills,Sale,7800000.0,6,6,7341,May Leong
Kiara Hills,Sale,6800000.0,5,6,7500,May Leong
Kiara Hills,Sale,6800000.0,7,6,7800,Edmond Chau
Kiara Hills,Sale,6980000.0,8,7,7800,Issac Tan
Kiara Hills,Sale,9000000.0,5,5,7000,Zalia .
Kiara Hills,Sale,6800000.0,6,6,7188,Esther Lim
Kiara Hills,Sale,6700000.0,6,7,8800,Jeremy .
Kiara Hills,Sale,6800000.0,5,6,7447,Armand Maulana
Kiara Hills,Sale,4300000.0,5,6,5700,Edmond Chau
