PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Melaka Perdana Resort Homes,Sale,3200000.0,10,8,8472,Shaun Chua
Melaka Perdana Resort Homes,Sale,850000.0,6,5,3000,William Chin
Melaka Perdana Resort Homes,Sale,1980000.0,6,5,6000,Aiden Teo
Melaka Perdana Resort Homes,Sale,1680000.0,5,4,16900,Yeow Rui Jun
Melaka Perdana Resort Homes,Sale,1680000.0,4,4,4720,BL Bong
Melaka Perdana Resort Homes,Sale,3200000.0,10,9,18363,Danny Kuah Kim Hai
Melaka Perdana Resort Homes,Sale,2000000.0,5,7,6000,Danny Kuah Kim Hai
Melaka Perdana Resort Homes,Sale,880000.0,6,5,3000,Danny Kuah Kim Hai
Melaka Perdana Resort Homes,Sale,1600000.0,4,4,9182,Danny Kuah Kim Hai
Melaka Perdana Resort Homes,Sale,1080000.0,4,3,2200,Johnny Wong
Melaka Perdana Resort Homes,Sale,2000000.0,5,5,4000,Saiful Basyah
Melaka Perdana Resort Homes,Sale,3200000.0,10,10,8472,Saiful Basyah
Melaka Perdana Resort Homes,Sale,2100000.0,5,7,6000,BL Bong
Melaka Perdana Resort Homes,Sale,5900000.0,10,6,23000,Wesley Tan
Melaka Perdana Resort Homes,Sale,3000000.0,10,10,8472,Nurul Ahmad
Melaka Perdana Resort Homes,Rent,4500.0,5,4,9185,Danny Kuah Kim Hai
Ozana Villa,Sale,1390000.0,7,4,4000,BL Bong
Ozana Villa,Sale,479820.0,,,7997,BL Bong
Ozana Villa,Sale,1600000.0,4,4,2500,BL Bong
Ozana Villa,Sale,420000.0,,,8000,Yeow Rui Jun
Ozana Villa,Sale,1888000.0,7,6,8000,Danny Kuah Kim Hai
Ozana Villa,Sale,463826.0,,,7997,BL Bong
Ozana Villa,Rent,3900.0,4,3,8000,Vinc Pheng
Ozana Villa,Rent,3900.0,4,3,8000,Kenny Tay
Taman Paya Rumput Perdana,Sale,750000.0,4,3,3195,Yeong .
Taman Paya Rumput Perdana,Sale,700000.0,5,3,3800,Tim Piong
Taman Paya Rumput Perdana,Sale,618000.0,4,2,2100,Sinclair Tan
Taman Paya Rumput Perdana,Sale,750000.0,5,3,3000,Shawn Teh
Taman Paya Rumput Perdana,Sale,788000.0,4,2,1895,Carman Lua
Taman Paya Rumput Perdana,Sale,1500000.0,5,3,7620,Lawrance Lim
Taman Paya Rumput Perdana,Sale,650000.0,4,2,1500,BL Bong
Taman Paya Rumput Perdana,Sale,715000.0,5,4,4500,Steven Sor
Taman Paya Rumput Perdana,Sale,715000.0,5,3,4500,Joyce Oh
