PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Botanica.CT Botanica 5C Bungalow,Sale,670000.0,4,3,2000,Shahrul Osman
Vista Jambul,Sale,1390000.0,5,6,3020,Alston Loh
Vista Jambul,Sale,1300000.0,5,4,3020,Alston Loh
Vista Jambul,Sale,3192800.0,6,6,5355,Yap Yi Xiang
Vista Jambul,Sale,1480000.0,5,5,3020,Yap Yi Xiang
Vista Jambul,Sale,1350000.0,5,5,3520,Jeff Ooi
Vista Jambul,Sale,1250000.0,5,4,2780,Zhonl Saw Boon Loong
Vista Jambul,Sale,2600000.0,8,8,5355,Josephine Teh
Vista Jambul,Sale,1500000.0,5,5,3520,Josephine Teh
Vista Jambul,Sale,1300000.0,6,5,2780,Mervyn Seah
Vista Jambul,Sale,1350000.0,5,4,3520,Beverly Lim
Vista Jambul,Sale,1350000.0,5,5,3520,Correen Lee
Vista Jambul,Sale,1390000.0,5,4,3020,Li Fang
Vista Jambul,Sale,1350000.0,5,4,2780,Li Fang
Vista Jambul,Sale,1350000.0,5,5,3520,Alex Cheah
Vista Jambul,Sale,1350000.0,5,4,2780,Matthew Png
Vista Jambul,Sale,1350000.0,5,5,3520,June Chuah
Vista Jambul,Sale,1430000.0,5,4,3030,Mervyn Seah
Vista Jambul,Sale,2700000.0,7,7,5355,Zhonl Saw Boon Loong
Vista Jambul,Sale,2280000.0,5,4,3200,Zhonl Saw Boon Loong
Vista Jambul,Sale,1350000.0,5,4,2780,Zhonl Saw Boon Loong
Vista Jambul,Sale,1350000.0,5,4,3020,Siang .
Vista Jambul,Sale,1350000.0,5,5,3520,Alex Cheah
Vista Jambul,Sale,1350000.0,5,5,3520,Steven Hng
Vista Jambul,Sale,2300000.0,7,7,3289,William Mag
Vista Jambul,Sale,1300000.0,6,5,2780,Mervyn Seah
Vista Jambul,Sale,1350000.0,5,4,3020,Siang .
Vista Jambul,Sale,1300000.0,5,4,3020,Alston Loh
Vista Jambul,Sale,1390000.0,5,6,3020,Alston Loh
Vista Jambul,Sale,1350000.0,5,5,3520,Jeff Teh
Asia Hills,Sale,2200000.0,6,4,4887,Yonii Tan
Asia Hills,Sale,1860000.0,5,4,4000,Joanne Tan
Asia Hills,Sale,2350000.0,7,7,5387,Caiwei Chew
Asia Hills,Sale,2050000.0,5,5,4526,Alison Chng
Asia Hills,Sale,2800000.0,6,6,4300,Dylan Lee
Asia Hills,Sale,2200000.0,6,4,4887,Jake Khoo
Asia Hills,Sale,2200000.0,6,4,4887,Yonii Tan
Asia Hills,Sale,1860000.0,5,4,4000,Alison Chng
Asia Hills,Sale,2200000.0,6,4,4887,Yonii Tan
Asia Hills,Sale,2200000.0,6,4,4887,Yonii Tan
Asia Hills,Sale,1800000.0,5,4,4140,Alston Loh
Asia Hills,Sale,2200000.0,6,5,3900,Alex Cheah
Asia Hills,Sale,1780000.0,5,4,4000,Jia Yong
Asia Hills,Sale,2200000.0,6,5,3900,Dillon Tan
Asia Hills,Sale,2200000.0,6,6,3900,Bryan Teng
Asia Hills,Sale,2800000.0,6,6,4300,Bryan Teng
Asia Hills,Sale,1800000.0,5,4,4000,Jia Yong
Asia Hills,Sale,1780000.0,5,4,4000,Jia Yong
Asia Hills,Sale,1860000.0,5,5,4000,Kingslee .
Asia Hills,Sale,1860000.0,5,5,4000,Kingslee .
Asia Hills,Sale,2800000.0,6,6,4300,Ming Ho
Asia Hills,Sale,1860000.0,5,5,4000,Kingslee .
Asia Hills,Sale,1790000.0,6,5,4086,Hao Tan
Asia Hills,Sale,2800000.0,5,7,4900,Pei Hong
Asia Hills,Sale,1860000.0,5,5,4700,Zhonl Saw Boon Loong
Asia Hills,Rent,4900.0,6,5,4086,Hao Tan
Asia Hills,Rent,6000.0,5,5,3900,Anders Ong
Asia Hills,Rent,4400.0,6,5,3900,Alison Chng
Setia Pearl Villa,Sale,3280000.0,5,5,3500,Bernard Koay
Setia Pearl Villa,Sale,3280000.0,4,6,6577,Jake Khoo
Setia Pearl Villa,Sale,3100000.0,5,6,6577,Alex Cheah
Setia Pearl Villa,Sale,3200000.0,5,6,6577,Alex Cheah
Setia Pearl Villa,Sale,3900000.0,5,6,6577,Alex Cheah
Setia Pearl Villa,Sale,3880000.0,5,6,6577,Yap Yi Xiang
Setia Pearl Villa,Sale,3100000.0,4,6,6577,Jayden Tan
Setia Pearl Villa,Sale,3100000.0,5,6,6577,Alex Cheah
Setia Pearl Villa,Sale,3200000.0,5,6,6577,Alex Cheah
Setia Pearl Villa,Sale,3900000.0,5,6,6577,Alex Cheah
Setia Pearl Villa,Sale,3000000.0,4,5,6577,Janice Ooi
Setia Pearl Villa,Sale,3280000.0,4,6,6577,Edwin Ng
D'Residence,Sale,4900000.0,5,6,5500,Steven Hng
D'Residence,Sale,4999000.0,6,6,4285,Amanda Lam
D'Residence,Sale,4000000.0,5,6,3899,Amanda Lam
D'Residence,Sale,3750000.0,5,6,3899,Amanda Lam
D'Residence,Sale,5200000.0,6,6,5000,Amanda Lam
D'Residence,Sale,4260000.0,5,7,4285,Amanda Lam
D'Residence,Sale,5000000.0,5,6,4600,Jake Khoo
D'Residence,Sale,3800000.0,5,7,4000,Jake Khoo
D'Residence,Sale,4280000.0,5,7,5522,Jake Khoo
D'Residence,Sale,3980000.0,5,7,5519,Marcus Tan
D'Residence,Sale,3600000.0,6,7,4600,Cayden Choong
D'Residence,Sale,4300000.0,5,3,3500,Ivan Chia
D'Residence,Sale,4300000.0,5,3,3500,Ivan Chia
D'Residence,Sale,8000000.0,8,8,15000,CK Ong
D'Residence,Sale,8000000.0,8,8,15000,CK Ong
D'Residence,Sale,6480000.0,6,6,9585,Leslie Hong
D'Residence,Sale,4000000.0,5,7,4000,Marc Lee
D'Residence,Sale,5000000.0,6,6,4100,Elaine Ooi
D'Residence,Sale,5000000.0,5,7,7000,Ivan Chia
D'Residence,Sale,3600000.0,6,7,4000,Wyin .
D'Residence,Sale,3500000.0,6,7,4000,Alex Cheah
D'Residence,Sale,4280000.0,6,7,5522,Alex Cheah
D'Residence,Sale,3550000.0,6,7,3898,Eva Liew
D'Residence,Sale,4300000.0,5,5,4000,Jin Lim
D'Residence,Sale,4300000.0,5,5,4000,Elynne Leong
D'Residence,Sale,4300000.0,5,5,4000,Elynne Leong
D'Residence,Sale,3600000.0,6,7,4000,Elynne Leong
D'Residence,Sale,5000000.0,6,7,4500,Elynne Leong
D'Residence,Sale,5500000.0,6,6,5000,Elynne Leong
D'Residence,Sale,3700000.0,6,7,4000,Joshua Ong
D'Residence,Sale,4000000.0,5,5,4000,Elaine Ooi
D'Residence,Sale,5000000.0,5,7,4100,Lilly .
D'Residence,Sale,4500000.0,7,6,4800,Zhonl Saw Boon Loong
D'Residence,Rent,7500.0,6,7,3898,Eva Liew
D'Residence,Rent,7500.0,6,7,4600,Ivan Chia
D'Residence,Rent,7500.0,6,7,4600,Wyin .
Taman Tambun Indah,Sale,2310000.0,1,1,33000,Lissa Ooi
Taman Tambun Indah,Sale,1900000.0,5,3,3016,Bee Ling
Taman Tambun Indah,Sale,1700000.0,7,5,5800,Anson Low
Taman Tambun Indah,Sale,1900000.0,5,3,3016,Jocelyn Neoh
Taman Tambun Indah,Sale,400000.0,4,3,1700,Fred Lee
Taman Tambun Indah,Rent,2000.0,4,3,1850,Stev Ooi
Taman Tambun Indah,Rent,2200.0,5,5,5500,Lissa Ooi
Summerhill Villas,Sale,1500000.0,6,5,3150,Zhonl Saw Boon Loong
Summerhill Villas,Sale,1215000.0,5,5,2400,Allen .
Summerhill Villas,Sale,1215000.0,5,5,2400,Alan Ho
Summerhill Villas,Sale,1500000.0,6,5,3150,Alex Cheah
Summerhill Villas,Rent,4000.0,5,5,3485,Jin Lim
Summerhill Villas,Rent,4000.0,5,5,3485,Minggie .
Summerhill Villas,Rent,3500.0,5,5,3485,Kenny Lee Chung Chern
Summerhill Villas,Rent,3500.0,5,5,3485,Max Lee
Medan York @ Georgetown,Sale,6000000.0,4,3,4000,Elaine Ooi
Medan York @ Georgetown,Sale,3880000.0,6,7,6069,CT CHAI
Medan York @ Georgetown,Sale,3950000.0,7,8,6068,Amos Sin
Medan York @ Georgetown,Sale,2800000.0,4,3,3500,Amos Sin
Medan York @ Georgetown,Sale,6000000.0,6,6,4000,Amos Sin
Medan York @ Georgetown,Sale,6000000.0,4,3,4200,Elaine Ooi
Medan York @ Georgetown,Sale,5800000.0,5,3,4500,Elaine Ooi
Medan York @ Georgetown,Sale,3300000.0,6,6,6010,Lissa Ooi
Medan York @ Georgetown,Sale,2000000.0,5,3,2578,Alisson Chew
Medan York @ Georgetown,Sale,3990000.0,7,9,4500,Welson Teh
Richmont Residences,Sale,1080000.0,6,7,2700,Correen Lee
Richmont Residences,Sale,1080000.0,6,7,2700,Calvin Yeoh
Richmont Residences,Sale,1080000.0,6,6,2700,Tracy Tan
Richmont Residences,Sale,1080000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1080000.0,7,6,2700,Correen Lee
Richmont Residences,Sale,1080000.0,6,7,2700,Swee Xiong
Richmont Residences,Sale,1150000.0,6,6,3000,Loh EC
Richmont Residences,Sale,1150000.0,6,7,2700,Leong .
Richmont Residences,Sale,1100000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1100000.0,6,7,2700,Weng Sern
Richmont Residences,Sale,1080000.0,6,7,2700,Kenny Ooi
Richmont Residences,Sale,1150000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1200000.0,5,5,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1080000.0,6,7,2700,Max Tay
Richmont Residences,Sale,1080000.0,6,7,2700,Alex Cheah
Richmont Residences,Sale,1080000.0,6,7,2700,Zhonl Saw Boon Loong
Richmont Residences,Sale,1200000.0,6,6,2700,Jerome Eng
Richmont Residences,Sale,1080000.0,6,7,2700,Edric Ong
Richmont Residences,Sale,1100000.0,6,7,2700,Samantha Teng
Richmont Residences,Sale,1080000.0,6,7,2700,Correen Lee
Richmont Residences,Sale,1080000.0,6,7,2700,Alex Cheah
Richmont Residences,Sale,1100000.0,6,6,2700,Anders Ong
Richmont Residences,Sale,1080000.0,6,7,2700,Kenny Lee Chung Chern
Richmont Residences,Sale,1150000.0,6,7,2700,Dominic Ong
Richmont Residences,Sale,1150000.0,6,7,2700,Meng .
Richmont Residences,Sale,1100000.0,6,6,2700,Desmond .
Richmont Residences,Rent,2800.0,6,7,2700,Suzanne Ang
The Manor,Sale,5500000.0,5,5,5571,Eugene Tung
Pearl Villas,Sale,780000.0,4,5,2160,Li Fang
Pearl Villas,Sale,780000.0,4,3,2160,Mervyn Seah
Pearl Villas,Sale,3300000.0,4,6,6577,Dominic Ong
Pearl Villas,Sale,780000.0,5,4,2800,Rex Tung
Pearl Villas,Sale,590000.0,4,3,1730,Cy Tan
