PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Ridgewood @ Taman Bercham Permai,Sale,1100000.0,6,5,3900,Nicholas Lee
Ridgewood @ Taman Bercham Permai,Sale,1675000.0,7,7,5424,Munyee Leong
Ridgewood @ Taman Bercham Permai,Sale,1000000.0,6,5,3500,Christine Lau
Ridgewood @ Taman Bercham Permai,Sale,1100000.0,6,5,3900,Nicholas Lee
Ridgewood @ Taman Bercham Permai,Sale,700000.0,6,6,3750,Connie Lam
Ridgewood @ Taman Bercham Permai,Sale,1675000.0,7,7,5424,Angie Wong
Meru Hills Bungalows,Sale,688000.0,5,5,3600,LK Leon
Meru Hills Bungalows,Sale,486000.0,4,2,2749,Emily .
Meru Hills Bungalows,Sale,1650000.0,5,5,3124,LK Leon
Meru Hills Bungalows,Sale,1200000.0,5,4,9989,Michele Lum
Meru Hills Bungalows,Sale,2700000.0,7,6,13200,Henry Teh
Meru Hills Bungalows,Sale,1500000.0,5,5,3123,Christine Lau
Meru Hills Bungalows,Sale,690000.0,5,4,4000,Pauline Leong
Meru Hills Bungalows,Sale,460000.0,4,3,1650,Anis Anuar
Meru Hills Bungalows,Sale,1600000.0,5,4,2949,SUEKI LAI
