PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
The Mines Golf City,Sale,6000000.0,7,9,9000.0,Ernest Chuah
The Mines Golf City,Sale,18800000.0,5,6,25097.0,Lutfi .
The Mines Golf City,Sale,7680000.0,,,24000.0,Jit Tan
The Mines Golf City,Sale,11000000.0,6,7,17000.0,Elaine Ding
The Mines Golf City,Sale,12000000.0,7,7,15000.0,Elaine Ding
The Mines Golf City,Sale,2760100.0,,,7886.0,Elaine Ding
The Mines Golf City,Sale,4692800.0,,,16760.0,Elaine Ding
The Mines Golf City,Sale,10688168.0,9,9,13000.0,TRON WAN
The Mines Golf City,Sale,8500000.0,6,6,8215.0,Mike Tung
The Mines Golf City,Sale,9500000.0,10,10,15816.0,Syed Naqib
The Mines Golf City,Sale,12000000.0,6,7,15000.0,Andi Tee
The Mines Golf City,Sale,17000000.0,4,7,25097.0,Yvone Chong
The Mines Golf City,Sale,6500000.0,9,7,9500.0,CM Chin
The Mines Golf City,Sale,10000000.0,6,7,18227.0,Andi Tee
The Mines Golf City,Sale,5380000.0,7,6,8000.0,Howard Ngai
The Mines Golf City,Sale,6000000.0,8,10,8450.0,Howard Ngai
The Mines Golf City,Sale,6000000.0,10,10,11400.0,Jayden Yong
The Mines Golf City,Sale,6000000.0,10,10,11400.0,Finn Lai
The Mines Golf City,Sale,6000000.0,10,10,11400.0,Aivan Ng
The Mines Golf City,Sale,18800000.0,4,6,25097.0,AMAD ASYRAF
The Mines Golf City,Sale,8800000.0,8,6,15000.0,Patrick Teo
The Mines Golf City,Sale,6800000.0,9,9,9000.0,Andi Tee
The Mines Golf City,Sale,10800000.0,10,9,13000.0,Andi Tee
The Mines Golf City,Sale,4300000.0,6,7,7000.0,Evon Choo
The Mines Golf City,Sale,11800000.0,8,9,13800.0,Elaine Ding
The Mines Golf City,Sale,1900000.0,6,6,3926.0,Najah .
The Mines Golf City,Sale,10000000.0,9,8,11000.0,Andi Tee
The Mines Golf City,Sale,10800000.0,9,9,13000.0,Kyce Cheong
The Mines Golf City,Sale,4500000.0,6,6,8100.0,Elaine Ding
The Mines Golf City,Sale,10000000.0,9,9,11000.0,Grace Lim
The Mines Golf City,Sale,6700000.0,,,13561.0,Elaine Kow
The Mines Golf City,Sale,10000000.0,9,8,11000.0,Grace Chooi
The Mines Golf City,Sale,3900000.0,6,6,9826.0,C. C. Leong
The Mines Golf City,Sale,5400000.0,10,9,8446.0,Muhammad Faeiz Mohd Zin
The Mines Golf City,Rent,20000.0,10,8,33030.0,Madison Foo
The Mines Golf City,Rent,10000.0,7,6,6058.0,Elaine Ding
JADE HILLS: PHASE 6A2,Sale,3000000.0,5,5,4675.0,Kia Li
JADE HILLS: PHASE 6A2,Sale,2380000.0,5,6,4100.0,Kia Li
JADE HILLS: PHASE 6A2,Sale,2800000.0,7,8,4281.0,Zaiful Ismail
JADE HILLS: PHASE 6A2,Sale,3388000.0,5,5,4888.0,Alvis mock
JADE HILLS: PHASE 6A2,Sale,3000000.0,6,6,4122.0,Stacy Young
JADE HILLS: PHASE 6A2,Sale,2380000.0,4,5,4100.0,Stacy Young
JADE HILLS: PHASE 6A2,Sale,3000000.0,6,6,4122.0,Hei Kar Jun
JADE HILLS: PHASE 6A2,Sale,3388000.0,6,6,4888.0,Hei Kar Jun
JADE HILLS: PHASE 6A2,Sale,2380000.0,5,6,4100.0,Hei Kar Jun
JADE HILLS: PHASE 6A2,Sale,2900000.0,6,6,4700.0,Eric Ng
JADE HILLS: PHASE 6A2,Sale,1780000.0,7,6,3200.0,Vittor Soon
JADE HILLS: PHASE 6A2,Sale,1400000.0,4,4,2592.0,Jims Sin
JADE HILLS: PHASE 6A2,Sale,2950000.0,5,6,4328.0,Badrul Hisyam
JADE HILLS: PHASE 6A2,Sale,2900000.0,6,6,4700.0,William .
JADE HILLS: PHASE 6A2,Sale,2380000.0,5,6,4100.0,Finn Lai
ResTrees,Sale,2550000.0,6,5,5000.0,Gilbert Hor
ResTrees,Sale,2200000.0,5,5,3800.0,Gilbert Hor
ResTrees,Sale,2200000.0,6,6,4200.0,Nadia Rahim
ResTrees,Sale,2100000.0,6,6,4200.0,Mohd Azhar
ResTrees,Sale,2200000.0,5,5,3800.0,Khairul Zainuddin
ResTrees,Sale,2100000.0,6,6,4200.0,Zul Hasif
ResTrees,Sale,2100000.0,5,6,4200.0,Nahathir Shahabudin
ResTrees,Sale,2100000.0,5,6,4200.0,Umar Abdul Aziz
ResTrees,Sale,2450000.0,7,5,5000.0,Wayne Lai
ResTrees,Sale,2200000.0,5,5,3800.0,Azri Hasan
ResTrees,Sale,2218000.0,6,6,4200.0,TRON WAN
ResTrees,Sale,2100000.0,6,6,4200.0,Hafizee Ismail
ResTrees,Sale,2100000.0,6,6,3800.0,ANGELINE ANG
ResTrees,Sale,2100000.0,7,5,4200.0,FT Lim
