PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Bukit Saujana Apartment (Johor),Sale,280000.0,3,2,1001,Yik Tat
Bukit Saujana Apartment (Johor),Sale,280000.0,3,2,1001,Calvin Lee
Bukit Saujana Apartment (Johor),Rent,1100.0,4,2,1000,Khairul Asraf
Bukit Saujana Apartment (Johor),Rent,1500.0,3,2,1076,Kinki Loh
Bukit Saujana Apartment (Johor),Rent,780.0,3,2,1000,Melinda Ee
Bukit Saujana Apartment (Johor),Rent,1050.0,3,2,1000,Robert Sim
Bukit Saujana Apartment (Johor),Rent,1100.0,3,2,1000,Eden Soo
Bukit Saujana Apartment (Johor),Rent,1000.0,4,2,1000,Pier Yong
Palazio,Sale,230000.0,Studio,Studio,538,Bella Chong
Palazio,Sale,260000.0,Studio,Studio,538,Eddy Chan
Palazio,Sale,210000.0,Studio,Studio,484,Carine Wong
Palazio,Sale,200000.0,1,1,484,PY LOO
Palazio,Sale,260000.0,Studio,Studio,538,Janice Yong
Palazio,Sale,260000.0,Studio,Studio,538,Ruby Liang
Palazio,Sale,208000.0,Studio,Studio,484,Chiade .
Palazio,Sale,260000.0,Studio,Studio,538,Heriya Heng
Palazio,Sale,260000.0,Studio,Studio,538,Fennie Chua
Palazio,Sale,210000.0,Studio,Studio,484,Blue Chan
Palazio,Sale,330000.0,3,2,1100,Wayne Wong
Palazio,Sale,210000.0,Studio,Studio,484,Philicia Wong
Palazio,Sale,260000.0,Studio,Studio,538,Florissa kuik
Palazio,Sale,210000.0,Studio,Studio,484,Cherie Chan
Palazio,Sale,260000.0,Studio,Studio,538,Sharon Lau
Palazio,Sale,380000.0,3,2,1096,Sam Cheng
Palazio,Sale,330000.0,3,2,1100,Gracie Yee
Palazio,Sale,330000.0,3,2,1100,Alex Chai
Palazio,Sale,210000.0,1,1,484,Heriya Heng
Palazio,Sale,208000.0,Studio,Studio,484,Victor Lim
Palazio,Sale,210000.0,1,1,484,Yvonne Tan
Palazio,Sale,199000.0,Studio,Studio,484,Jesmond Lee
Palazio,Sale,350000.0,3,2,1097,Jesmond Lee
Palazio,Sale,230000.0,Studio,Studio,538,Jesmond Lee
Palazio,Sale,210000.0,Studio,Studio,484,Serene Foo
Palazio,Sale,330000.0,3,2,1100,Yik Tat
Palazio,Sale,330000.0,3,2,1100,Chester Lee
Palazio,Sale,210000.0,Studio,Studio,484,Jesmond Lee
Palazio,Sale,210000.0,Studio,Studio,484,Ric Ng
Palazio,Sale,295000.0,Studio,Studio,538,Iden Tan
Palazio,Sale,210000.0,Studio,Studio,484,Tycia Law
Palazio,Sale,210000.0,Studio,Studio,484,Daphne Lee
Palazio,Sale,330000.0,3,2,1100,Glenn Woo
