PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Jati Flat Kulim (Block A B C D),Sale,145000.0,3,1,592,Ruswahida .
The Laguna Langkawi,Sale,1750000.0,3,3,2482,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,1500000.0,3,3,2160,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,715000.0,2,3,1010,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,650000.0,2,2,1010,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,990000.0,3,3,2014,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,730000.0,2,2,1128,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,650000.0,2,2,1010,Francis Ngooi
The Laguna Langkawi,Rent,8500.0,3,4,3036,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,3600.0,2,2,1334,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,3600.0,2,3,1010,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,3600.0,2,2,1010,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,6000.0,3,3,2020,Nadiah Hanim Mohamad Rosni
Lavanya Residences,Sale,623000.0,2,2,484,Haneef .
Lavanya Residences,Sale,3392000.0,5,4,4640,Francis Ngooi
Tropicana Cenang,Sale,490000.0,1,1,486,CJ Yew
Tropicana Cenang,Sale,1400000.0,4,3,1310,CJ Yew
Tropicana Cenang,Sale,495000.0,1,1,463,Lipsen Oon
Tropicana Cenang,Sale,405000.0,1,1,380,Lipsen Oon
Tropicana Cenang,Sale,405000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,800000.0,2,1,771,CJ Yew
Tropicana Cenang,Sale,490000.0,1,1,486,CJ Yew
Tropicana Cenang,Sale,405000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,495000.0,Studio,Studio,486,CJ Yew
Tropicana Cenang,Sale,405000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,800000.0,2,1,771,Lipsen Oon
Tropicana Cenang,Sale,800000.0,2,1,771,Lipsen Oon
Tropicana Cenang,Sale,495000.0,1,1,463,Lipsen Oon
Tropicana Cenang,Sale,405000.0,1,1,380,Lipsen Oon
Tropicana Cenang,Sale,800000.0,2,1,771,Lipsen Oon
Tropicana Cenang,Sale,495000.0,1,1,463,Lipsen Oon
Tropicana Cenang,Sale,405000.0,1,1,380,Lipsen Oon
Tropicana Cenang,Sale,800000.0,2,1,771,Lipsen Oon
Tropicana Cenang,Sale,405000.0,1,1,380,Lipsen Oon
Tropicana Cenang,Sale,800000.0,2,1,771,Lipsen Oon
Tropicana Cenang,Sale,495000.0,1,1,463,Lipsen Oon
Tropicana Cenang,Sale,405000.0,1,1,380,Lipsen Oon
Tropicana Cenang,Sale,800000.0,2,1,771,Lipsen Oon
Tropicana Cenang,Sale,495000.0,1,1,463,Lipsen Oon
Tropicana Cenang,Sale,405000.0,1,1,380,Lipsen Oon
Tropicana Cenang,Sale,405000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,405000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,495000.0,Studio,Studio,486,CJ Yew
Tropicana Cenang,Sale,800000.0,2,1,771,CJ Yew
Tropicana Cenang,Sale,495000.0,Studio,Studio,486,CJ Yew
Tropicana Cenang,Sale,405000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,1000000.0,3,2,986,CJ Yew
Tropicana Cenang,Sale,800000.0,2,1,771,Lipsen Oon
Tropicana Cenang,Sale,495000.0,1,1,463,Lipsen Oon
Tropicana Cenang,Sale,405000.0,1,1,380,Lipsen Oon
Tropicana Cenang,Sale,405000.0,1,1,380,Michael Chor
Tropicana Cenang,Sale,495000.0,1,1,463,Michael Chor
Tropicana Cenang,Sale,800000.0,2,1,771,Michael Chor
Tropicana Cenang,Sale,1000000.0,3,2,986,Michael Chor
Tropicana Cenang,Sale,1400000.0,3,2,1310,Michael Chor
Tropicana Cenang,Sale,405000.0,1,1,380,Lipsen Oon
Tropicana Cenang,Sale,800000.0,2,1,771,Lipsen Oon
Tropicana Cenang,Sale,495000.0,1,1,463,Lipsen Oon
Tropicana Cenang,Sale,405000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,405000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,800000.0,2,1,771,CJ Yew
Tropicana Cenang,Sale,495000.0,2,1,463,CJ Yew
Tropicana Cenang,Sale,430000.0,Studio,Studio,380,CJ Yew
Tropicana Cenang,Sale,457000.0,Studio,Studio,380,Lim Jin Hong
Tropicana Cenang,Sale,1231000.0,3,2,986,Larry Wong
Tropicana Cenang,Sale,457000.0,Studio,Studio,380,Larry Wong
Tropicana Cenang,Sale,975000.0,2,2,771,Francis Ngooi
