PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Ocean Palms (Permata Idaman),Sale,450000.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Sale,398000.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Sale,330000.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Sale,428000.0,3,2,1410,Kelvin Chia
Ocean Palms (Permata Idaman),Sale,320000.0,2,2,1033,Susan .
Ocean Palms (Permata Idaman),Sale,445000.0,3,2,1440,Susan .
Ocean Palms (Permata Idaman),Sale,428000.0,3,2,1440,Sinclair Tan
Ocean Palms (Permata Idaman),Sale,480000.0,3,2,1440,Sinclair Tan
Ocean Palms (Permata Idaman),Sale,518000.0,3,2,1440,Sinclair Tan
Ocean Palms (Permata Idaman),Sale,370000.0,2,2,1033,BL Bong
Ocean Palms (Permata Idaman),Sale,360000.0,2,2,1033,BL Bong
Ocean Palms (Permata Idaman),Sale,350000.0,2,2,1009,Irwan Yusoff
Ocean Palms (Permata Idaman),Sale,450000.0,3,2,1400,Irwan Yusoff
Ocean Palms (Permata Idaman),Sale,460000.0,3,2,1400,Irwan Yusoff
Ocean Palms (Permata Idaman),Sale,298000.0,2,2,1033,Abby Ho
Ocean Palms (Permata Idaman),Sale,980000.0,5,4,3000,Raymond Lim PW
Ocean Palms (Permata Idaman),Sale,438000.0,3,2,1500,Fiona Woon
Ocean Palms (Permata Idaman),Sale,410000.0,3,2,1460,Raymond Lim PW
Ocean Palms (Permata Idaman),Sale,420000.0,3,2,1480,Raymond Lim PW
Ocean Palms (Permata Idaman),Sale,428000.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Sale,1200000.0,4,5,2766,NS Han
Ocean Palms (Permata Idaman),Sale,500000.0,3,2,1442,NS Han
Ocean Palms (Permata Idaman),Sale,550000.0,3,2,1442,NS Han
Ocean Palms (Permata Idaman),Sale,350000.0,3,2,1033,Helen BF
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1450,Carman Lua
Ocean Palms (Permata Idaman),Rent,5500.0,4,6,3509,Steve Wong
Ocean Palms (Permata Idaman),Rent,2200.0,3,2,1442,NS Han
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1500,Jenny Tai Chen Leen
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1500,Helen BF
Ocean Palms (Permata Idaman),Rent,1200.0,2,2,1033,Abby Ho
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1464,Erin Baiduri
Ocean Palms (Permata Idaman),Rent,1200.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Rent,1200.0,2,2,1033,Abby Ho
Ocean Palms (Permata Idaman),Rent,2000.0,3,2,1450,Abby Ho
Ocean Palms (Permata Idaman),Rent,2000.0,3,2,1450,Abby Ho
Ocean Palms (Permata Idaman),Rent,1300.0,2,2,1033,Elson Tay
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1440,Leng Dee
Ocean Palms (Permata Idaman),Rent,3000.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Rent,2000.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Rent,2500.0,3,2,1441,Ms Woon
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1440,Fiona Woon
Ocean Palms (Permata Idaman),Rent,1500.0,3,2,1500,Fiona Woon
Ocean Palms (Permata Idaman),Rent,2000.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Rent,2000.0,3,2,1450,Abby Ho
Ocean Palms (Permata Idaman),Rent,1500.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1440,Kelvin Chia
Ocean Palms (Permata Idaman),Rent,1200.0,2,2,1100,Gwee .
Ocean Palms (Permata Idaman),Rent,2000.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Rent,1300.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1440,HG KOH
Ocean Palms (Permata Idaman),Rent,10000.0,5,5,3500,Wesley Tan
Ocean Palms (Permata Idaman),Rent,5500.0,4,6,3509,Steve Wong
Ocean Palms (Permata Idaman),Rent,1600.0,2,2,750,Bee .
Ocean Palms (Permata Idaman),Rent,1900.0,3,2,1500,Mathias Tan
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,170000.0,Studio,Studio,492,Shawn Teh
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,178000.0,Studio,Studio,495,Yeong .
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,240000.0,Studio,Studio,492,Nazree Abdul Aziz
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,290000.0,2,2,722,Erin Baiduri
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,260000.0,Studio,Studio,495,Eric Low
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,220000.0,2,2,722,Kellyn Foo
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,240000.0,Studio,Studio,539,Nazree Abdul Aziz
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,275000.0,2,2,750,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,255000.0,2,2,745,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,180000.0,Studio,Studio,538,Jordan Lee
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,189000.0,1,1,500,Mohd Redzuan
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,160000.0,Studio,Studio,492,Kellyn Foo
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,428000.0,3,2,1007,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,1200.0,2,2,722,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,1850.0,3,2,1000,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,1300.0,2,2,700,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,1650.0,2,2,800,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,1400.0,2,2,722,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,2000.0,3,2,1007,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,1850.0,3,2,1000,Lee Thai Chung
Harmony Apartment,Sale,368000.0,3,2,1500,Bee .
Harmony Apartment,Sale,365000.0,3,2,1500,Shawn Teh
Harmony Apartment,Sale,430000.0,3,2,1500,Elson Tay
Harmony Apartment,Sale,399000.0,3,2,1600,Shawn Teh
Harmony Apartment,Sale,355000.0,3,2,1500,Steven Sor
Harmony Apartment,Rent,1500.0,3,2,1500,Bee .
Harmony Apartment,Rent,1600.0,3,2,1600,Helen BF
Harmony Apartment,Rent,1600.0,3,2,1600,Jenny Tai Chen Leen
Harmony Apartment,Rent,1600.0,3,2,1600,May .
The Wave Residence @ Kota Laksamana,Sale,310000.0,2,1,645,Shawn Teh
The Wave Residence @ Kota Laksamana,Sale,356000.0,3,2,1131,Lawrance Lim
The Wave Residence @ Kota Laksamana,Sale,380000.0,2,2,645,Fiona Woon
The Wave Residence @ Kota Laksamana,Sale,438000.0,2,2,1311,Derrek Wong
The Wave Residence @ Kota Laksamana,Sale,330000.0,2,1,650,Leng Dee
The Wave Residence @ Kota Laksamana,Sale,387000.0,3,2,1131,Wesley Tan
The Wave Residence @ Kota Laksamana,Sale,458000.0,3,2,1131,Wesley Tan
The Wave Residence @ Kota Laksamana,Sale,360000.0,2,1,645,Wesley Tan
The Wave Residence @ Kota Laksamana,Sale,380000.0,2,2,645,Wesley Tan
The Wave Residence @ Kota Laksamana,Rent,1100.0,2,1,645,Sinclair Tan
The Wave Residence @ Kota Laksamana,Rent,1700.0,3,3,1200,Kenny Tay
The Wave Residence @ Kota Laksamana,Rent,1300.0,2,1,645,Danny Kuah Kim Hai
The Wave Residence @ Kota Laksamana,Rent,1600.0,2,2,625,Ms Woon
The Wave Residence @ Kota Laksamana,Rent,1500.0,2,1,645,Kenny Tay
The Wave Residence @ Kota Laksamana,Rent,1300.0,2,1,645,Camie Goh
Tropicana Residences @ Taman Sentosa,Sale,510000.0,4,2,1350,Susan .
Tropicana Residences @ Taman Sentosa,Sale,510000.0,3,2,1356,Nadrah Omar
Tropicana Residences @ Taman Sentosa,Sale,555000.0,3,2,1302,Shawn Teh
Tropicana Residences @ Taman Sentosa,Sale,560000.0,3,1,1356,Shawn Teh
Tropicana Residences @ Taman Sentosa,Sale,468000.0,2,2,882,Yeow Rui Jun
Tropicana Residences @ Taman Sentosa,Rent,1600.0,2,2,868,NS Han
Tropicana Residences @ Taman Sentosa,Rent,2500.0,4,2,1356,Susan .
Tropicana Residences @ Taman Sentosa,Rent,2500.0,3,2,1300,Chris Koh
Tropicana Residences @ Taman Sentosa,Rent,2300.0,3,2,1300,Susan .
Tropicana Residences @ Taman Sentosa,Rent,2500.0,4,2,1356,May .
Tropicana Residences @ Taman Sentosa,Rent,1600.0,2,2,868,Abby Ho
Tropicana Residences @ Taman Sentosa,Rent,1500.0,2,2,868,Abby Ho
Tropicana Residences @ Taman Sentosa,Rent,1500.0,2,2,869,Shalyn Tan
Tropicana Residences @ Taman Sentosa,Rent,1500.0,3,2,1300,Shalyn Tan
Tropicana Residences @ Taman Sentosa,Rent,1600.0,2,2,869,Shalyn Tan
Tropicana Residences @ Taman Sentosa,Rent,1600.0,3,2,1300,Shalyn Tan
Tropicana Residences @ Taman Sentosa,Rent,1500.0,2,2,868,Abby Ho
Selat Horizon,Sale,250000.0,3,2,979,Shawn Teh
Selat Horizon,Sale,330000.0,3,2,1100,Jordan Lee
Selat Horizon,Sale,265000.0,3,2,1000,Jordan Lee
Selat Horizon,Sale,265000.0,3,2,986,BL Bong
Selat Horizon,Sale,258000.0,3,2,979,Kelvin Chia
Selat Horizon,Sale,228000.0,3,2,968,Billy Ng
Selat Horizon,Sale,290000.0,3,2,979,Fiona Woon
Selat Horizon,Sale,298000.0,3,2,968,HG KOH
Selat Horizon,Sale,279000.0,3,2,1000,Mathias Tan
Selat Horizon,Sale,290000.0,3,2,987,Abby Ho
Selat Horizon,Sale,288000.0,3,2,988,Aiden Teo
Selat Horizon,Rent,1300.0,3,2,988,Kelvin Chia
Selat Horizon,Rent,1300.0,3,2,1000,Jordan Lee
Selat Horizon,Rent,1300.0,3,2,1100,Jordan Lee
Selat Horizon,Rent,1300.0,3,2,1000,Kelvin Chia
Selat Horizon,Rent,1100.0,3,2,1000,Jordan Lee
Selat Horizon,Rent,1100.0,3,2,988,Raymond Lim PW
Selat Horizon,Rent,1700.0,4,2,1400,Helen BF
Selat Horizon,Rent,1200.0,3,2,968,Helen BF
Selat Horizon,Rent,1200.0,3,2,700,Fiona Woon
Selat Horizon,Rent,1200.0,3,2,988,Abby Ho
Pangsapuri Iskandar Shah,Sale,150000.0,3,2,996,Fiona Woon
Atlantis Residences,Sale,1050000.0,5,4,2110,Shawn Teh
Atlantis Residences,Sale,520000.0,2,2,1055,Shawn Teh
Atlantis Residences,Sale,700000.0,2,2,1205,Sinclair Tan
Atlantis Residences,Sale,700000.0,2,2,1072,Sinclair Tan
Atlantis Residences,Sale,550000.0,3,2,1265,Kelvin Chia
Atlantis Residences,Sale,700000.0,3,3,1378,NS Han
Atlantis Residences,Sale,298000.0,1,1,689,Susan .
