PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Tropicana Grandhill,Sale,357000.0,Studio,Studio,379,Chris Tye
Tropicana Grandhill,Sale,357000.0,Studio,Studio,380,Eugene Yap
Tropicana Grandhill,Sale,430000.0,1,1,392,Edwin Ong
Tropicana Grandhill,Sale,357000.0,Studio,Studio,379,Benjamin Lai
Tropicana Grandhill,Sale,357000.0,Studio,Studio,379,Eugene .
Tropicana Grandhill,Sale,1200000.0,4,3,1328,Eugene Yap
Tropicana Grandhill,Sale,1100000.0,4,3,1168,Eugene Yap
Tropicana Grandhill,Sale,940000.0,3,2,966,Eugene Yap
Tropicana Grandhill,Sale,740000.0,2,2,739,Eugene Yap
Tropicana Grandhill,Sale,580000.0,2,1,564,Eugene Yap
Tropicana Grandhill,Sale,380000.0,1,1,380,Maggie Chin
Tropicana Grandhill,Sale,530000.0,2,1,574,Chris Tye
Tropicana Grandhill,Sale,913000.0,3,2,966,Chris Tye
Tropicana Grandhill,Sale,360900.0,1,1,395,Cindy Siew
Tropicana Grandhill,Sale,1387000.0,4,3,1328,Anderson Yoong
Tropicana Grandhill,Sale,573000.0,2,1,570,Anderson Yoong
Tropicana Grandhill,Sale,357000.0,Studio,Studio,380,Kane Lee
Tropicana Grandhill,Sale,1000000.0,3,2,1000,Jack Lui
Tropicana Grandhill,Sale,530000.0,2,2,756,Jack Lui
Tropicana Grandhill,Sale,350000.0,Studio,Studio,400,Jack Lui
Tropicana Grandhill,Sale,402000.0,1,1,388,Ryon Chow
Tropicana Grandhill,Sale,573000.0,2,1,570,Ryon Chow
Tropicana Grandhill,Sale,397000.0,Studio,Studio,388,Angeline Cheng
Tropicana Grandhill,Sale,375000.0,1,1,390,Kane Lee
Tropicana Grandhill,Sale,960000.0,3,2,950,Maggie Chin
Tropicana Grandhill,Sale,915000.0,3,2,958,Ryon Chow
Tropicana Grandhill,Sale,1339000.0,4,3,1328,Ryon Chow
Tropicana Grandhill,Sale,504000.0,Studio,Studio,391,Devon Ong
Tropicana Grandhill,Sale,945000.0,3,2,966,Jerry See
Tropicana Grandhill,Sale,378000.0,Studio,Studio,379,Jerry See
Tropicana Grandhill,Sale,538000.0,2,2,574,Jerry See
Tropicana Grandhill,Sale,450000.0,1,1,388,Ryon Chow
Tropicana Grandhill,Sale,573000.0,2,1,570,Ryon Chow
Tropicana Grandhill,Sale,350000.0,Studio,Studio,400,Jack Lui
Tropicana Grandhill,Sale,580000.0,2,2,756,Jack Lui
Tropicana Grandhill,Sale,377000.0,1,1,388,Raymond Ng
Tropicana Grandhill,Sale,573000.0,2,1,570,Raymond Ng
Tropicana Grandhill,Sale,350000.0,Studio,Studio,400,Jack Lui
Tropicana Grandhill,Sale,580000.0,2,2,756,Jack Lui
Tropicana Grandhill,Sale,395000.0,Studio,Studio,379,Victor Chin
Tropicana Grandhill,Sale,915000.0,3,2,958,Ryon Chow
Tropicana Grandhill,Sale,1339000.0,4,3,1328,Ryon Chow
Tropicana Grandhill,Sale,402000.0,1,1,388,Ryon Chow
Tropicana Grandhill,Sale,357000.0,Studio,Studio,380,Lim Jin Hong
Tropicana Grandhill,Sale,573000.0,2,1,570,Ryon Chow
Tropicana Grandhill,Sale,931000.0,3,2,949,Chloe Chee
Tropicana Grandhill,Sale,378000.0,Studio,Studio,379,Klaven Law
Tropicana Grandhill,Sale,390000.0,Studio,Studio,388,Bryant Chui
Tropicana Grandhill,Sale,920000.0,3,2,968,Jezmine Cheah
Tropicana Grandhill,Sale,573000.0,2,1,574,Sandy Loo
Tropicana Grandhill,Sale,915000.0,3,2,968,Bryant Chui
Tropicana Grandhill,Sale,360000.0,Studio,Studio,380,Yahoo Wong
Tropicana Grandhill,Sale,574000.0,2,1,574,Yahoo Wong
Tropicana Grandhill,Sale,741000.0,2,2,741,Yahoo Wong
Tropicana Grandhill,Sale,991000.0,3,2,996,Yahoo Wong
Tropicana Grandhill,Sale,350000.0,1,1,400,Jasmine chong
Tropicana Grandhill,Sale,915000.0,3,2,958,Ryon Chow
Tropicana Grandhill,Sale,1339000.0,4,3,1328,Ryon Chow
Tropicana Grandhill,Sale,360900.0,Studio,Studio,381,Wing .
Tropicana Grandhill,Sale,378000.0,1,1,379,Benjamin Lai
Tropicana Grandhill,Sale,378000.0,1,1,379,Benjamin Lai
Tropicana Grandhill,Sale,670000.0,2,2,741,Phoebe Law
Tropicana Grandhill,Sale,379000.0,1,1,379,Brahmma .
TimurBay Seafront Residence,Sale,420000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,425000.0,1,1,541,Riduan Supian
TimurBay Seafront Residence,Sale,375000.0,Studio,Studio,541,Raja Fara
TimurBay Seafront Residence,Sale,720000.0,2,2,917,Ain Ismail
TimurBay Seafront Residence,Sale,750000.0,2,2,917,George Lee
TimurBay Seafront Residence,Sale,460000.0,1,1,536,Fatma Hani Hussin
TimurBay Seafront Residence,Sale,530000.0,2,2,680,Abdul Karim
TimurBay Seafront Residence,Sale,400000.0,Studio,Studio,536,Ain Ismail
TimurBay Seafront Residence,Sale,410000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,450000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,598000.0,2,2,680,Ain Ismail
TimurBay Seafront Residence,Sale,400000.0,2,2,541,George Lee
TimurBay Seafront Residence,Sale,750000.0,2,2,917,Ain Ismail
TimurBay Seafront Residence,Sale,400000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,400000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,450000.0,2,2,680,Ain Ismail
TimurBay Seafront Residence,Sale,400000.0,1,1,536,Fatma Hani Hussin
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Eugene Yap
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Eugene .
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Jonathan Raj
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,780,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Eugene .
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,480000.0,Studio,Studio,380,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,780,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,480000.0,Studio,Studio,380,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,2395000.0,3,3,1500,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,780,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,829000.0,2,2,1060,Tan Kian Aun
Grand Ion Majestic @ Genting Highlands,Sale,599000.0,Studio,Studio,460,Tan Kian Aun
Grand Ion Majestic @ Genting Highlands,Sale,829000.0,2,2,1060,Bryan Gan
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,513920.0,1,1,380,Victor Chin
Grand Ion Majestic @ Genting Highlands,Sale,970000.0,2,2,870,OC Ong
Grand Ion Majestic @ Genting Highlands,Sale,1049000.0,3,2,780,Brian Poah
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Eugene Yap
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Stephanie Tan
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Stephanie Tan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,380,Yahoo Wong
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Yahoo Wong
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Yahoo Wong
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,800000.0,1,1,700,Ocean Lee
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Stephanie Tan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,950000.0,2,2,850,Bryan Gan
Grand Ion Majestic @ Genting Highlands,Rent,3199.0,1,1,450,Bryan Gan
Grand Ion Majestic @ Genting Highlands,Rent,2999.0,Studio,Studio,400,Bryan Gan
Grand Ion Majestic @ Genting Highlands,Rent,6000.0,2,2,870,Jeff Kuon
