PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Moonlight Bay Condovilla,Sale,2980000.0,5,6,4640,Quvee Ooi
Moonlight Bay Condovilla,Sale,2200000.0,5,5,3800,Jake Khoo
Moonlight Bay Condovilla,Sale,3800000.0,5,5,4600,Jake Khoo
Moonlight Bay Condovilla,Sale,2900000.0,5,5,4200,Jake Khoo
Moonlight Bay Condovilla,Sale,2600000.0,5,5,4500,Jake Khoo
Moonlight Bay Condovilla,Sale,2980000.0,5,6,4800,Bryan Teng
Moonlight Bay Condovilla,Sale,2750000.0,5,5,4500,Jun Ooi
Moonlight Bay Condovilla,Sale,2500000.0,5,6,4200,Cheryl Chng
Moonlight Bay Condovilla,Sale,2600000.0,5,5,4500,Ruth Ong
Moonlight Bay Condovilla,Sale,1500000.0,3,3,2100,Ruth Ong
Moonlight Bay Condovilla,Sale,1280000.0,3,3,2100,Ruth Ong
Moonlight Bay Condovilla,Sale,2980000.0,5,6,4630,HC Lee
Moonlight Bay Condovilla,Sale,2980000.0,5,5,4600,Edwin Ng
Moonlight Bay Condovilla,Sale,1500000.0,3,3,2100,Yonii Tan
Moonlight Bay Condovilla,Sale,3800000.0,4,5,4600,Serena Tan
Moonlight Bay Condovilla,Sale,1280000.0,3,3,2100,Yonii Tan
Moonlight Bay Condovilla,Sale,2750000.0,5,5,4500,Jun Ooi
Moonlight Bay Condovilla,Sale,2600000.0,5,5,4500,Jake Khoo
Moonlight Bay Condovilla,Sale,3800000.0,5,5,4600,Jake Khoo
Moonlight Bay Condovilla,Sale,2900000.0,5,5,4200,Jake Khoo
Moonlight Bay Condovilla,Sale,2200000.0,5,5,3800,Jake Khoo
Moonlight Bay Condovilla,Sale,2900000.0,5,5,4500,Jayren Yeap
Moonlight Bay Condovilla,Sale,2750000.0,5,5,4500,Jun Ooi
Moonlight Bay Condovilla,Sale,2750000.0,5,5,4500,Simon Ooi
Moonlight Bay Condovilla,Sale,1680000.0,4,4,2100,Ruth Ong
Moonlight Bay Condovilla,Sale,1500000.0,3,3,2100,Ruth Ong
Moonlight Bay Condovilla,Sale,1280000.0,3,3,2100,Ruth Ong
Moonlight Bay Condovilla,Sale,1500000.0,3,3,2100,Alex Cheah
Moonlight Bay Condovilla,Sale,2650000.0,5,5,5450,Gladys Kock
Moonlight Bay Condovilla,Sale,1500000.0,3,2,2200,Jeya Shah
Moonlight Bay Condovilla,Sale,2750000.0,5,5,4500,Jun Ooi
Moonlight Bay Condovilla,Sale,2980000.0,5,5,4200,Jordan Voon
Moonlight Bay Condovilla,Sale,2600000.0,5,5,4500,Alex Cheah
Moonlight Bay Condovilla,Sale,2200000.0,5,5,3850,Declan Ng
Moonlight Bay Condovilla,Sale,1680000.0,4,4,2100,Declan Ng
Moonlight Bay Condovilla,Sale,1800000.0,3,3,2100,Declan Ng
Moonlight Bay Condovilla,Sale,4350000.0,5,5,4350,Declan Ng
Moonlight Bay Condovilla,Sale,3800000.0,5,5,3850,Declan Ng
Moonlight Bay Condovilla,Sale,2800000.0,5,5,4618,Declan Ng
Moonlight Bay Condovilla,Sale,1500000.0,3,3,2100,Ruth Ong
Moonlight Bay Condovilla,Sale,3800000.0,5,5,4600,Ruth Ong
Moonlight Bay Condovilla,Sale,1280000.0,3,3,2100,Ruth Ong
