PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Golf Vista Resort Homes,Sale,360000.0,2,2,964,Simon Yong
Golf Vista Resort Homes,Sale,368000.0,2,2,940,Nicholas Lee
Golf Vista Resort Homes,Sale,410000.0,2,2,970,JJ Teo
Golf Vista Resort Homes,Sale,338000.0,2,2,964,Steven .
Golf Vista Resort Homes,Sale,340000.0,2,2,930,Nicholas Lee
Golf Vista Resort Homes,Sale,480000.0,3,2,1399,Aileen Oon
Golf Vista Resort Homes,Sale,490000.0,3,3,1399,Jodie Kuan
Golf Vista Resort Homes,Sale,3380000.0,8,8,8000,Yuki Sit
Golf Vista Resort Homes,Sale,390000.0,2,2,960,Jamie Lai
Golf Vista Resort Homes,Sale,360000.0,2,2,1200,Vivian Foong
Golf Vista Resort Homes,Sale,360000.0,2,2,913,Vivian Foong
Golf Vista Resort Homes,Sale,328000.0,3,2,1200,Jenny Ng
Golf Vista Resort Homes,Sale,4000000.0,6,6,7872,Louise Loo
Golf Vista Resort Homes,Sale,2310000.0,,,21000,Alex Zem
Golf Vista Resort Homes,Sale,345000.0,2,2,915,Kent Foo
Golf Vista Resort Homes,Sale,550000.0,3,3,1383,Nicholas Lee
Golf Vista Resort Homes,Sale,338000.0,2,2,964,Nicholas Lee
Golf Vista Resort Homes,Sale,968888.0,,,12885,Danny Lim
Golf Vista Resort Homes,Sale,370000.0,2,2,969,Mr Yuen
Golf Vista Resort Homes,Sale,360000.0,2,2,914,Nicholas Lee
Golf Vista Resort Homes,Sale,360000.0,2,2,1700,Vincent Chin
Golf Vista Resort Homes,Sale,330000.0,2,2,915,Sook Yee
Golf Vista Resort Homes,Sale,5500000.0,7,7,8000,Jamie Lai
Golf Vista Resort Homes,Sale,260000.0,3,2,915,Jason Tang
Golf Vista Resort Homes,Rent,1800.0,3,3,1400,Steven .
Golf Vista Resort Homes,Rent,2000.0,3,2,1383,Angielina Chooi
Golf Vista Resort Homes,Rent,1500.0,2,2,914,Steven .
Golf Vista Resort Homes,Rent,1500.0,2,2,913,Jodie Kuan
Golf Vista Resort Homes,Rent,1900.0,5,3,2260,Lucas Yau
Golf Vista Resort Homes,Rent,1600.0,2,2,964,Angielina Chooi
Golf Vista Resort Homes,Rent,1500.0,2,2,950,Lucas Yau
Golf Vista Resort Homes,Rent,1500.0,2,2,1200,Vivian Foong
Golf Vista Resort Homes,Rent,1500.0,2,2,913,Vivian Foong
Golf Vista Resort Homes,Rent,1400.0,2,2,964,Christine Lau
