PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Dwiputra Residences,Sale,500000.0,4,3,1200,May Tai
Dwiputra Residences,Sale,445500.0,3,2,1238,Allen .
Dwiputra Residences,Sale,560000.0,4,2,1200,Saiful Wazir
Dwiputra Residences,Sale,445500.0,3,3,1238,P M Chan
Dwiputra Residences,Sale,450000.0,3,2,950,Iswadi Ismail
Dwiputra Residences,Sale,520000.0,3,2,1008,Hasnah Pandak
Dwiputra Residences,Sale,530000.0,3,2,958,Ahmad Faiz Lajis
Dwiputra Residences,Sale,445500.0,4,3,1238,Jason Tang
Dwiputra Residences,Sale,313700.0,3,2,958,Allen .
Dwiputra Residences,Sale,495000.0,3,2,950,Saiful Bahri Abdul Manan
Dwiputra Residences,Sale,445500.0,4,3,1238,Jaze Ong
Dwiputra Residences,Sale,520000.0,3,2,950,Yana Zull
Dwiputra Residences,Sale,313000.0,3,2,958,Gary Chow
Dwiputra Residences,Sale,313700.0,3,2,958,Glladys Lee
Dwiputra Residences,Sale,313000.0,3,2,958,Samuel Yap
Dwiputra Residences,Sale,313700.0,3,2,958,Jason Tang
Dwiputra Residences,Sale,313700.0,3,2,958,Jack Chia
Dwiputra Residences,Sale,510000.0,3,2,950,Muhamad Akmal Zakaria
Dwiputra Residences,Sale,530000.0,3,3,1200,Sarah F Properties
Dwiputra Residences,Sale,520000.0,3,2,950,Yana Zull
Dwiputra Residences,Sale,313000.0,3,2,958,Michele Lum
Dwiputra Residences,Sale,313700.0,3,2,958,Jaze Ong
Dwiputra Residences,Sale,296225.0,3,2,958,Ms. Khoo
Dwiputra Residences,Sale,313000.0,3,2,958,Gary Chow
Dwiputra Residences,Sale,296225.0,3,2,958,Glladys Lee
Dwiputra Residences,Sale,560000.0,4,3,1200,Izzat Ibrahim
Dwiputra Residences,Sale,750000.0,3,3,1200,Natalie Loke
Dwiputra Residences,Sale,560000.0,3,3,1200,Natalie Loke
Dwiputra Residences,Sale,500000.0,3,2,1000,Akmal Adam
Dwiputra Residences,Sale,495000.0,3,2,950,Saiful Bahri Abdul Manan
Dwiputra Residences,Sale,560000.0,3,3,1200,Syafiq Razak
Dwiputra Residences,Sale,313650.0,3,2,958,Clayton Song PBMV
Dwiputra Residences,Sale,313000.0,3,2,958,Samuel Yap
Dwiputra Residences,Sale,313650.0,3,2,958,Zinc Tsai
Dwiputra Residences,Sale,313650.0,3,2,958,Ms. Khoo
Dwiputra Residences,Sale,530000.0,3,2,1001,Mekreen .
Dwiputra Residences,Sale,550000.0,4,2,1280,Rhugayah Yaya Yusof
Dwiputra Residences,Sale,560000.0,4,3,1200,RIDZWAN ISA
Dwiputra Residences,Sale,313000.0,3,2,958,Samuel Yap
Dwiputra Residences,Sale,495000.0,3,2,950,Saiful Bahri Abdul Manan
Dwiputra Residences,Sale,520000.0,3,3,1200,Natalie Loke
Dwiputra Residences,Sale,520000.0,3,2,950,Mohd Adryzam Zamree
Dwiputra Residences,Sale,550000.0,3,3,1238,P M Chan
Dwiputra Residences,Sale,348000.0,3,2,958,Michele Lum
Dwiputra Residences,Sale,313000.0,3,2,958,Samuel Yap
Dwiputra Residences,Sale,348000.0,3,2,958,Marcus Heh
Dwiputra Residences,Sale,560000.0,3,3,1200,Haliza Mohamad Haron
Dwiputra Residences,Sale,460000.0,3,2,950,Rohani .
Dwiputra Residences,Sale,550000.0,3,2,950,Najah .
Dwiputra Residences,Sale,500000.0,3,2,950,Amirruddin .
Dwiputra Residences,Sale,510000.0,4,3,1200,Elvis Ko
Dwiputra Residences,Sale,450000.0,3,2,950,Izza Samsudin
Dwiputra Residences,Sale,630000.0,3,3,1200,Fakhzan Badiran
Dwiputra Residences,Sale,530000.0,3,3,1200,Fakhzan Badiran
Dwiputra Residences,Sale,500000.0,3,2,950,Muhammad Fahid Fitlla
Dwiputra Residences,Sale,650000.0,3,2,950,JAMIL .
Dwiputra Residences,Sale,630000.0,4,3,1238,JAMIL .
Dwiputra Residences,Sale,410000.0,3,2,958,Chai .
Dwiputra Residences,Sale,440000.0,3,2,950,Shamzjoe .
Dwiputra Residences,Sale,495000.0,3,2,950,Saiful Bahri Abdul Manan
Dwiputra Residences,Sale,450000.0,3,2,950,Lela Rasmawati
Dwiputra Residences,Sale,450000.0,3,2,950,Izza Samsudin
Dwiputra Residences,Sale,500000.0,3,2,950,Nurul Ahmad
Dwiputra Residences,Sale,570000.0,3,3,1200,Muhammad Afiq
Dwiputra Residences,Sale,480000.0,3,2,1001,Umar Hanim
Dwiputra Residences,Rent,2500.0,3,2,950,Hasnah Pandak
Dwiputra Residences,Rent,2200.0,3,2,950,Nasrul Afiq Hamzah
Dwiputra Residences,Rent,2300.0,3,3,1200,Wendy Boon
Dwiputra Residences,Rent,1800.0,3,2,950,Shamir Nasri
Dwiputra Residences,Rent,1800.0,3,2,950,Hairil Basir
Dwiputra Residences,Rent,2500.0,4,3,1200,Hisyamuddin Saad
Dwiputra Residences,Rent,1800.0,3,2,950,Afiq Omar
Dwiputra Residences,Rent,2000.0,3,2,950,Khairul Azman
Dwiputra Residences,Rent,1999.0,3,2,950,Ammar .
Dwiputra Residences,Rent,2000.0,3,2,950,Muhamad Akmal Zakaria
Dwiputra Residences,Rent,2000.0,3,2,950,Marwan Zaim
Dwiputra Residences,Rent,1900.0,3,2,950,Wazlina Wahab
Dwiputra Residences,Rent,1900.0,3,3,1200,Shamzjoe .
Dwiputra Residences,Rent,1950.0,3,2,950,Kelvin Chan
Dwiputra Residences,Rent,2000.0,3,2,950,Justin Khoo
Dwiputra Residences,Rent,2200.0,3,3,1200,Ng Hon Keong
Dwiputra Residences,Rent,2000.0,3,2,1000,Sopiah Ahmad
Dwiputra Residences,Rent,2000.0,3,2,1000,Zarifi Bin Mohd Ederis
Dwiputra Residences,Rent,2100.0,3,2,950,Ainun Ruzana
Dwiputra Residences,Rent,2000.0,3,2,950,Shamir Nasri
Dwiputra Residences,Rent,2000.0,3,2,1000,Shamir Nasri
Dwiputra Residences,Rent,2200.0,4,3,1200,Elvis Ko
Dwiputra Residences,Rent,2200.0,3,3,1200,Ng Hon Keong
Dwiputra Residences,Rent,1500.0,3,2,950,Shamzjoe .
Dwiputra Residences,Rent,2000.0,3,2,950,Shamzjoe .
Dwiputra Residences,Rent,1800.0,3,2,950,Shamzjoe .
"Shaftsbury Avenue, Putrajaya",Sale,450000.0,2,1,686,Mohamed Mahadhir
"Shaftsbury Avenue, Putrajaya",Sale,450000.0,2,1,700,Elaine Garcia
"Shaftsbury Avenue, Putrajaya",Sale,476000.0,2,1,686,Rick Lum
"Shaftsbury Avenue, Putrajaya",Sale,530000.0,2,1,686,Izza Samsudin
"Shaftsbury Avenue, Putrajaya",Sale,550000.0,2,1,686,"Eryna ,"
"Shaftsbury Avenue, Putrajaya",Sale,550000.0,2,1,686,Izza Samsudin
"Shaftsbury Avenue, Putrajaya",Sale,500000.0,2,1,686,Azizirrahim .
"Shaftsbury Avenue, Putrajaya",Sale,450000.0,2,1,686,Natalie Loke
"Shaftsbury Avenue, Putrajaya",Rent,1700.0,2,1,686,Calvin Loke
"Shaftsbury Avenue, Putrajaya",Rent,1800.0,2,1,686,Rick Lum
"Shaftsbury Avenue, Putrajaya",Rent,1700.0,2,1,636,Jackie Fong
"Shaftsbury Avenue, Putrajaya",Rent,2000.0,2,1,686,Shamzjoe .
"Shaftsbury Avenue, Putrajaya",Rent,2000.0,2,1,686,MK Khairul saidi
"Shaftsbury Avenue, Putrajaya",Rent,1800.0,2,1,686,Azizirrahim .
"Shaftsbury Avenue, Putrajaya",Rent,1700.0,2,1,686,Shawn Tan
"Shaftsbury Avenue, Putrajaya",Rent,2000.0,2,1,686,Kraven Poon
"Shaftsbury Avenue, Putrajaya",Rent,1600.0,2,1,686,Cosmos Foo
"Tamara, Putrajaya",Sale,500000.0,3,2,1205,Mahafiz .
"Tamara, Putrajaya",Sale,750000.0,3,2,1280,Mazsheera .
"Tamara, Putrajaya",Sale,520000.0,3,2,1205,Zulkarnain Kadri
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Ir Asrima Chi Ari
"Tamara, Putrajaya",Sale,700000.0,3,2,1205,Mohd Rafiee
"Tamara, Putrajaya",Sale,630000.0,3,2,1205,Faizul Zamrod
"Tamara, Putrajaya",Sale,530000.0,3,2,1206,Fasha Hamid
"Tamara, Putrajaya",Sale,700000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Syafiq Razak
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Umar Hanim
"Tamara, Putrajaya",Sale,480000.0,4,4,2500,Connie Lim
"Tamara, Putrajaya",Sale,530000.0,3,2,1205,Mohamad Faizal Haini
"Tamara, Putrajaya",Sale,530000.0,3,2,1205,Zafran Ederis
"Tamara, Putrajaya",Sale,520000.0,3,2,1205,Zulhilmi .
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Sale,529000.0,3,2,1205,Farrah Khairuddin
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Azizirrahim .
"Tamara, Putrajaya",Sale,520000.0,3,3,1205,Nadiah Mohamad Anuar
"Tamara, Putrajaya",Sale,520000.0,3,2,1205,Julisyazwani @ Wani
"Tamara, Putrajaya",Sale,620000.0,3,2,1200,Natalie Loke
"Tamara, Putrajaya",Sale,529000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Sale,630000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Sale,500000.0,3,2,1205,Jessie Lee
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,FARAH HANIM BINTI AD SUHADAK SUHADAK
"Tamara, Putrajaya",Sale,680000.0,3,2,1205,Nazree Abdul Aziz
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Afiq Omar
"Tamara, Putrajaya",Sale,700000.0,3,2,1208,Ahmad Faiz Lajis
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Nazli Ambak
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Azli Ibrahim
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Mohamad Faizal Haini
"Tamara, Putrajaya",Sale,530000.0,3,2,1205,Amirruddin .
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Shamim Munizar
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Anas Ashaari
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Azraff Zulkapli
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Kamil Ghazali
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Norsiah Mohamed
"Tamara, Putrajaya",Sale,650000.0,3,2,1205,Farrah Khairuddin
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Saiful Wazir
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Muhd Fahmie
"Tamara, Putrajaya",Sale,540000.0,3,2,1205,Natalie Loke
"Tamara, Putrajaya",Sale,530000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Sale,530000.0,3,2,1205,Khalid Abdullah
"Tamara, Putrajaya",Sale,630000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Sale,500000.0,3,2,1205,Zahir Daud
"Tamara, Putrajaya",Sale,580000.0,3,2,1206,AimiRahim Hartanah
"Tamara, Putrajaya",Rent,2300.0,3,2,1205,Amirruddin .
"Tamara, Putrajaya",Rent,2500.0,3,2,1205,Natalie Loke
"Tamara, Putrajaya",Rent,2000.0,3,2,1200,JT Liew
"Tamara, Putrajaya",Rent,2100.0,3,2,1200,JT Liew
"Tamara, Putrajaya",Rent,2000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Rent,1800.0,3,2,1205,Amirruddin .
"Tamara, Putrajaya",Rent,1800.0,3,2,1205,Azizirrahim .
"Tamara, Putrajaya",Rent,2100.0,3,2,1205,Thoriq Suparman
"Tamara, Putrajaya",Rent,2100.0,3,2,1205,Ainun Ruzana
"Tamara, Putrajaya",Rent,2000.0,3,2,1205,Azizirrahim .
"Tamara, Putrajaya",Rent,1900.0,3,2,1205,Wendy Boon
"Tamara, Putrajaya",Rent,1800.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Rent,2000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Rent,1600.0,3,2,1210,Mekreen .
"Tamara, Putrajaya",Rent,2000.0,3,2,1250,Sopiah Ahmad
"Tamara, Putrajaya",Rent,1900.0,3,2,1205,Nazree Abdul Aziz
Pangsapuri Putra Harmoni @ Presint 9,Sale,226800.0,3,1,700,P M Chan
Pangsapuri Putra Harmoni @ Presint 9,Sale,250000.0,3,2,700,Uswani Mazuwan
Pangsapuri Putra Harmoni @ Presint 9,Sale,278000.0,3,2,700,Ashikin Ariffin
Pangsapuri Putra Harmoni @ Presint 9,Sale,270000.0,3,2,700,Zaidah Ahmad
Pangsapuri Putra Harmoni @ Presint 9,Sale,250000.0,3,2,700,Natalie Loke
Pangsapuri Putra Harmoni @ Presint 9,Sale,270000.0,3,2,700,Sarliza Jafar
