PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Tabuan Laru Heights Apartment,Sale,550000.0,4,2,1880,KON SIEW PING
SkyVilla Condominium (MJC),Sale,700000.0,3,2,1205,David Ling
SkyVilla Condominium (MJC),Sale,435600.0,3,2,1089,Hunter Wee
SkyVilla Condominium (MJC),Rent,1800.0,3,2,1108,Hunter Wee
The Tropics Condominium (Kuching),Sale,800000.0,3,3,1560,KON SIEW PING
The Tropics Condominium (Kuching),Sale,728000.0,3,4,1528,Clement Toh
The Tropics Condominium (Kuching),Rent,2200.0,3,2,1389,KON SIEW PING
Roxy Beach Apartment,Sale,500000.0,2,2,870,KON SIEW PING
Santubong Suites,Rent,2000.0,3,2,1646,Kenneth Wong
Riverine Sapphire,Sale,780000.0,2,2,1233,Hunter Wee
Jazz Suites @ Vivacity,Sale,718000.0,2,2,1004,Robert Lim
Jazz Suites @ Vivacity,Sale,650000.0,2,1,846,Hunter Wee
Jazz Suites @ Vivacity,Sale,650000.0,2,1,846,Clement Toh
Jazz Suites @ Vivacity,Sale,650000.0,2,1,100,KON SIEW PING
Jazz Suites @ Vivacity,Sale,625000.0,2,1,871,Kevin Ton
Jazz Suites @ Vivacity,Sale,670000.0,3,2,1004,Hunter Wee
Jazz Suites @ Vivacity,Sale,700000.0,3,2,1076,Hunter Wee
Jazz Suites @ Vivacity,Rent,2500.0,3,2,100,KON SIEW PING
Stutong Heights Apartment 2,Sale,380000.0,3,2,10548,KON SIEW PING
Stutong Heights Apartment 2,Sale,398000.0,3,2,1054,Clement Toh
Stutong Heights Apartment 2,Sale,350000.0,2,1,842,Anthony Hsu
