PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Livia Residences @ C180,Sale,400000.0,2,2,850.0,Aaron Loh Liang Wei
Livia Residences @ C180,Sale,300000.0,1,1,550.0,Aaron Loh Liang Wei
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Anshen Lee
Livia Residences @ C180,Sale,279999.0,1,1,551.0,Jorden Law
Livia Residences @ C180,Sale,280000.0,1,1,551.0,Rony Yeo
Livia Residences @ C180,Sale,378000.0,2,2,853.0,Alan Lee
Livia Residences @ C180,Sale,265000.0,1,1,551.0,Kim Lee
Livia Residences @ C180,Sale,408000.0,3,2,853.0,Stacy Young
Livia Residences @ C180,Sale,265000.0,1,1,551.0,Justin Allan
Livia Residences @ C180,Sale,380000.0,2,2,853.0,Alson Loh
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Gan .
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Gan .
Livia Residences @ C180,Sale,280000.0,1,1,551.0,Sean Ng
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Ivan Wong
Livia Residences @ C180,Sale,256000.0,1,1,551.0,Demi How
Livia Residences @ C180,Sale,270000.0,3,1,551.0,Gan .
Livia Residences @ C180,Sale,400000.0,2,2,853.0,Dante Leong Zhenwen
Livia Residences @ C180,Sale,285000.0,Studio,Studio,551.0,Cheery Cheong
Livia Residences @ C180,Sale,268000.0,1,1,551.0,Demi How
Livia Residences @ C180,Sale,365000.0,2,2,853.0,Joey Lim
Livia Residences @ C180,Sale,280000.0,1,1,551.0,Ace Chang
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Alvin Lim
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Stacy Young
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Lai Yuen
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Lai Yuen
Livia Residences @ C180,Sale,258000.0,1,1,551.0,Yenyen .
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Hei Kar Jun
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Charisse Ng
Livia Residences @ C180,Sale,270000.0,1,1,551.0,Demi How
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Eric Ng
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Alvin Lim
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Demi How
Livia Residences @ C180,Sale,270000.0,1,1,551.0,Liew Zi Yih
Livia Residences @ C180,Sale,438000.0,1,1,551.0,Brandy Ho
Livia Residences @ C180,Sale,270000.0,1,1,551.0,Jayden Yong
Livia Residences @ C180,Sale,300000.0,1,1,551.0,Katty Soon
Livia Residences @ C180,Sale,290000.0,1,1,551.0,Katty Soon
Livia Residences @ C180,Sale,356000.0,2,2,852.0,Brandy Ho
Livia Residences @ C180,Sale,275000.0,1,1,551.0,Yvonne Ho
Livia Residences @ C180,Sale,279000.0,1,1,551.0,Felix Wong
Livia Residences @ C180,Sale,348000.0,2,2,852.0,Brandy Ho
Livia Residences @ C180,Sale,365000.0,2,2,853.0,Joey Lim
Livia Residences @ C180,Sale,350000.0,Studio,Studio,551.0,Elaine Chen
Livia Residences @ C180,Sale,438000.0,1,1,551.0,Brandy Ho
Livia Residences @ C180,Sale,388000.0,2,2,853.0,Brandy Ho
Livia Residences @ C180,Rent,1200.0,1,1,550.0,Aaron Loh Liang Wei
Livia Residences @ C180,Rent,1800.0,2,2,853.0,Kimberly Chan
Livia Residences @ C180,Rent,1699.0,2,2,860.0,Jimmy Koh
Livia Residences @ C180,Rent,1300.0,2,2,900.0,Zed Lim
Livia Residences @ C180,Rent,1700.0,2,2,853.0,Matthew Lee
Livia Residences @ C180,Rent,1699.0,2,2,860.0,Jimmy Koh
Livia Residences @ C180,Rent,1700.0,2,2,853.0,Matthew Lee
Livia Residences @ C180,Rent,1280.0,2,2,853.0,JJ Ooi
Livia Residences @ C180,Rent,1699.0,2,2,860.0,Jimmy Koh
Livia Residences @ C180,Rent,2100.0,1,1,551.0,Demi How
Livia Residences @ C180,Rent,1800.0,2,2,853.0,Darren Chan
Livia Residences @ C180,Rent,1700.0,2,2,853.0,Matthew Lee
Livia Residences @ C180,Rent,1399.0,2,2,853.0,Alson Loh
Livia Residences @ C180,Rent,1300.0,2,2,900.0,Zed Lim
Livia Residences @ C180,Rent,1300.0,2,2,850.0,Rony Yeo
Livia Residences @ C180,Rent,1300.0,1,1,551.0,Demi How
Livia Residences @ C180,Rent,1300.0,2,2,800.0,Zed Lim
Livia Residences @ C180,Rent,1400.0,2,2,800.0,Zed Lim
Livia Residences @ C180,Rent,1400.0,1,1,550.0,Lai Yuen
Livia Residences @ C180,Rent,1000.0,1,1,551.0,Tom Tan
Livia Residences @ C180,Rent,1400.0,2,2,800.0,Zed Lim
Livia Residences @ C180,Rent,1400.0,2,2,853.0,Joey Lim
Livia Residences @ C180,Rent,1400.0,2,2,800.0,Zed Lim
Livia Residences @ C180,Rent,1800.0,2,2,853.0,Denson Yong
Livia Residences @ C180,Rent,1100.0,1,1,551.0,Trevor Chai
Livia Residences @ C180,Rent,1000.0,1,1,551.0,Tom Tan
Livia Residences @ C180,Rent,1400.0,2,2,800.0,Zed Lim
Livia Residences @ C180,Rent,1800.0,2,2,850.0,Crystal .
Livia Residences @ C180,Rent,1400.0,2,2,853.0,Crystal .
Livia Residences @ C180,Rent,1000.0,1,1,551.0,Tom Tan
Pandan Utama Apartment,Sale,327000.0,3,2,960.0,Muhammad .
Pandan Utama Apartment,Sale,327000.0,3,2,960.0,Muhammad .
Pandan Utama Apartment,Sale,335000.0,3,2,960.0,Louis Khoo
Pandan Utama Apartment,Sale,290000.0,3,2,960.0,Steve Ng
Pandan Utama Apartment,Sale,325000.0,3,2,1017.0,Debbie Yee
Pandan Utama Apartment,Sale,328000.0,3,2,960.0,Gavin Tai
Pandan Utama Apartment,Sale,335000.0,3,2,960.0,Haron Agen
Pandan Utama Apartment,Sale,245000.0,3,2,760.0,SC Yap
Pandan Utama Apartment,Sale,290000.0,3,2,960.0,Hanz Ng
Pandan Utama Apartment,Sale,290000.0,3,2,960.0,Steve Ng
Pandan Utama Apartment,Sale,295000.0,3,2,960.0,Hanz Ng
Pandan Utama Apartment,Sale,248000.0,3,2,808.0,Jonathan Chai
Pandan Utama Apartment,Sale,300000.0,3,2,960.0,Hanz Ng
Pandan Utama Apartment,Sale,287000.0,3,2,960.0,Kent Yeo
Pandan Utama Apartment,Sale,320000.0,3,2,960.0,Elcoln Leong
Pandan Utama Apartment,Sale,316000.0,3,2,960.0,Vincent Tan
Pandan Utama Apartment,Sale,321000.0,3,2,960.0,Shulong Tan
Pandan Utama Apartment,Rent,1450.0,3,2,965.0,Sherley Goh
Pandan Utama Apartment,Rent,1200.0,3,2,965.0,Roy Chong
Pandan Utama Apartment,Rent,1200.0,3,2,965.0,Dc Cheng
Pandan Utama Apartment,Rent,1400.0,3,2,965.0,Vincent Lee
Pandan Utama Apartment,Rent,1400.0,3,2,965.0,Vincent Lee
Mutiara Court (Bukit Permai),Sale,205000.0,3,2,850.0,Hudson Tan
Mutiara Court (Bukit Permai),Sale,185000.0,3,2,850.0,Dylan Lau
Mutiara Court (Bukit Permai),Sale,185000.0,3,2,850.0,Dylan Lau
Mutiara Court (Bukit Permai),Sale,185000.0,3,2,850.0,Dylan Lau
Mutiara Court (Bukit Permai),Sale,191000.0,2,2,880.0,Herman Chia
Mutiara Court (Bukit Permai),Sale,185000.0,3,2,850.0,Dylan Lau
Mutiara Court (Bukit Permai),Sale,205000.0,3,2,880.0,Wilson Niw
Mutiara Court (Bukit Permai),Sale,185000.0,3,2,850.0,Dylan Lau
Mutiara Court (Bukit Permai),Sale,200000.0,3,2,900.0,Hanz Ng
Mutiara Court (Bukit Permai),Sale,185000.0,3,2,850.0,Dylan Lau
Mutiara Court (Bukit Permai),Sale,248000.0,3,2,980.0,Jimmy Ling
Mutiara Court (Bukit Permai),Sale,185000.0,3,2,850.0,Dylan Lau
Mutiara Court (Bukit Permai),Sale,248000.0,3,2,980.0,Jimmy Ling
Mutiara Court (Bukit Permai),Sale,200000.0,3,2,900.0,Hanz Ng
Mutiara Court (Bukit Permai),Sale,200000.0,3,2,850.0,Even Chong
Mutiara Court (Bukit Permai),Sale,249000.0,3,2,798.0,Hazim Zack
Mutiara Court (Bukit Permai),Sale,250000.0,3,2,880.0,Mohd Redzuan
Mutiara Court (Bukit Permai),Sale,200000.0,3,2,850.0,Even Chong
Kondominium Kristal,Sale,368000.0,3,2,986.0,Norazian Ahmad sapian
Kondominium Kristal,Sale,368000.0,3,2,986.0,Khairi Azizi
Kondominium Kristal,Sale,430000.0,3,2,1007.0,Roziana .
