PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Lot 88 Perdana Heights @ Sungai Petani,Sale,700000.0,5,5,3224,Wanie Saidin
Lot 88 Perdana Heights @ Sungai Petani,Sale,850000.0,5,5,3960,Mohd Farhan
Lot 88 Perdana Heights @ Sungai Petani,Sale,900000.0,4,5,3960,Mohd Farhan
Lot 88 Perdana Heights @ Sungai Petani,Sale,980000.0,6,6,3000,Yvnee Hang
Roseville @ Sungai Petani,Sale,599000.0,5,5,2520,Derrick Ng
Roseville @ Sungai Petani,Sale,485000.0,4,2,3200,Mohd Farhan
Roseville @ Sungai Petani,Sale,680000.0,4,3,2500,Mohd Safuan Sidin
Roseville @ Sungai Petani,Sale,480000.0,4,2,1760,Daniel Pang Wee Han
Roseville @ Sungai Petani,Sale,450000.0,4,3,1430,Derrick Ng
Legenda Heights,Sale,530000.0,4,3,2500,Derrick Ng
Legenda Heights,Sale,888000.0,5,3,2800,Derrick Ng
Legenda Heights,Sale,675000.0,5,3,1215,Sim Chee Ming
Legenda Heights,Sale,780000.0,6,4,5442,Derrick Ng
Legenda Heights,Sale,560000.0,4,3,3000,Derrick Ng
Legenda Heights,Sale,680000.0,6,3,2800,Hafiz Adib
Bandar Laguna Merbok,Sale,1000000.0,4,4,3000,Derrick Ng
Bandar Laguna Merbok,Sale,650000.0,4,3,2400,Derrick Ng
Bandar Laguna Merbok,Sale,2100000.0,5,4,3300,Derrick Ng
Bandar Laguna Merbok,Sale,3000000.0,6,6,4200,Derrick Ng
Bandar Laguna Merbok,Sale,300000.0,3,3,1800,Derrick Ng
Bandar Laguna Merbok,Sale,440000.0,3,2,1540,Erin Anuar
Bandar Laguna Merbok,Sale,370000.0,4,3,1800,Derrick Ng
Bandar Laguna Merbok,Sale,360000.0,4,3,1800,Yvnee Hang
Bandar Laguna Merbok,Sale,580000.0,4,3,4200,Mohd Farhan
Bandar Laguna Merbok,Sale,388000.0,4,4,1800,Yvnee Hang
Bandar Laguna Merbok,Sale,385000.0,4,3,1400,Shahrol Ariffin
Bandar Laguna Merbok,Sale,350000.0,4,3,1600,Hosiang .
Bandar Laguna Merbok,Sale,340000.0,4,3,2000,Eliz Kho
Bandar Laguna Merbok,Sale,380000.0,4,3,1400,Fahmi Yahaya
Bandar Laguna Merbok,Sale,300000.0,3,3,1800,Yvnee Hang
Bandar Laguna Merbok,Sale,400000.0,4,3,2000,Yvnee Hang
Bandar Laguna Merbok,Sale,450000.0,4,3,1800,Hosiang .
Bandar Laguna Merbok,Sale,450000.0,4,3,1800,Yvnee Hang
Bandar Laguna Merbok,Sale,400000.0,4,3,2000,Hosiang .
Bandar Laguna Merbok,Sale,580000.0,4,3,2400,Muhd Hanif
Bandar Laguna Merbok,Sale,650000.0,4,3,3200,Ika Cumie Property
Ambangan Heights,Sale,500000.0,5,4,1200,Fitrie Othman
Ambangan Heights,Sale,260000.0,4,2,1431,Mohd Firdaus Bin Hassan (Firdaus)
Ambangan Heights,Sale,400000.0,4,2,1656,Mohd Firdaus Bin Hassan (Firdaus)
Ambangan Heights,Sale,350000.0,5,2,1363,Hosiang .
Ambangan Heights,Sale,440000.0,4,2,4634,Nazriwani .
