PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Garden City Homes,Sale,600000.0,4,3,2242,Nyco Lim
Garden City Homes,Sale,480000.0,4,3,1800,Mohamad Khaidir Shah Md Razak
Garden City Homes,Sale,500000.0,4,3,1800,Khadijah Zakaria
Garden City Homes,Sale,450000.0,4,3,1800,Afifi Sedzali
Garden City Homes,Sale,649000.0,4,3,2900,Siti Fatimah
Garden City Homes,Sale,890000.0,5,4,2770,Reen Mohamad
Garden City Homes,Sale,645000.0,5,3,2500,Tun Fatimah
Garden City Homes,Sale,790000.0,5,4,2847,Eddy Azuan
Garden City Homes,Sale,790000.0,5,4,2847,Tun Fatimah
Garden City Homes,Sale,630000.0,4,3,2200,Khoo .
Garden City Homes,Sale,550000.0,4,3,2000,Chia Henric
Garden City Homes,Sale,480000.0,4,3,2608,Muhammad Afiq
Garden City Homes,Sale,790000.0,5,4,2847,Nurul Waheeda
Garden City Homes,Sale,550000.0,4,3,1610,Tun Fatimah
Garden City Homes,Sale,550000.0,4,3,1610,Tun Fatimah
Garden City Homes,Sale,580000.0,4,3,2100,Rashidah Juremi
Garden City Homes,Rent,1400.0,4,3,2050,Khoo .
Taman Desa Rasah,Sale,245000.0,3,1,1000,Maslili Binti Mohd Aris
Taman Desa Rasah,Sale,280000.0,3,2,1200,Maizura binti Mohd Darus
Taman Desa Rasah,Sale,280000.0,3,2,1200,Haliza Mohamad Haron
Ara Sendayan,Sale,364500.0,4,3,1496,Allen .
Ara Sendayan,Sale,459000.0,4,3,1647,Allen .
Ara Sendayan,Sale,660000.0,4,4,2584,Umar Hanim
Ara Sendayan,Sale,670000.0,4,4,2584,Nelson Ng
Ara Sendayan,Sale,459000.0,3,1,1647,Emily .
Ara Sendayan,Sale,750000.0,4,4,2300,Marcus Yeow
Ara Sendayan,Sale,798000.0,4,4,2325,Ir Asrima Chi Ari
Ara Sendayan,Sale,460000.0,4,4,2778,Justin Lim
Ara Sendayan,Sale,550000.0,4,4,2380,Leo .
Ara Sendayan,Sale,550000.0,4,3,2150,Aizul Zakaria Bin Hamzah
Ara Sendayan,Sale,990000.0,4,4,1250,Razy Yusop
Ara Sendayan,Sale,990000.0,4,4,3745,Reen Mohamad
Ara Sendayan,Sale,459000.0,4,4,1647,Vivian Chang
Ara Sendayan,Sale,688000.0,5,6,3680,Siti Nurhaliza
Ara Sendayan,Sale,1059000.0,4,4,2500,Chan KS
Ara Sendayan,Sale,590000.0,4,4,2398,Chan KS
Ara Sendayan,Sale,590000.0,4,4,2398,Chan KS
Ara Sendayan,Sale,459000.0,4,4,2450,Khoo .
Ara Sendayan,Sale,580000.0,4,4,2398,Jan Mohd
Ara Sendayan,Sale,570168.0,4,4,1600,Chloe Chia
Ara Sendayan,Sale,409000.0,5,5,3810,Emma Wong
Ara Sendayan,Sale,438000.0,4,4,3329,Emma Wong
Ara Sendayan,Sale,398000.0,4,4,3299,Emma Wong
Ara Sendayan,Sale,421000.0,5,5,3315,Emma Wong
Ara Sendayan,Sale,421800.0,5,5,3351,Emma Wong
Ara Sendayan,Sale,409000.0,5,5,3190,Emma Wong
Ara Sendayan,Sale,388800.0,5,5,3310,Emma Wong
Ara Sendayan,Sale,459000.0,4,4,3156,Emma Wong
Ara Sendayan,Sale,398000.0,4,4,3610,Emma Wong
Ara Sendayan,Sale,406000.0,5,4,3080,Emma Wong
Ara Sendayan,Sale,399880.0,4,5,2998,Emma Wong
Ara Sendayan,Sale,428000.0,4,5,3888,Emma Wong
Ara Sendayan,Sale,433000.0,5,5,3800,Emma Wong
Ara Sendayan,Sale,438000.0,5,5,3980,Emma Wong
Ara Sendayan,Sale,448000.0,5,5,3288,Emma Wong
Ara Sendayan,Sale,402900.0,5,5,3315,Emma Wong
Ara Sendayan,Sale,438000.0,5,4,3210,Emma Wong
Ara Sendayan,Sale,442900.0,4,4,3290,Emma Wong
Ara Sendayan,Sale,498000.0,5,5,3299,Emma Wong
Ara Sendayan,Sale,480000.0,5,5,3219,Emma Wong
Ara Sendayan,Sale,790000.0,4,4,2363,Iqbal Rafei
Ara Sendayan,Sale,550000.0,4,4,2200,RAIS .
Ara Sendayan,Sale,488888.0,4,4,2850,Siti Nurhaliza
Ara Sendayan,Sale,414000.0,4,4,2398,Vivian Chang
Ara Sendayan,Sale,463888.0,4,4,2680,Siti Nurhaliza
Ara Sendayan,Sale,619000.0,4,4,2398,Nelson Ng
Ara Sendayan,Sale,364500.0,4,4,2350,Khoo .
Ara Sendayan,Sale,750000.0,4,4,2380,Wan Rafizal
Ara Sendayan,Sale,414000.0,4,3,1496,Alan Ho
Ara Sendayan,Sale,680000.0,4,4,1760,HjLim .
Ara Sendayan,Sale,750000.0,4,4,2363,Wan Rafizal
Ara Sendayan,Sale,485000.0,4,5,3210,Emma Wong
Ara Sendayan,Sale,434888.0,4,4,3516,Emma Wong
Ara Sendayan,Sale,449000.0,4,4,3662,Emma Wong
Ara Sendayan,Sale,438000.0,4,5,2471,Emma Wong
Ara Sendayan,Sale,489000.0,4,4,2616,Emma Wong
Ara Sendayan,Sale,438000.0,4,5,2810,Emma Wong
Ara Sendayan,Sale,439000.0,4,4,3210,Emma Wong
Ara Sendayan,Sale,398900.0,4,4,2671,Emma Wong
Ara Sendayan,Sale,449000.0,4,4,3226,Emma Wong
Ara Sendayan,Sale,441000.0,5,5,2671,Emma Wong
Ara Sendayan,Sale,433000.0,4,4,3111,Emma Wong
Ara Sendayan,Sale,428000.0,4,4,3215,Emma Wong
Ara Sendayan,Sale,428000.0,4,5,2561,Emma Wong
Ara Sendayan,Sale,440000.0,4,4,3511,Emma Wong
Ara Sendayan,Sale,459000.0,4,4,2388,Emma Wong
Ara Sendayan,Sale,488000.0,4,4,2291,Emma Wong
Ara Sendayan,Sale,488000.0,4,4,3288,Emma Wong
Ara Sendayan,Sale,429000.0,4,4,2399,Emma Wong
Ara Sendayan,Sale,369000.0,5,4,3199,Emma Wong
Ara Sendayan,Sale,388000.0,4,4,2611,Emma Wong
Ara Sendayan,Sale,398000.0,4,4,3156,Emma Wong
