PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Raintree Garden,Sale,1800000.0,5,5,3800,Zhonl Saw Boon Loong
Raintree Garden,Sale,2500000.0,5,4,5000,Zhonl Saw Boon Loong
Botanica.CT Botanica 5 Semi-D,Sale,900000.0,4,4,2000,Abby Khor
Botanica.CT Botanica 5 Semi-D,Sale,750000.0,4,3,2000,Alex Cheah
Isle Of Palm @ Setia Pearl Island,Sale,1050000.0,5,4,2459,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1380000.0,5,4,2740,Jake Khoo
Isle Of Palm @ Setia Pearl Island,Sale,1100000.0,5,4,2400,Jake Khoo
Isle Of Palm @ Setia Pearl Island,Sale,1180000.0,5,5,2500,Jake Khoo
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2500,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,1762,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1200000.0,5,4,2192,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1000000.0,4,4,1400,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1000000.0,5,4,2336,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1880000.0,6,5,3200,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1180000.0,5,5,2500,John Lee
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2600,George Er
Isle Of Palm @ Setia Pearl Island,Sale,1880000.0,5,5,3300,Sanny Tse
Isle Of Palm @ Setia Pearl Island,Sale,1050000.0,5,4,2400,WT Ooi
Isle Of Palm @ Setia Pearl Island,Sale,1999999.0,5,5,3300,Sanny Tse
Isle Of Palm @ Setia Pearl Island,Sale,1180000.0,5,5,2500,Jayden Tan
Isle Of Palm @ Setia Pearl Island,Sale,1100000.0,5,4,2400,Jayden Tan
Isle Of Palm @ Setia Pearl Island,Sale,1380000.0,5,4,2740,Jayden Tan
Isle Of Palm @ Setia Pearl Island,Sale,1790000.0,5,4,3465,Alex Cheah
Isle Of Palm @ Setia Pearl Island,Sale,1180000.0,5,5,2500,John Lee
Isle Of Palm @ Setia Pearl Island,Sale,1880000.0,5,5,3300,Sanny Tse
Isle Of Palm @ Setia Pearl Island,Sale,1050000.0,5,4,2300,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1600000.0,5,4,2670,Alex Cheah
Isle Of Palm @ Setia Pearl Island,Sale,1880000.0,5,5,3300,Sanny Tse
Isle Of Palm @ Setia Pearl Island,Sale,1999999.0,5,5,3300,Sanny Tse
Isle Of Palm @ Setia Pearl Island,Sale,1100000.0,5,4,2380,Low Wei Heng
Isle Of Palm @ Setia Pearl Island,Sale,1890000.0,5,4,2670,Bryan Teng
Isle Of Palm @ Setia Pearl Island,Sale,1290000.0,5,4,2740,Bryan Teng
Isle Of Palm @ Setia Pearl Island,Sale,1999999.0,5,5,3300,Sanny Tse
Isle Of Palm @ Setia Pearl Island,Sale,1880000.0,5,5,3300,Sanny Tse
Isle Of Palm @ Setia Pearl Island,Sale,1180000.0,5,5,2500,John Lee
Isle Of Palm @ Setia Pearl Island,Sale,1880000.0,5,5,3300,Sanny Tse
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2366,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1400000.0,5,4,2740,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1740000.0,5,4,2459,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,2000000.0,5,4,3600,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1950000.0,6,5,3200,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1500000.0,5,5,3000,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2740,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2369,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1200000.0,5,4,2369,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,2180000.0,6,5,3500,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2740,Anson Low
Isle Of Palm @ Setia Pearl Island,Sale,1380000.0,5,5,2740,Bryan Teng
Isle Of Palm @ Setia Pearl Island,Sale,2100000.0,6,5,3800,Bryan Teng
Isle Of Palm @ Setia Pearl Island,Sale,3000000.0,5,5,6577,CK Ong
Isle Of Palm @ Setia Pearl Island,Sale,1100000.0,5,4,2380,Rex Tung
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2600,Jordan Foo
Isle Of Palm @ Setia Pearl Island,Sale,1850000.0,5,6,3212,Heanry Lim
Isle Of Palm @ Setia Pearl Island,Sale,2180000.0,5,4,2500,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1800000.0,5,4,2459,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1380000.0,5,4,2700,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1600000.0,5,4,2400,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1400000.0,5,4,1540,Lee .
Isle Of Palm @ Setia Pearl Island,Sale,1750000.0,5,4,2459,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1100000.0,5,4,2366,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1100000.0,5,4,2400,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1790000.0,5,5,3465,Amanda Lam
Isle Of Palm @ Setia Pearl Island,Sale,1300000.0,5,5,2740,Heanry Lim
Isle Of Palm @ Setia Pearl Island,Sale,3980000.0,7,8,5000,Eugene Tung
Isle Of Palm @ Setia Pearl Island,Sale,1380000.0,6,5,2740,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1650000.0,5,4,2670,Lilly .
Isle Of Palm @ Setia Pearl Island,Sale,1200000.0,5,4,2369,Vinnie Yen
Isle Of Palm @ Setia Pearl Island,Sale,1300000.0,5,4,2459,Rex Tung
Isle Of Palm @ Setia Pearl Island,Sale,1180000.0,5,5,2500,John Lee
Isle Of Palm @ Setia Pearl Island,Sale,1800000.0,6,5,2562,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1750000.0,5,4,2459,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1650000.0,5,3,2670,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2740,Bryan Teng
Isle Of Palm @ Setia Pearl Island,Sale,1520000.0,5,5,2740,Kevin Lim
Isle Of Palm @ Setia Pearl Island,Sale,1650000.0,5,4,2670,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1300000.0,5,4,2720,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1380000.0,5,4,2740,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1000000.0,5,4,2400,Alex Cheah
Isle Of Palm @ Setia Pearl Island,Sale,1180000.0,5,5,2500,John Lee
Isle Of Palm @ Setia Pearl Island,Sale,1950000.0,6,5,3200,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1000000.0,5,4,2400,Alex Cheah
Isle Of Palm @ Setia Pearl Island,Sale,1350000.0,5,4,2800,Jovin Lim
Isle Of Palm @ Setia Pearl Island,Sale,1800000.0,5,4,3465,Brian Ooi
Isle Of Palm @ Setia Pearl Island,Sale,1100000.0,5,4,2459,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1380000.0,6,5,2740,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1650000.0,5,4,2670,Lilly .
Isle Of Palm @ Setia Pearl Island,Sale,1200000.0,5,4,2369,Vinnie Yen
Isle Of Palm @ Setia Pearl Island,Sale,1300000.0,5,4,2459,Rex Tung
Isle Of Palm @ Setia Pearl Island,Sale,1180000.0,5,5,2500,John Lee
Isle Of Palm @ Setia Pearl Island,Sale,1800000.0,6,5,2562,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1750000.0,5,4,2459,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1650000.0,5,3,2670,Max Tay
Isle Of Palm @ Setia Pearl Island,Sale,1280000.0,5,4,2740,Bryan Teng
Isle Of Palm @ Setia Pearl Island,Sale,1520000.0,5,5,2740,Kevin Lim
Isle Of Palm @ Setia Pearl Island,Sale,1650000.0,5,4,2670,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1300000.0,5,4,2720,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1380000.0,5,4,2740,Zhonl Saw Boon Loong
Isle Of Palm @ Setia Pearl Island,Sale,1000000.0,5,4,2400,Alex Cheah
