PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Clarinet @ Taman Desa Tebrau,Sale,1030000.0,4,4,3637,Yvonne Lim
Clarinet @ Taman Desa Tebrau,Sale,880000.0,5,4,2264,Casper .
Clarinet @ Taman Desa Tebrau,Sale,539900.0,5,4,2000,C.T Chong
Clarinet @ Taman Desa Tebrau,Sale,798000.0,4,4,2222,Miho .
Clarinet @ Taman Desa Tebrau,Sale,1030000.0,4,4,3637,Kayden Beh
Clarinet @ Taman Desa Tebrau,Sale,700000.0,4,3,2000,Alvin Ong
Clarinet @ Taman Desa Tebrau,Sale,1009190.0,5,4,2306,Nicole Ng
Clarinet @ Taman Desa Tebrau,Sale,1180000.0,4,4,2200,Lynn Wong
Clarinet @ Taman Desa Tebrau,Sale,890000.0,5,4,2000,Alvin Ong
Clarinet @ Taman Desa Tebrau,Sale,888000.0,5,4,2306,Joey Tay
Clarinet @ Taman Desa Tebrau,Sale,890000.0,5,4,2264,Dennis Ng
Clarinet @ Taman Desa Tebrau,Sale,890000.0,5,4,2264,Amanda Chee
Clarinet @ Taman Desa Tebrau,Sale,890000.0,5,4,2264,U Hon Kun
Clarinet @ Taman Desa Tebrau,Sale,780000.0,5,4,2264,Ziv Chiam
Clarinet @ Taman Desa Tebrau,Sale,1050000.0,4,4,2500,Tang Wei Kang
Clarinet @ Taman Desa Tebrau,Sale,1030000.0,5,4,2200,SK Lua
Clarinet @ Taman Desa Tebrau,Sale,1180000.0,4,5,2720,Vivco Liang
Clarinet @ Taman Desa Tebrau,Sale,630000.0,4,3,1920,K.K Lai
Clarinet @ Taman Desa Tebrau,Rent,1900.0,4,3,1920,Liann .
Clarinet @ Taman Desa Tebrau,Rent,1600.0,5,4,1936,Blue Chan
The Greenway @ Meridin East Phase 1G,Sale,423000.0,4,3,1170,Max Kan
The Greenway @ Meridin East Phase 1G,Sale,560000.0,4,3,1800,Fakhrul Imlan
The Greenway @ Meridin East Phase 1G,Sale,398000.0,4,3,1170,Yee Hsin
The Greenway @ Meridin East Phase 1G,Sale,450000.0,4,3,1170,Bella Chong
The Greenway @ Meridin East Phase 1G,Sale,450000.0,4,3,1170,Tycia Law
The Greenway @ Meridin East Phase 1G,Sale,450000.0,4,3,1170,Gavin Siew
The Greenway @ Meridin East Phase 1G,Sale,342000.0,4,3,1622,Dexter .
The Greenway @ Meridin East Phase 1G,Rent,1350.0,4,3,1890,Samantha Tan
The Greenway @ Meridin East Phase 1G,Rent,1400.0,4,3,1890,Grace Yan
The Greenway @ Meridin East Phase 1G,Rent,1500.0,4,3,1700,Hafiz Noor
The Greenway @ Meridin East Phase 1G,Rent,1400.0,4,3,1700,Hafiz Noor
The Greenway @ Meridin East Phase 1G,Rent,1500.0,4,3,1890,A. Desaraj
The Greenway @ Meridin East Phase 1G,Rent,1500.0,4,3,1890,Joan Yee
Eco Tropics,Sale,530000.0,4,3,1691,K' Lim
Eco Tropics,Sale,489000.0,4,3,1800,Leon Tan
Eco Tropics,Sale,640000.0,3,3,2800,Alviss Tay
Eco Tropics,Sale,760000.0,4,3,1882,Kenneth Kwok
Eco Tropics,Sale,648000.0,4,3,2212,Jayden Wong
Eco Tropics,Sale,680000.0,4,3,1791,M.L. Mok
Eco Tropics,Sale,760000.0,4,3,1882,M.L. Mok
Eco Tropics,Sale,437400.0,4,3,1604,Iris Lua
Eco Tropics,Sale,750000.0,4,3,2238,Anuwar Jusoh
Eco Tropics,Sale,378000.0,3,2,1000,Brown Cheng
Eco Tropics,Sale,650000.0,4,3,2100,Agnes .
Eco Tropics,Sale,760000.0,5,6,2828,Bear Beh
Eco Tropics,Sale,495000.0,3,3,1659,Shirley Yap
Eco Tropics,Sale,515000.0,3,3,1560,Nicholas Ong
Eco Tropics,Sale,515000.0,4,3,1701,Joe Sim
Eco Tropics,Sale,528000.0,4,4,1700,Joe Sim
Eco Tropics,Sale,650000.0,4,3,2450,Joe Sim
Eco Tropics,Sale,458000.0,3,3,1400,Joe Sim
Eco Tropics,Sale,478000.0,3,3,1400,Joe Sim
Eco Tropics,Sale,688000.0,4,4,2800,Joe Sim
Eco Tropics,Sale,503000.0,3,3,1659,CS Tan
Eco Tropics,Sale,611000.0,4,3,1827,Nick Tan
Eco Tropics,Sale,530000.0,3,3,1500,Yeo Chin Lay
Eco Tropics,Sale,528000.0,4,4,1900,Yuki Cheng
Eco Tropics,Sale,420000.0,3,3,1540,Alwin See
Eco Tropics,Sale,515000.0,4,3,1600,Eve Hui
Eco Tropics,Sale,478000.0,3,3,1400,Eve Hui
Eco Tropics,Sale,560000.0,4,4,1879,Usha
Eco Tropics,Sale,810000.0,4,5,2800,Casper .
Eco Tropics,Sale,478000.0,3,3,1600,Yuki Cheng
Eco Tropics,Sale,515000.0,4,3,1800,Yuki Cheng
Eco Tropics,Sale,648000.0,4,3,2450,Frey Teo
Eco Tropics,Sale,437400.0,4,3,1600,John Low
Eco Tropics,Sale,760000.0,4,3,1882,FM Sam
Eco Tropics,Sale,650000.0,4,3,2200,Kelly Chong
Eco Tropics,Sale,638000.0,4,4,2320,Alex Looi
Eco Tropics,Sale,499999.0,4,3,1400,Edward Gan
Eco Tropics,Sale,688000.0,4,4,2665,Lynn Wong
Eco Tropics,Sale,480000.0,3,3,1400,Ziv Chiam
Eco Tropics,Sale,515000.0,3,3,1400,Ziv Chiam
Eco Tropics,Sale,530000.0,4,3,1659,Skye yew
Eco Tropics,Sale,530000.0,3,3,1400,Tee Wan Yi
Eco Tropics,Sale,849000.0,4,5,4340,Joe Sim
Eco Tropics,Sale,760000.0,4,3,2450,Joe Sim
Eco Tropics,Sale,750000.0,4,4,2800,Joe Sim
Eco Tropics,Sale,648000.0,4,3,2240,Chu Mei Yin
Eco Tropics,Sale,630000.0,4,3,2218,Casper .
Eco Tropics,Sale,500000.0,4,3,1400,Louis Loh
Eco Tropics,Sale,750000.0,4,3,2240,Henric Chng
Eco Tropics,Sale,810000.0,4,5,2800,Skye yew
Eco Tropics,Sale,415000.0,4,3,2000,Low Wei Chao
Eco Tropics,Sale,530000.0,4,3,1659,Chiu Wei Seng
Eco Tropics,Sale,500000.0,4,3,1400,Florissa kuik
Eco Tropics,Sale,725000.0,4,3,1681,Derrick Chuah
Eco Tropics,Sale,608000.0,3,3,1659,Florissa kuik
Eco Tropics,Sale,500000.0,4,3,1400,Inez Ng
Eco Tropics,Sale,750000.0,4,3,3200,Lee Qiu Wen
Eco Tropics,Sale,608000.0,3,3,1659,Annie Low
Eco Tropics,Sale,500000.0,4,3,1400,Florissa kuik
Eco Tropics,Sale,680000.0,4,3,1791,Jasca Fan
Eco Tropics,Sale,420000.0,4,3,1540,Karl Lim
Eco Tropics,Sale,648000.0,4,3,2450,Ragav Sekar
Eco Tropics,Sale,608000.0,3,3,1659,Edward Gan
Eco Tropics,Sale,567000.0,4,3,2500,Gabriel Wong
Eco Tropics,Sale,500000.0,4,3,1400,Apple Na
Eco Tropics,Sale,500000.0,4,3,1400,Jeb Lim
Eco Tropics,Sale,608000.0,3,3,1659,Tee Wan Yi
Eco Tropics,Sale,608000.0,3,3,1659,Darren Chun
Eco Tropics,Sale,500000.0,4,3,1400,Anthony Moh
