PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Sejati Indah,Sale,275000.0,3,3,936,Calvin Fong
Taman Sejati Indah,Sale,270000.0,4,3,1302,Jason Tang
Taman Sejati Indah,Sale,190000.0,3,1,1302,Emily .
Taman Sejati Indah,Sale,240000.0,4,4,1780,Jason Tang
Taman PKNK,Sale,360000.0,4,3,1760,Haziq Hasri
Taman PKNK,Sale,360000.0,4,3,1760,Haziq Hasri
Spice Village,Sale,220000.0,4,2,1300,Haziq Hasri
Taman Permai Utama,Sale,280000.0,4,3,1712,Fahmi Yahaya
Taman Permai Utama,Sale,280000.0,4,3,1712,Haziq Hasri
Taman Derga Jaya,Sale,260000.0,3,1,800,Jayden Geh
Taman Derga Jaya,Sale,260000.0,3,2,800,Yvnee Hang
Taman Derga Jaya,Sale,200000.0,3,2,900,Kak Yong Fara
