PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Impian Villa,Sale,2000000.0,6,5,3480,Hong Lee
Impian Villa,Sale,2050000.0,6,5,3480,Biana Yap
Impian Villa,Sale,2700000.0,7,5,4266,May Leong
Impian Villa,Sale,2750000.0,4,5,4266,Melissa Tan
Impian Villa,Rent,5200.0,6,5,3480,Hong Lee
Impian Villa,Rent,5200.0,6,5,3480,Biana Yap
Taman Sri Sinar,Sale,439000.0,3,3,770,Kemp Lee
Taman Sri Sinar,Sale,450000.0,3,2,1200,Hendry Goh
Taman Sri Sinar,Sale,418000.0,3,3,660,Wilson Wong
Taman Sri Sinar,Sale,417000.0,3,2,1000,Eugene .
Taman Sri Sinar,Sale,418000.0,3,3,602,Kim Meng Lew
Taman Sri Sinar,Sale,465000.0,3,2,900,Linus Kong
Taman Sri Sinar,Sale,417000.0,3,2,1000,Eugene .
Taman Sri Sinar,Sale,849999.0,3,2,1657,Ryan Teoh
Taman Sri Sinar,Sale,930000.0,3,2,1040,Sky Lim
Taman Sri Sinar,Sale,418000.0,3,2,1000,Kiing TW
Taman Sri Sinar,Sale,417000.0,3,2,1000,Eugene .
Taman Sri Sinar,Sale,410000.0,3,3,602,Yannie Wong
Taman Sri Sinar,Sale,415000.0,3,2,850,Thomas Chen
Taman Sri Sinar,Sale,640000.0,3,2,1000,Dickson Lau
Taman Sri Sinar,Sale,425000.0,3,3,1250,Hanif Kasmani
Taman Sri Sinar,Sale,417000.0,3,2,1000,Eugene Yap
Taman Sri Sinar,Sale,418000.0,3,3,660,Mandy Liew
Taman Sri Sinar,Sale,425000.0,3,2,620,Mandy Liew
Taman Sri Sinar,Sale,380000.0,3,2,1200,Mandy Liew
Taman Sri Sinar,Sale,450000.0,3,2,602,Mandy Liew
Taman Sri Sinar,Sale,418000.0,3,3,602,Vicky .
Taman Sri Sinar,Sale,416000.0,3,2,1260,Charmaine Tan
Taman Sri Sinar,Sale,417000.0,3,2,1000,Eugene Yap
Taman Sri Sinar,Sale,418000.0,3,3,660,Wilson Wong
Taman Sri Sinar,Sale,799000.0,4,3,1583,Sylvia Lim
Taman Sri Sinar,Sale,650000.0,3,2,1170,April How
Taman Sri Sinar,Sale,417000.0,3,2,1000,Eugene Yap
Taman Sri Sinar,Sale,408000.0,3,2,1000,Evelyn Lim
Taman Sri Sinar,Sale,408000.0,3,2,602,Evelyn Lim
Taman Sri Sinar,Sale,417000.0,3,2,1000,Adan Soh
Taman Sri Sinar,Sale,650000.0,3,2,1400,Ryan Lim
Taman Sri Sinar,Sale,580000.0,2,2,1092,Vicky .
Taman Sri Sinar,Sale,410000.0,3,3,1400,William Chin
Taman Sri Sinar,Sale,417000.0,3,2,1000,Suki Tan
Taman Sri Sinar,Sale,417000.0,3,2,1000,Eugene Yap
Taman Sri Sinar,Sale,475000.0,3,2,1066,Chin Yee Xin
Taman Sri Sinar,Sale,490000.0,4,3,770,Michelle Yun
Taman Sri Sinar,Sale,415000.0,3,2,850,Thomas Chen
Taman Sri Sinar,Sale,425000.0,3,3,1250,Mas Ayu
Taman Sri Sinar,Sale,450000.0,3,2,923,Chin Yee Xin
Taman Sri Sinar,Sale,688000.0,3,3,1430,Ryan Teoh
Taman Sri Sinar,Sale,469000.0,3,2,770,Kemp Lee
Taman Sri Sinar,Sale,439000.0,3,2,850,Kemp Lee
Taman Sri Sinar,Sale,418000.0,3,2,850,Thomas Chen
Taman Sri Sinar,Sale,465000.0,3,2,616,Sheyap .
Taman Sri Sinar,Sale,580000.0,2,2,770,Sammie Liau
Taman Sri Sinar,Sale,610000.0,3,2,882,Nazli Ambak
Taman Sri Sinar,Sale,418000.0,3,2,850,Cath .
Taman Sri Sinar,Sale,430000.0,3,2,1000,Chee Boon Siong
Taman Sri Sinar,Sale,430000.0,3,2,1000,Kenny Lee
Taman Sri Sinar,Sale,520000.0,3,2,880,Jason Yap
Taman Sri Sinar,Sale,650000.0,3,2,868,Zoey Tan
Taman Sri Sinar,Sale,430000.0,3,3,1000,Jack Lai
Taman Sri Sinar,Sale,450000.0,3,2,1200,HC Lim
Taman Sri Sinar,Sale,799999.0,4,3,1583,Ryan Teoh
Taman Sri Sinar,Sale,418000.0,3,2,900,Sherry Chang
Taman Sri Sinar,Sale,450000.0,3,2,1000,Issac Tan
Taman Sri Sinar,Sale,418000.0,3,3,602,Kim Meng Lew
Taman Sri Sinar,Sale,490000.0,4,3,770,Desmond Tang
Taman Sri Sinar,Sale,399000.0,4,3,1000,Adrian Wong
Taman Sri Sinar,Sale,479000.0,3,2,1000,Adrian Wong
Taman Sri Sinar,Sale,410000.0,3,2,602,ryan Swe
Taman Sri Sinar,Sale,410000.0,3,2,602,Wynner Teoh
Taman Sri Sinar,Sale,490000.0,4,3,770,Elvis Kok
Taman Sri Sinar,Sale,580000.0,3,2,958,Fong Esther
Taman Sri Sinar,Sale,250000.0,2,1,596,NUZULHAKIMI .
Taman Sri Sinar,Sale,400000.0,3,2,630,Elvis Kok
Taman Sri Sinar,Sale,575000.0,3,2,900,Dickson Lau
Taman Sri Sinar,Sale,418000.0,3,2,850,Ken Lai
Taman Sri Sinar,Sale,399000.0,3,2,1260,Charmaine Tan
Taman Sri Sinar,Sale,650000.0,3,2,1320,Hendry Goh
Taman Sri Sinar,Sale,750000.0,3,3,800,Norman Tiong
Taman Sri Sinar,Sale,588000.0,3,2,900,Dickson Lau
Taman Sri Sinar,Sale,468000.0,3,2,1140,JJ Chiang
Taman Sri Sinar,Sale,530000.0,3,2,700,Ruey Tan
Taman Sri Sinar,Sale,550000.0,3,2,1000,Anas Ashaari
Taman Sri Sinar,Sale,530000.0,3,2,1200,Melvin Loke
Taman Sri Sinar,Sale,490000.0,3,2,1500,Hendry Goh
Taman Sri Sinar,Sale,580000.0,3,2,960,Dickson Lau
Taman Sri Sinar,Sale,530000.0,3,2,1000,Grace Chooi
Taman Sri Sinar,Sale,680000.0,4,3,1040,Grace Chooi
Taman Sri Sinar,Sale,530000.0,3,2,1200,CW Kong
Taman Sri Sinar,Sale,465000.0,3,2,900,Sherry Chang
Taman Sri Sinar,Sale,678888.0,3,2,1200,Lucas Lim
Taman Sri Sinar,Sale,420000.0,3,2,1140,Steve Loh
Taman Sri Sinar,Sale,480000.0,3,3,1200,Dickson Ong
Taman Sri Sinar,Sale,930000.0,3,2,1300,Steve Loh
Taman Sri Sinar,Sale,660000.0,3,2,1200,Desmond Kok
Taman Sri Sinar,Sale,380000.0,3,2,650,SC Yap
Taman Sri Sinar,Sale,615000.0,3,2,900,Cindy Tan
Taman Sri Sinar,Sale,698000.0,4,3,1700,Benjamin Lai
Taman Sri Sinar,Sale,680000.0,3,2,880,Keanu Tan
Taman Sri Sinar,Sale,725000.0,3,2,880,Keanu Tan
Taman Sri Sinar,Sale,688000.0,3,2,1280,Jim Lee
Taman Sri Sinar,Rent,1200.0,3,3,770,Kemp Lee
Taman Sri Sinar,Rent,1250.0,3,3,1000,David Wong
Taman Sri Sinar,Rent,1300.0,4,3,1200,Jeffrey Yap
Taman Sri Sinar,Rent,1400.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1300.0,3,2,1000,HC Lim
Taman Sri Sinar,Rent,1300.0,4,3,1300,Jeffrey Yap
Taman Sri Sinar,Rent,1400.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1400.0,3,2,1300,Tien .
Taman Sri Sinar,Rent,1200.0,3,2,770,Kemp Lee
Taman Sri Sinar,Rent,1300.0,4,3,1500,Jeffrey Yap
Taman Sri Sinar,Rent,1400.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1600.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1600.0,3,3,900,Aaren Yap
Taman Sri Sinar,Rent,1600.0,3,3,900,Nelson SH Chan
Taman Sri Sinar,Rent,1600.0,3,3,800,Chin Yee Xin
Taman Sri Sinar,Rent,1600.0,3,2,770,Kemp Lee
Taman Sri Sinar,Rent,1300.0,3,3,1505,Albert Koo
Taman Sri Sinar,Rent,1600.0,3,3,800,Melvin Loke
Taman Sri Sinar,Rent,1600.0,3,2,1200,Issac Tan
Taman Sri Sinar,Rent,1300.0,4,3,1500,Jeffrey Yap
Taman Sri Sinar,Rent,1200.0,3,2,660,Dickson Lau
Taman Sri Sinar,Rent,1600.0,3,3,800,Eliz Chan
Taman Sri Sinar,Rent,1300.0,4,3,1500,Jeffrey Yap
Taman Sri Sinar,Rent,1400.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1600.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1300.0,3,2,850,Kemp Lee
Taman Sri Sinar,Rent,1600.0,3,3,1000,Vicky .
Taman Sri Sinar,Rent,1400.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1600.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1400.0,3,2,1300,Tien .
Taman Sri Sinar,Rent,1600.0,3,2,660,Dickson Lau
Taman Sri Sinar,Rent,1600.0,3,3,900,Hafiz Shariff
Taman Sri Sinar,Rent,1400.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1400.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,2300.0,3,2,880,Chris Tye
Taman Sri Sinar,Rent,1600.0,3,3,630,Jackson Ng
Taman Sri Sinar,Rent,1300.0,4,3,1500,Jeffrey Yap
Taman Sri Sinar,Rent,1600.0,3,2,1000,Chin Yee Xin
Taman Sri Sinar,Rent,1500.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1200.0,2,1,850,Kemp Lee
Taman Sri Sinar,Rent,1500.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1200.0,3,2,588,Mercy Leow
Taman Sri Sinar,Rent,1500.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1300.0,3,2,950,Calvin Lim
Taman Sri Sinar,Rent,1500.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1300.0,3,2,1500,Jeffrey Yap
Taman Sri Sinar,Rent,1500.0,3,2,1000,Sam Yee
Taman Sri Sinar,Rent,1300.0,3,2,1500,Jeffrey Yap
Taman Sri Sinar,Rent,1600.0,3,2,1200,Issac Tan
Taman Sri Sinar,Rent,1500.0,3,3,1300,Raymond Siew
Taman Sri Sinar,Rent,1400.0,3,2,602,Joshua Tee
Taman Sri Sinar,Rent,1300.0,3,2,1500,Jeffrey Yap
Taman Sri Sinar,Rent,1000.0,3,2,660,Dickson Lau
Taman Sri Sinar,Rent,1200.0,3,2,630,Mei Wong
Taman Sri Sinar,Rent,1300.0,3,2,1300,Jeffrey Yap
Taman Sri Sinar,Rent,1600.0,3,2,1200,CW Kong
Taman Sri Sinar,Rent,1200.0,3,2,650,Dickson Lau
Taman Sri Sinar,Rent,300.0,Room,Room,100,Kemp Lee
"Dale, Lake Fields",Sale,1300000.0,5,4,2655,Geneive Hii
"Dale, Lake Fields",Sale,1290000.0,5,4,2600,Cady Koh
"Dale, Lake Fields",Sale,1600000.0,5,4,2600,Cady Koh
"Dale, Lake Fields",Sale,1380000.0,5,4,2600,Cady Koh
"Dale, Lake Fields",Sale,1320000.0,5,4,2600,Edmund Lee
"Dale, Lake Fields",Sale,1120000.0,5,4,2600,Edmund Lee
"Dale, Lake Fields",Sale,1120000.0,5,4,2655,Geneive Hii
"Dale, Lake Fields",Sale,1350000.0,5,4,2655,Geneive Hii
"Dale, Lake Fields",Sale,1200000.0,5,4,2600,Edmund Lee
"Dale, Lake Fields",Sale,1380000.0,5,4,2600,Jagger Moo
"Dale, Lake Fields",Sale,1270000.0,5,4,2600,Edmund Lee
"Dale, Lake Fields",Sale,1150000.0,5,6,2600,Edmund Lee
"Dale, Lake Fields",Sale,1400000.0,5,4,2600,Chris Chong
"Dale, Lake Fields",Sale,1120000.0,5,4,2655,Geneive Hii
"Dale, Lake Fields",Sale,1350000.0,5,4,2655,Geneive Hii
"Dale, Lake Fields",Sale,2250000.0,6,5,3600,Edmund Lee
"Dale, Lake Fields",Sale,1150000.0,5,4,2600,Edmund Lee
"Dale, Lake Fields",Sale,1120000.0,5,4,2600,Edmund Lee
"Dale, Lake Fields",Sale,2300000.0,6,5,3598,Cady Koh
"Dale, Lake Fields",Sale,1250000.0,5,4,2600,Geneive Hii
"Dale, Lake Fields",Sale,2250000.0,5,6,3598,Geneive Hii
"Dale, Lake Fields",Sale,1120000.0,5,4,2600,Edmund Lee
"Dale, Lake Fields",Sale,1650000.0,5,4,2655,Terance Leong
"Dale, Lake Fields",Sale,1270000.0,5,4,2600,Edmund Lee
"Dale, Lake Fields",Sale,1120000.0,5,4,2655,Geneive Hii
