PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Tehel Indah,Sale,615414.0,4,3,2342,Suara Kiaramas S/B
Taman Merdeka Jaya,Sale,310000.0,3,2,1540,Yeong .
Taman Merdeka Jaya,Sale,270000.0,4,2,1400,Ir Asrima Chi Ari
Taman Merdeka Jaya,Sale,280000.0,3,2,1200,Gwee .
Taman Merdeka Jaya,Sale,275000.0,3,2,1540,Bee .
Taman Merdeka Jaya,Sale,190000.0,3,3,1500,Jordan Lee
Taman Merdeka Jaya,Sale,308000.0,4,2,1560,Lawrance Lim
Taman Merdeka Jaya,Sale,450000.0,4,3,1400,Kelvin Chia
Taman Merdeka Jaya,Sale,400000.0,5,3,2200,Jordan Lee
Taman Merdeka Jaya,Sale,306000.0,3,3,1650,Mathias Tan
Taman Merdeka Jaya,Sale,308000.0,4,2,1560,Kellyn Foo
Taman Merdeka Jaya,Sale,288000.0,3,2,1540,Bee .
Taman Merdeka Jaya,Sale,400000.0,4,3,1400,Billy Ng
Taman Merdeka Jaya,Sale,388000.0,4,2,1400,Steven Sor
Taman Pandan Jaya,Sale,950000.0,4,3,1540,Tony Chang
Taman Pandan Jaya,Sale,680000.0,3,1,800,Eddie Loh
Taman Pandan Jaya,Sale,440000.0,3,2,1100,Nafis Hashim
Taman Pandan Jaya,Sale,980000.0,3,3,2303,Elvis Kok
Taman Pandan Jaya,Sale,680000.0,3,1,800,Eddie Loh
Taman Pandan Jaya,Sale,550000.0,3,2,985,Hasfarizal Bin Abdul Halim
Taman Pandan Jaya,Rent,2800.0,4,3,1520,Yap Weng Hong
Taman Pandan Jaya,Rent,2400.0,5,3,1400,Kelly Chua
Taman Pandan Jaya,Rent,2500.0,5,3,1400,Afnan Hilman
Taman Pandan Jaya,Rent,2500.0,4,3,1500,Khairunnisa Syahirah
Taman Seri Selendang,Sale,550000.0,4,3,1400,Danny Kuah Kim Hai
Taman Seri Selendang,Sale,550000.0,4,3,1400,Danny Kuah Kim Hai
Taman Seri Selendang,Sale,300000.0,3,2,2174,Danny Kuah Kim Hai
Taman Merdeka Permai,Sale,620100.0,4,3,3600,Johnny Wong
Taman Merdeka Permai,Sale,418500.0,4,3,1820,Johnny Wong
Taman Bidara Permai,Sale,48600.0,3,1,689,Emily .
