PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Lukut Makmur,Sale,398000.0,4,4,2611,Emma Wong
Taman Lukut Makmur,Rent,1300.0,4,3,2400,CHIA JING YANG
Laman Dillenia,Sale,428000.0,4,4,2700,Eddy .
Laman Dillenia,Sale,690000.0,4,3,3000,Gavin Tai
Laman Dillenia,Sale,880000.0,4,4,2400,Chrix Soo
Laman Dillenia,Sale,880000.0,4,4,2400,Athena Cho
Taman Limau Emas,Sale,300000.0,3,2,1256,Khoo .
Taman Limau Emas,Sale,399000.0,4,3,2055,Kamal AG
Cempaka Seri @ Kota Seriemas,Sale,1400000.0,4,6,3049,Sr. Hisyam Ariffin
Cempaka Seri @ Kota Seriemas,Sale,1400000.0,4,4,5687,Mohamad Khaidir Shah Md Razak
Cempaka Seri @ Kota Seriemas,Sale,680000.0,4,4,2193,Siti Hawa Md Ibrahim
Cempaka Seri @ Kota Seriemas,Sale,1400000.0,4,4,3049,Norsiah Mohamed
Cempaka Seri @ Kota Seriemas,Sale,888000.0,5,4,2800,Shahrul Nizam Salehudin
Cempaka Seri @ Kota Seriemas,Sale,980000.0,5,3,2334,Mohd Azhar
Cempaka Seri @ Kota Seriemas,Sale,370000.0,3,2,1819,NOROLLAH MOHAMAD
Cempaka Seri @ Kota Seriemas,Sale,1490000.0,5,5,3137,WAN MUHAMMAD
Cempaka Seri @ Kota Seriemas,Sale,1300000.0,5,5,3500,Jim Lee
Cempaka Seri @ Kota Seriemas,Sale,980000.0,5,3,4219,Sariza Hartanah
Cempaka Seri @ Kota Seriemas,Sale,340200.0,3,2,1781,Alan Ho
Seremban 3,Sale,575000.0,4,5,2621,James Choong
Seremban 3,Sale,525000.0,4,5,2620,Norman Chin
Seremban 3,Sale,433000.0,4,3,2200,Ahmad Fikri Amer Hamzah
Seremban 3,Sale,440000.0,4,3,2520,Fakhrul Imlan
Seremban 3,Sale,380000.0,4,3,1400,Fakhrul Imlan
Seremban 3,Sale,300000.0,3,2,1300,Mohamad Khaidir Shah Md Razak
Seremban 3,Sale,440000.0,4,3,2520,Azie Halim
Seremban 3,Sale,630000.0,4,4,2895,Danny Shoa
Seremban 3,Sale,380000.0,4,3,2020,Azila .
Seremban 3,Sale,433000.0,4,3,2200,Ahmad Fikri Amer Hamzah
Seremban 3,Sale,380000.0,4,3,2020,Muhd Fahmie
Seremban 3,Sale,285000.0,3,2,1100,Shukur Hartanah
Seremban 3,Sale,425000.0,4,3,2520,Mohd Azhar
Seremban 3,Sale,433000.0,4,3,2200,Zafran Ederis
Seremban 3,Sale,440000.0,4,3,1600,Suriaty Binti Haji Sulaiman
Seremban 3,Sale,350000.0,4,3,1600,Rohani .
Seremban 3,Sale,350000.0,4,3,2020,Mohd Azhar
Seremban 3,Sale,350000.0,4,3,2020,Fa-izul Hakimi
Seremban 3,Sale,440000.0,4,3,2520,Fauran Nawawi
Seremban 3,Sale,350000.0,4,3,2020,Fauran Nawawi
Seremban 3,Sale,440000.0,4,3,2520,Muhd Fahmie
Seremban 3,Sale,380000.0,4,3,2020,Mohamad Khaidir Shah Md Razak
Seremban 3,Sale,350000.0,4,3,2020,Azraff Zulkapli
Seremban 3,Sale,440000.0,4,3,2520,Mohamad Khaidir Shah Md Razak
Seremban 3,Sale,440000.0,4,3,2520,Fauziana Nawi
Seremban 3,Sale,433000.0,4,3,2200,Ahmad Fikri Amer Hamzah
Seremban 3,Sale,433000.0,4,3,2200,Zafran Ederis
Seremban 3,Sale,285000.0,3,2,1300,Maizura binti Mohd Darus
Seremban 3,Sale,399000.0,4,4,2600,Connie Lim
Seremban 3,Sale,640000.0,4,4,2800,Chong Yuen Kiong
Seremban 3,Sale,422000.0,4,4,2110,Emma Wong
Seremban 3,Sale,442000.0,5,4,2512,Emma Wong
Seremban 3,Sale,449000.0,4,4,2688,Emma Wong
Seremban 3,Sale,408000.0,4,4,2611,Emma Wong
Seremban 3,Sale,439000.0,4,4,2688,Emma Wong
Seremban 3,Sale,408000.0,4,5,3155,Emma Wong
Seremban 3,Sale,422000.0,4,4,2511,Emma Wong
Seremban 3,Sale,422200.0,5,5,2411,Emma Wong
Seremban 3,Sale,438000.0,5,4,3216,Emma Wong
Seremban 3,Sale,428000.0,4,4,2190,Emma Wong
Seremban 3,Sale,488000.0,4,4,2769,Emma Wong
Seremban 3,Sale,439000.0,4,4,2677,Emma Wong
Seremban 3,Sale,409000.0,4,4,2699,Emma Wong
Seremban 3,Sale,408000.0,4,4,3210,Emma Wong
Seremban 3,Sale,438000.0,4,4,2810,Emma Wong
Seremban 3,Sale,429000.0,4,4,2899,Emma Wong
Seremban 3,Sale,442000.0,4,4,3210,Emma Wong
Seremban 3,Sale,429000.0,4,4,2516,Emma Wong
Seremban 3,Sale,422200.0,4,4,2390,Emma Wong
Seremban 3,Sale,418000.0,4,4,3215,Emma Wong
Seremban 3,Sale,422000.0,4,4,2511,Emma Wong
Seremban 3,Sale,429000.0,4,4,2611,Emma Wong
Seremban 3,Sale,398000.0,4,4,3516,Emma Wong
Seremban 3,Sale,438000.0,4,4,2410,Emma Wong
Seremban 3,Sale,398000.0,4,4,3315,Emma Wong
Seremban 3,Sale,439000.0,4,4,2355,Emma Wong
"D'Mayang Sari, Nilai",Sale,560000.0,4,4,1900,BC Lee
"D'Mayang Sari, Nilai",Sale,450000.0,4,4,2700,Raymond Hor
"D'Mayang Sari, Nilai",Sale,520000.0,4,4,1896,Mohamad Hanafi
"D'Mayang Sari, Nilai",Sale,570000.0,4,4,1896,BC Lee
"D'Mayang Sari, Nilai",Sale,580000.0,4,4,1900,BC Lee
"D'Mayang Sari, Nilai",Sale,638000.0,4,4,2480,BC Lee
"D'Mayang Sari, Nilai",Sale,520000.0,4,4,1896,Ahmad Ikhwan Arif
"D'Mayang Sari, Nilai",Sale,560000.0,4,4,1900,Imran Isa
"D'Mayang Sari, Nilai",Sale,400000.0,4,4,2966,Kayden Lim
"D'Mayang Sari, Nilai",Sale,520000.0,4,4,1896,Muhd Fahmie
"D'Mayang Sari, Nilai",Sale,450000.0,4,3,2300,Eddy .
"D'Mayang Sari, Nilai",Sale,560000.0,4,4,1900,Marwan Zaim
"D'Mayang Sari, Nilai",Sale,520000.0,4,4,1900,Imran Isa
"D'Mayang Sari, Nilai",Sale,560000.0,4,4,1900,BC Lee
"D'Mayang Sari, Nilai",Sale,550000.0,4,4,2200,Athena Cho
"D'Mayang Sari, Nilai",Sale,485000.0,4,4,2000,Athena Cho
"D'Mayang Sari, Nilai",Sale,560000.0,4,4,1900,BC Lee
"D'Mayang Sari, Nilai",Sale,570000.0,4,4,1896,BC Lee
"D'Mayang Sari, Nilai",Sale,448000.0,4,4,2400,Connie Lim
"D'Mayang Sari, Nilai",Sale,398888.0,4,4,2800,James Tan
"D'Mayang Sari, Nilai",Sale,570000.0,4,4,1896,BC Lee
"D'Mayang Sari, Nilai",Sale,638000.0,4,4,2480,Nurul Waheeda
"D'Mayang Sari, Nilai",Sale,560000.0,4,4,1900,Marwan Zaim
"D'Mayang Sari, Nilai",Sale,520000.0,4,4,1896,Fauzi Abdullah
"D'Mayang Sari, Nilai",Sale,443000.0,4,4,2600,Connie Lim
"D'Mayang Sari, Nilai",Sale,638000.0,4,4,2370,Farah Hanan
"D'Mayang Sari, Nilai",Sale,580000.0,4,4,1896,Saiful Wazir
"D'Mayang Sari, Nilai",Sale,515000.0,4,4,1800,Khadijah Zakaria
"D'Mayang Sari, Nilai",Sale,580000.0,4,4,2360,Nor Ikhwan
"D'Mayang Sari, Nilai",Sale,460000.0,4,4,2650,Connie Lim
"D'Mayang Sari, Nilai",Sale,466788.0,3,5,6798,Aizuddin Ali
"D'Mayang Sari, Nilai",Sale,550000.0,4,4,2200,Chrix Soo
"D'Mayang Sari, Nilai",Sale,485000.0,4,4,2000,Chrix Soo
"D'Mayang Sari, Nilai",Sale,535000.0,4,4,1934,Saiful Wazir
"D'Mayang Sari, Nilai",Sale,550000.0,4,3,1900,Eddy Azuan
"D'Mayang Sari, Nilai",Sale,638000.0,4,4,2370,Imran Isa
"D'Mayang Sari, Nilai",Sale,640000.0,4,4,1900,Imran Isa
"D'Mayang Sari, Nilai",Sale,638000.0,4,4,2480,Dr. Laily Rashid
"D'Mayang Sari, Nilai",Sale,580000.0,4,4,1896,Dr. Laily Rashid
"D'Mayang Sari, Nilai",Sale,638000.0,4,4,2480,Saiful Wazir
"D'Mayang Sari, Nilai",Sale,570000.0,4,4,1896,Siti Hawa Md Ibrahim
"D'Mayang Sari, Nilai",Rent,1800.0,4,4,1934,Muhammad Taufeeq
"D'Mayang Sari, Nilai",Rent,1800.0,4,4,1934,Muhammad Taufeeq
Bandar Springhill,Sale,1600000.0,5,4,3000,Marcus Yeow
Bandar Springhill,Sale,220000.0,4,3,1400,Khoo .
Bandar Springhill,Sale,800000.0,3,2,1500,Hendric .
Bandar Springhill,Sale,187000.0,3,2,800,Sri Rohayu Yusof
Bandar Springhill,Sale,650000.0,4,3,2471,Alicia Chan
Bandar Springhill,Sale,240000.0,3,2,1027,Hafeez Ow Yong
Bandar Springhill,Sale,650000.0,4,3,2100,Kamal AG
Bandar Springhill,Sale,250000.0,4,3,1642,Alwen Choong
Bandar Springhill,Sale,360000.0,4,4,1400,Jason Tang
Bandar Springhill,Sale,218000.0,3,2,1281,Haliza Mohamad Haron
Bandar Springhill,Sale,220000.0,3,2,1040,Khadijah Zakaria
Bandar Springhill,Sale,225000.0,3,2,800,Muhammad Fahid Fitlla
Bandar Springhill,Sale,450168.0,5,3,2062,Chloe Chia
Bandar Springhill,Sale,480000.0,4,4,2600,Connie Lim
Bandar Springhill,Sale,220000.0,3,2,1040,Khadijah Zakaria
Bandar Springhill,Sale,500168.0,4,3,2062,Chloe Chia
Bandar Springhill,Sale,230000.0,3,3,1100,Kak Yong Fara
Bandar Springhill,Sale,650000.0,4,3,2100,Finaz Aisya
Bandar Springhill,Sale,275000.0,4,3,1600,Hendric .
Bandar Springhill,Sale,200000.0,3,2,1200,Nalhalim Othman
Bandar Springhill,Sale,230000.0,3,2,1280,Dr. Laily Rashid
Bandar Springhill,Sale,215000.0,3,2,832,Khadijah Zakaria
Bandar Springhill,Rent,2300.0,4,3,2200,Chrix Soo
Bandar Springhill,Rent,1350.0,4,3,1600,BC Lee
Bandar Springhill,Rent,2100.0,4,3,1400,BC Lee
Bandar Springhill,Rent,2300.0,4,3,1400,Mohd Safuan Sidin
Bandar Springhill,Rent,2300.0,5,3,1400,Mohd Rizalman
Iringan Bayu,Sale,330000.0,3,2,1098,Shukur Hartanah
Iringan Bayu,Sale,430000.0,4,3,1621,Jessie Chen
Iringan Bayu,Sale,420000.0,4,4,1696,Dr. Laily Rashid
Iringan Bayu,Rent,1300.0,4,3,1678,Chong Yuen Kiong
Iringan Bayu,Rent,1150.0,4,4,2020,Kester Lai
Iringan Bayu,Rent,1200.0,4,4,2020,Kester Lai
Iringan Bayu,Rent,1150.0,4,4,2020,Kester Lai
Iringan Bayu,Rent,1200.0,4,4,2020,Kester Lai
Iringan Bayu,Rent,1200.0,4,4,2020,Kester Lai
Iringan Bayu,Rent,1150.0,4,3,1621,Jessie Chen
Iringan Bayu,Rent,1588.0,3,2,1098,Marcus Yeow
Taman Pinggiran Senawang,Sale,490000.0,4,4,2380,Siti Nurhaliza
Taman Pinggiran Senawang,Sale,320000.0,4,3,1200,Ahmad Ikhwan Arif
Taman Pinggiran Senawang,Sale,320000.0,4,3,1400,Ainun Duyal
Taman Pinggiran Senawang,Sale,320000.0,4,3,1400,Aini Rafiqah
Taman Pinggiran Senawang,Sale,320000.0,4,3,1400,mohd zamri mohd duyalmi
Taman Pinggiran Senawang,Sale,288000.0,3,3,1400,Alvin Tang
Taman Pinggiran Senawang,Sale,340000.0,3,3,1720,Muhd Fahmie
Taman Pinggiran Senawang,Sale,307000.0,4,3,2000,Azlina Muslim
Taman Pinggiran Senawang,Sale,340000.0,4,3,1400,Ainun Duyal
Taman Pinggiran Senawang,Sale,340000.0,4,3,1400,Muhammad Afiq
Taman Pinggiran Senawang,Sale,340000.0,4,3,1400,Aini Rafiqah
Taman Pinggiran Senawang,Sale,340000.0,4,3,1400,mohd zamri mohd duyalmi
Taman Pinggiran Senawang,Sale,390000.0,4,3,2100,Eddy .
Taman Pinggiran Senawang,Sale,290000.0,3,3,1400,Alvin Tang
Taman Pinggiran Senawang,Sale,342888.0,4,4,2311,Sam Sim
Taman Pinggiran Senawang,Sale,335000.0,4,3,1400,Khadijah Zakaria
Taman Pinggiran Senawang,Sale,330000.0,4,3,2000,Ellmie Elias
Taman Pinggiran Senawang,Sale,340000.0,3,3,1720,Arif Halim
Taman Pinggiran Senawang,Sale,340000.0,4,3,1650,Yasmin Sulaiman
Taman Pinggiran Senawang,Sale,340000.0,4,3,1600,Umar Hanim
Taman Pinggiran Senawang,Sale,340000.0,4,3,1400,Khadijah Zakaria
Taman Desa Indah,Sale,430000.0,4,2,2798,Mohamad Khaidir Shah Md Razak
Taman Desa Indah,Sale,485000.0,4,3,2200,Rasyadan Hussin
Taman Desa Indah,Sale,350000.0,3,2,1400,Ahmad Fikri Amer Hamzah
Taman Desa Indah,Sale,350000.0,3,2,1400,Ahmad Fikri Amer Hamzah
Taman Desa Indah,Sale,550000.0,4,3,2100,Farah Hanan
