PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
TK Residence,Sale,850000.0,3,3,1800,Peggy Tan
TK Residence,Sale,790000.0,4,3,1720,Zhonl Saw Boon Loong
TK Residence,Sale,780000.0,4,3,1780,Rex Tung
TK Residence,Sale,850000.0,3,3,1800,Leong .
TK Residence,Sale,899000.0,3,3,1800,Adrian Choo
Camdon @ Eco Horizon,Sale,,3,2,904,Eco Horizon Sdn Bhd
Camdon @ Eco Horizon,Sale,910000.0,4,3,1754,Felicia Poh
Camdon @ Eco Horizon,Sale,988000.0,4,4,2379,Mike Kheoh
Camdon @ Eco Horizon,Sale,880000.0,4,4,2290,Mohd Farhan
Camdon @ Eco Horizon,Sale,1380000.0,4,4,2422,Raymond .
Camdon @ Eco Horizon,Sale,880000.0,4,4,2379,Cy Tan
Camdon @ Eco Horizon,Sale,1180000.0,4,4,2379,Travis Ang
Camdon @ Eco Horizon,Rent,2000.0,4,4,2000,Yvonne Loh
Camdon @ Eco Horizon,Rent,2200.0,4,4,2379,Mavis Wong
Camdon @ Eco Horizon,Rent,1700.0,4,4,2290,Zack Lye
Camdon @ Eco Horizon,Rent,2500.0,4,4,2400,Jordan Foo
Camdon @ Eco Horizon,Rent,2300.0,4,4,2379,Cy Tan
Camdon @ Eco Horizon,Rent,2500.0,5,5,2540,Alice Lim
Chee Seng Garden,Sale,1150000.0,7,6,2700,Lynda Tai
Chee Seng Garden,Sale,1200000.0,5,4,3000,Jansen Yew
Chee Seng Garden,Sale,1600000.0,4,3,2800,Edwin Ng
Chee Seng Garden,Sale,1200000.0,7,6,3300,Marc Lee
Chee Seng Garden,Sale,1200000.0,7,6,3000,Alex Cheah
Chee Seng Garden,Sale,1080000.0,3,3,1800,Kay Wong
Chee Seng Garden,Sale,1080000.0,3,3,2400,Elaine Yeoh
Chee Seng Garden,Sale,1080000.0,3,3,2400,Wong .
Chee Seng Garden,Sale,1200000.0,7,6,2700,Alisson Chew
Chee Seng Garden,Sale,1300000.0,6,6,2700,Jason Lim
Chee Seng Garden,Sale,1280000.0,4,3,2500,Jerome Eng
Chee Seng Garden,Sale,2300000.0,5,2,2800,Jeya Shah
Chee Seng Garden,Sale,1300000.0,7,6,3000,Anson Low
Chee Seng Garden,Sale,1080000.0,3,3,1800,Elaine Ooi
Chee Seng Garden,Sale,1200000.0,7,6,3000,Hong .
Chee Seng Garden,Sale,1650000.0,4,3,3000,Jin Lim
Chee Seng Garden,Sale,1200000.0,7,6,3000,Jin Lim
Chee Seng Garden,Sale,1150000.0,7,6,3000,Allan Goh
Chee Seng Garden,Sale,1080000.0,3,3,1500,Millie Chew
Chee Seng Garden,Sale,1080000.0,3,2,2000,Vick Teoh
Chee Seng Garden,Sale,1080000.0,3,3,2000,Kelvin Seow
Chee Seng Garden,Sale,3000000.0,4,4,4250,Jordan Voon
Chee Seng Garden,Sale,3000000.0,4,4,4250,Jordan Voon
Chee Seng Garden,Sale,1200000.0,6,6,2000,Jeff Ooi
