PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Duta Villa  2,Sale,458000.0,4,4,2600,Eddy .
Duta Villa  2,Sale,426000.0,4,4,2300,Connie Lim
Duta Villa  2,Sale,518000.0,4,4,2600,Connie Lim
Duta Villa  2,Sale,1260000.0,6,6,3680,Khairudin Sulaiman
Duta Villa  2,Sale,950000.0,4,4,2500,Sarliza Jafar
Duta Villa  2,Sale,368000.0,4,4,2530,Siti Nurhaliza
Duta Villa  2,Sale,479888.0,4,4,2680,Siti Nurhaliza
Duta Villa  2,Sale,403000.0,4,4,2680,Siti Nurhaliza
Duta Villa  2,Sale,367000.0,4,4,2680,Siti Nurhaliza
Duta Villa  2,Sale,1467000.0,6,6,3660,Dr. Laily Rashid
Duta Villa  2,Sale,448000.0,4,4,2800,James Tan
Duta Villa  2,Sale,1681000.0,5,6,3833,Ahmad Faiz Lajis
Duta Villa  2,Sale,668800.0,4,4,2530,Siti Nurhaliza
