PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Crescent Park Townvilla,Sale,599000.0,4,4,1873.0,Afiq Omar
Crescent Park Townvilla,Sale,670000.0,3,4,1872.0,Mohd Rafiee
Crescent Park Townvilla,Sale,599000.0,4,4,1873.0,Abu Bakar Yahya
Crescent Park Townvilla,Sale,550000.0,4,3,1609.0,Khairul Nizam
Crescent Park Townvilla,Sale,640000.0,4,3,1309.0,DILLA -
Crescent Park Townvilla,Sale,660000.0,3,3,1603.0,Izzat Zamros
Crescent Park Townvilla,Sale,555000.0,4,4,1872.0,Afifi Sedzali
Crescent Park Townvilla,Sale,650000.0,3,3,1603.0,Farah Hanan
Crescent Park Townvilla,Sale,509000.0,3,2,1474.0,Adzura Zamedin
Crescent Park Townvilla,Sale,550000.0,3,3,1609.0,Khairul Nizam
Crescent Park Townvilla,Sale,509000.0,4,3,1496.0,Zalia .
Crescent Park Townvilla,Sale,550000.0,3,3,1609.0,Muhammad Fahid Fitlla
Crescent Park Townvilla,Sale,640000.0,3,4,1872.0,Badrul Hisyam
Crescent Park Townvilla,Sale,640000.0,3,4,1872.0,Badrul Hisyam
Crescent Park Townvilla,Rent,1900.0,4,4,1488.0,Chong .
Crescent Park Townvilla,Rent,1500.0,4,4,1872.0,Dante Leong Zhenwen
"Pearl Residences, Bandar Mahkota Cheras",Sale,360000.0,3,2,1080.0,Catherine Cheah
"Pearl Residences, Bandar Mahkota Cheras",Sale,1300000.0,5,5,1760.0,Kia Li
"Pearl Residences, Bandar Mahkota Cheras",Sale,300000.0,3,1,964.0,Derek Leong
"Pearl Residences, Bandar Mahkota Cheras",Sale,1300000.0,5,5,3000.0,Jaymi Tan
"Pearl Residences, Bandar Mahkota Cheras",Sale,340000.0,3,2,963.0,Stacy Young
"Pearl Residences, Bandar Mahkota Cheras",Sale,1300000.0,5,5,3700.0,Stacy Young
"Pearl Residences, Bandar Mahkota Cheras",Sale,1300000.0,4,3,3747.0,Stacy Young
"Pearl Residences, Bandar Mahkota Cheras",Sale,1600000.0,5,5,3700.0,Stacy Young
"Pearl Residences, Bandar Mahkota Cheras",Sale,340000.0,3,2,963.0,Hei Kar Jun
"Pearl Residences, Bandar Mahkota Cheras",Sale,1600000.0,6,5,4800.0,Charisse Ng
"Pearl Residences, Bandar Mahkota Cheras",Sale,1600000.0,5,5,3700.0,Hei Kar Jun
"Pearl Residences, Bandar Mahkota Cheras",Sale,340000.0,3,2,963.0,Ong Teck Hong
"Pearl Residences, Bandar Mahkota Cheras",Sale,1310000.0,5,5,1600.0,Jeannie Khaw
"Pearl Residences, Bandar Mahkota Cheras",Sale,1600000.0,6,5,4800.0,Jeannie Khaw
