PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Leisure Farm,Sale,1888000.0,5,5,3721,Jin Chong
Leisure Farm,Sale,1480000.0,5,5,3500,Kayden Beh
Leisure Farm,Sale,3380000.0,6,7,6545,Rachel See
Leisure Farm,Sale,8800000.0,5,6,9662,Sheng Long
Leisure Farm,Sale,1880000.0,5,5,3721,Sheng Long
Leisure Farm,Sale,3114860.0,,,44498,Mark Mah
Leisure Farm,Sale,1880000.0,5,5,3721,Eric Wong
Leisure Farm,Sale,4316364.0,,,55338,Mark Mah
Leisure Farm,Sale,1720000.0,5,5,3500,Rachel See
Leisure Farm,Sale,4034100.0,,,57630,Mark Mah
Leisure Farm,Sale,1600000.0,4,5,3900,Mark Mah
Leisure Farm,Sale,3500000.0,6,6,4120,Stanley Tan
Leisure Farm,Sale,1880000.0,5,5,3721,Stanley Tan
Leisure Farm,Sale,2300000.0,5,4,4391,Stanley Tan
Leisure Farm,Sale,1888000.0,5,5,3271,Joaan Eng
Leisure Farm,Sale,1888000.0,5,5,3721,YIN YIN
Leisure Farm,Sale,1320000.0,3,3,1973,C L Chia
Leisure Farm,Sale,8800000.0,4,5,9662,Ryan Tan
Leisure Farm,Sale,8000000.0,4,4,7578,Ryan Tan
Leisure Farm,Sale,1600000.0,,,17000,Jacob Koh
Leisure Farm,Sale,58.0,,,47000,Jacob Koh
Leisure Farm,Sale,80.0,,,46400,Jacob Koh
Leisure Farm,Sale,20000000.0,8,9,15794,Max Keng
Leisure Farm,Sale,10000000.0,7,7,8000,Leon Tan
Leisure Farm,Sale,12000000.0,9,9,12000,Leon Tan
Leisure Farm,Sale,5900000.0,5,5,5000,Jayson Lim
Leisure Farm,Sale,1320000.0,3,3,1973,C L Chia
Leisure Farm,Sale,85.0,,,25816,Kristopher Lee
Leisure Farm,Sale,108.0,,,19105,Kristopher Lee
Leisure Farm,Sale,95.0,,,18077,YS Chong
Leisure Farm,Sale,486000.0,4,4,1646,Jason Tang
Leisure Farm,Sale,5170000.0,,,47000,Deric Ng
Leisure Farm,Sale,4300000.0,6,6,8000,M.L. Mok
Leisure Farm,Sale,3800000.0,4,4,7000,M.L. Mok
Leisure Farm,Sale,3200000.0,4,4,5500,M.L. Mok
Leisure Farm,Sale,2950000.0,5,5,4500,Will Loh
Leisure Farm,Sale,3900000.0,5,5,8000,KK Koh
Leisure Farm,Sale,16000000.0,Studio,Studio,46454,Andy Tan BC
Leisure Farm,Sale,10000000.0,5,6,12000,KK Koh
Leisure Farm,Sale,1700000.0,5,5,3500,David Yap
Leisure Farm,Sale,6000000.0,,,50170,Jacky Chua
