PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Kiara Peak Residence,Sale,6100000.0,6,5,5085,Visaghan Naidu
Kiara Peak Residence,Sale,7950000.0,6,7,6300,Joel Loke
Kiara Peak Residence,Sale,5200000.0,,,10118,Elise Leoon
Kiara Peak Residence,Sale,5200000.0,,,10128,Michelle Yun
Kiara Peak Residence,Sale,9800000.0,6,6,7300,BP Sua
Kiara Peak Residence,Sale,6000000.0,7,7,5085,Elaine Liang
Kiara Peak Residence,Sale,6300000.0,7,6,5085,William Wong
Kiara Peak Residence,Sale,6200000.0,5,5,3618,Francis Ngooi
Kiara Peak Residence,Sale,5280000.0,5,5,10118,Francis Ngooi
Kiara Peak Residence,Sale,10000000.0,5,7,7000,Liew JN
Kiara Peak Residence,Sale,9500000.0,6,6,8000,Liew JN
Kiara Peak Residence,Sale,8000000.0,6,5,6000,Liew JN
Kiara Peak Residence,Sale,6300000.0,6,5,3618,William Wong
Kiara Peak Residence,Sale,10500000.0,6,6,7500,Chloe Seet
Kiara Peak Residence,Rent,17000.0,6,6,5500,Esther Lim
Kiara Peak Residence,Rent,18000.0,6,6,7500,Chloe Seet
Kiara Peak Residence,Rent,16000.0,5,4,4500,Xinzi Yew
Kiara Peak Residence,Rent,18000.0,5,6,7500,Patricia Lee
The Ara,Sale,5500000.0,5,6,6704,James Thong
The Ara,Sale,3488000.0,5,5,6700,Daniel Ong
The Ara,Sale,3499000.0,4,6,4100,Jeremy .
The Ara,Sale,5500000.0,4,5,6710,Liew JN
The Ara,Sale,5500000.0,5,5,6710,Alan Chin
The Ara,Sale,5500000.0,5,6,6703,Karen K
The Ara,Sale,5500000.0,5,6,6703,Karen K
The Ara,Sale,5500000.0,5,6,6704,Jeremy Tang
The Ara,Sale,5500000.0,5,5,6703,JASON LEE
The Ara,Sale,5500000.0,6,6,6704,Kevin Teh
The Ara,Sale,5500000.0,5,6,6700,KK .
The Ara,Sale,5500000.0,5,6,6704,Usamah Kamarudin
Damai Gayana,Sale,2999000.0,7,7,4928,Shanny Tan
Damai Gayana,Sale,5500000.0,8,7,8000,Fred Chai Meng Foong
Damai Gayana,Sale,2390000.0,6,7,3863,Fred Chai Meng Foong
Damai Gayana,Sale,2280000.0,5,5,3300,Juneway Lee
Damai Gayana,Sale,2000000.0,5,5,3500,Jayden Yong
Damai Gayana,Sale,2504000.0,7,7,4543,Chriz Chen
Damai Gayana,Sale,2390000.0,6,7,3863,Ong Teck Hong
Damai Gayana,Sale,2000000.0,5,5,3500,Charisse Ng
Damai Gayana,Sale,2500000.0,6,6,4500,Danny Low
Damai Gayana,Sale,1750000.0,5,5,3000,Danny Low
Damai Gayana,Sale,3200000.0,7,7,5300,Danny Low
Damai Gayana,Sale,3277500.0,7,7,5300,Danny Low
Damai Gayana,Sale,2000000.0,5,5,3500,Nick Wong
Damai Gayana,Sale,2000000.0,4,5,3500,Ong Teck Hong
Damai Gayana,Sale,2220000.0,5,5,2980,Vicky Chang
Damai Gayana,Sale,1973990.0,5,5,2976,Eddie Chin
Damai Gayana,Sale,2500000.0,6,7,3863,Eddie Chin
Damai Gayana,Sale,1800000.0,5,5,2976,Kent Yap
Damai Gayana,Sale,3260000.0,7,7,5300,Kent Yap
Damai Gayana,Sale,2555000.0,6,6,4543,Kent Yap
Damai Gayana,Sale,2504750.0,7,7,4543,Chriz Chen
Damai Gayana,Sale,2390000.0,6,7,3863,Stacy Young
Damai Gayana,Sale,3300000.0,6,6,4500,Ida Wong
Damai Gayana,Sale,3300000.0,6,6,4500,Dlynie Ooi
Damai Gayana,Sale,2390000.0,6,7,3863,Vittor Soon
Damai Gayana,Sale,2390000.0,6,7,3863,Dlynie Ooi
Damai Gayana,Sale,2390000.0,6,7,3860,David Tang
Damai Gayana,Sale,2300000.0,5,5,3197,Chin Chee Meng
Damai Gayana,Sale,3000000.0,6,7,3853,Chin Chee Meng
Damai Gayana,Sale,2999999.0,6,7,4800,Lau CG
Damai Gayana,Sale,2390000.0,6,7,3863,Jaymi Tan
Damai Gayana,Sale,3300000.0,6,6,4500,Vittor Soon
Damai Gayana,Sale,2390000.0,6,7,3863,Yvonne Kho
Damai Gayana,Sale,2300000.0,5,5,2979,Chloe Seet
Damai Gayana,Sale,2390000.0,6,7,3863,JIMMY NG
Damai Gayana,Sale,1776591.0,5,5,2977,Zach Chiang
Damai Gayana,Sale,2390000.0,6,7,3863,Stacy Young
Damai Gayana,Sale,2300000.0,5,5,3300,Jojo Kok
Damai Gayana,Sale,2390000.0,6,7,3863,Jayden Yong
Damai Gayana,Sale,3346000.0,7,7,5300,Terrance Leong
Damai Gayana,Sale,3000000.0,6,7,3853,Ken Lew
Damai Gayana,Sale,2450000.0,6,7,3864,Hei Kar Jun
Damai Gayana,Sale,3097000.0,7,7,5280,Vicky Chang
Damai Gayana,Sale,2450000.0,6,7,3863,Jeannie Khaw
Damai Gayana,Sale,3000000.0,6,6,3432,Andi Tee
Damai Gayana,Sale,2450000.0,6,7,3683,Joshua Ong
Damai Gayana,Sale,2450000.0,6,7,3863,Meis Chua
Damai Gayana,Sale,5500000.0,8,7,8000,Hei Kar Jun
Damai Gayana,Sale,3346000.0,7,7,5300,Terrance Leong
Damai Gayana,Sale,2420000.0,6,6,5300,Terrance Leong
Damai Gayana,Sale,2250000.0,4,5,2979,Penny Loh
Damai Gayana,Sale,3000000.0,6,7,3852,Vincent Lee
Damai Gayana,Sale,2450000.0,6,7,3863,Esharani .
Damai Gayana,Sale,3000000.0,6,7,3853,Azwan Zahri
Damai Gayana,Sale,3346000.0,7,7,5300,Terrance Leong
Damai Gayana,Sale,3000000.0,6,6,5300,Terrance Leong
Damai Gayana,Sale,3000000.0,6,7,3853,Muhammad Daniel
Damai Gayana,Sale,3000000.0,6,7,3852,Felix Wong
