PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
SPB Property Taman Nuri Melaka,Sale,499888.0,,,2088,Sri Pengkalan Binaan SDN BHD
SPB Property Taman Nuri Melaka,Sale,468000.0,4,3,1920,Yeong .
SPB Property Taman Nuri Melaka,Sale,450000.0,4,3,2040,Adeline Woon
SPB Property Taman Nuri Melaka,Sale,480000.0,4,3,2400,Kellyn Foo
SPB Property Taman Nuri Melaka,Sale,549000.0,4,3,4348,Yeong .
SPB Property Taman Nuri Melaka,Sale,450000.0,4,3,2040,Leng Dee
SPB Property Taman Nuri Melaka,Sale,880000.0,5,5,3268,BL Bong
Ozana Villa,Sale,1888000.0,7,6,8000,Danny Kuah Kim Hai
Ozana Villa,Sale,463826.0,,,7997,BL Bong
Ozana Villa,Sale,420000.0,,,8000,Yeow Rui Jun
Ozana Villa,Sale,2300000.0,5,5,10000,Yeow Rui Jun
Ozana Villa,Sale,1040000.0,,,16000,Wesley Tan
Ozana Villa,Sale,1250000.0,7,3,3600,Wesley Tan
Ozana Villa,Sale,460000.0,,,7997,Wesley Tan
Ozana Villa,Sale,60.0,,,7997,Alvin Chan Kai Boon
Ozana Villa,Sale,1390000.0,7,4,4000,BL Bong
Ozana Villa,Sale,1600000.0,4,4,2500,BL Bong
Ozana Villa,Sale,479820.0,,,7997,BL Bong
Ozana Villa,Sale,564395.0,,,8683,Wesley Tan
Ozana Villa,Rent,3900.0,4,3,8000,Vinc Pheng
Ozana Villa,Rent,3900.0,4,3,8000,Kenny Tay
Vista Kirana,Sale,1000000.0,6,5,4239,Steven Sor
Vista Kirana,Sale,950000.0,6,5,4239,Steven Sor
Vista Kirana,Sale,980000.0,6,5,4347,Steven Sor
Vista Kirana,Sale,1180000.0,7,6,4766,Steven Sor
Vista Kirana,Sale,968000.0,6,5,9017,Wesley Tan
Vista Kirana,Sale,1400000.0,6,4,4766,Wesley Tan
Vista Kirana,Sale,1680000.0,6,4,5000,Wesley Tan
Vista Kirana,Sale,780000.0,5,4,3320,NS Han
Vista Kirana,Sale,1450000.0,6,5,4303,Mathias Tan
Vista Kirana,Sale,1390000.0,7,4,4600,Mathias Tan
Vista Kirana,Sale,1480000.0,6,5,3000,Johnny Wong
Vista Kirana,Sale,950000.0,6,5,4250,Yeow Rui Jun
Vista Kirana,Sale,1150000.0,6,5,7980,Yeow Rui Jun
Vista Kirana,Sale,1150000.0,6,5,7900,Yeow Rui Jun
Vista Kirana,Sale,1000000.0,6,5,4250,Wesley Tan
Vista Kirana,Sale,1050000.0,6,4,4250,Wesley Tan
Vista Kirana,Sale,1280000.0,6,5,10957,Wesley Tan
Vista Kirana,Sale,1280000.0,6,6,4766,Wesley Tan
Vista Kirana,Sale,1350000.0,8,8,6000,Wesley Tan
Vista Kirana,Sale,750000.0,5,3,5480,Raymond Lim PW
Vista Kirana,Sale,1200000.0,6,5,4250,Steven Sor
Vista Kirana,Sale,1250000.0,7,5,4766,Wesley Tan
Vista Kirana,Sale,930000.0,5,4,7775,Wesley Tan
Vista Kirana,Sale,1250000.0,6,5,5000,Yeow Rui Jun
Vista Kirana,Sale,1500000.0,6,5,4500,Yeow Rui Jun
Vista Kirana,Sale,1300000.0,6,5,7887,Yeow Rui Jun
Vista Kirana,Sale,1500000.0,6,5,4250,Jason Yeo
Vista Kirana,Sale,748000.0,5,3,3789,Wesley Tan
Vista Kirana,Sale,930000.0,6,5,7876,Yeow Rui Jun
Vista Kirana,Sale,2200000.0,7,6,5000,Yeow Rui Jun
Vista Kirana,Sale,620000.0,4,3,6000,Siti Fatimah
Vista Kirana,Sale,999999.0,5,4,7844,Jaclyn Ong
Vista Kirana,Sale,800000.0,5,3,3175,B Fong Law
Vista Kirana,Sale,1400000.0,7,4,3000,Jenny Tai Chen Leen
Vista Kirana,Sale,688000.0,5,3,3600,Lawrance Lim
Vista Kirana,Sale,1299000.0,5,5,4250,Susan .
Vista Kirana,Sale,960000.0,6,5,3200,Susan .
Vista Kirana,Sale,988000.0,6,5,8800,Susan .
Vista Kirana,Sale,860000.0,6,4,3000,Shawn Teh
Vista Kirana,Sale,790000.0,5,3,2500,May .
Vista Kirana,Sale,1200000.0,6,5,4250,Steven Sor
Vista Kirana,Sale,1250000.0,7,5,4766,Wesley Tan
Vista Kirana,Sale,930000.0,5,4,7775,Wesley Tan
Vista Kirana,Sale,1250000.0,6,5,5000,Yeow Rui Jun
Vista Kirana,Sale,1500000.0,6,5,4500,Yeow Rui Jun
Vista Kirana,Sale,1300000.0,6,5,7887,Yeow Rui Jun
Vista Kirana,Sale,1500000.0,6,5,4250,Jason Yeo
Vista Kirana,Sale,748000.0,5,3,3789,Wesley Tan
Vista Kirana,Sale,930000.0,6,5,7876,Yeow Rui Jun
Vista Kirana,Sale,2200000.0,7,6,5000,Yeow Rui Jun
Vista Kirana,Sale,620000.0,4,3,6000,Siti Fatimah
Vista Kirana,Sale,999999.0,5,4,7844,Jaclyn Ong
Vista Kirana,Sale,800000.0,5,3,3175,B Fong Law
Vista Kirana,Sale,1400000.0,7,4,3000,Jenny Tai Chen Leen
Vista Kirana,Sale,688000.0,5,3,3600,Lawrance Lim
Vista Kirana,Sale,1299000.0,5,5,4250,Susan .
Vista Kirana,Sale,960000.0,6,5,3200,Susan .
Vista Kirana,Sale,988000.0,6,5,8800,Susan .
Vista Kirana,Sale,860000.0,6,4,3000,Shawn Teh
Vista Kirana,Sale,790000.0,5,3,2500,May .
Vista Kirana,Rent,2650.0,5,4,3200,Fiona Woon
Taman Paya Rumput Perdana,Sale,715000.0,5,3,4500,Joyce Oh
Taman Paya Rumput Perdana,Sale,770000.0,6,5,3684,Gwee .
