PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Vista Jambul,Sale,1430000.0,5,4,3030,Mervyn Seah
Vista Jambul,Sale,2700000.0,7,7,5355,Zhonl Saw Boon Loong
Vista Jambul,Sale,2280000.0,5,4,3200,Zhonl Saw Boon Loong
Vista Jambul,Sale,1350000.0,5,4,2780,Zhonl Saw Boon Loong
Vista Jambul,Sale,1350000.0,5,4,3020,Siang .
Vista Jambul,Sale,1300000.0,5,5,2780,Alex Cheah
Vista Jambul,Sale,1350000.0,5,5,3520,Steven Hng
Vista Jambul,Sale,1300000.0,6,5,2780,Jeff Ooi
Vista Jambul,Sale,2300000.0,7,7,3289,William Mag
Vista Jambul,Sale,1300000.0,6,5,2780,Mervyn Seah
Vista Jambul,Sale,1350000.0,5,4,3020,Siang .
Vista Jambul,Sale,1300000.0,5,4,3020,Alston Loh
Vista Jambul,Sale,1430000.0,5,6,3020,Alston Loh
Vista Jambul,Sale,1350000.0,5,5,3520,Jeff Teh
Vista Jambul,Sale,1430000.0,5,4,3030,Mervyn Seah
Vista Jambul,Sale,1350000.0,5,5,3520,Hong .
Vista Jambul,Sale,1280000.0,5,5,3520,Joan .
Vista Jambul,Sale,1350000.0,5,5,2780,Desmond .
Vista Jambul,Sale,1350000.0,5,5,2780,Xinnee .
Vista Jambul,Sale,1300000.0,5,5,2780,Alex Cheah
Vista Jambul,Sale,1260000.0,5,4,2780,Siang .
Cypress Villa @ Sungai Ara,Sale,1870000.0,5,5,4000,Carson Chuah
Cypress Villa @ Sungai Ara,Sale,1807000.0,5,5,3692,Zhonl Saw Boon Loong
Cypress Villa @ Sungai Ara,Sale,2500000.0,5,5,4100,Alex Cheah
Cypress Villa @ Sungai Ara,Sale,2115800.0,5,4,4000,Yumi Ong
Cypress Villa @ Sungai Ara,Sale,2500000.0,5,5,4090,Zhonl Saw Boon Loong
Cypress Villa @ Sungai Ara,Sale,1903000.0,5,4,3700,Jonathan Chng
Cypress Villa @ Sungai Ara,Sale,2550000.0,5,5,4100,Tavyi Poh
Cypress Villa @ Sungai Ara,Sale,2550000.0,5,6,4100,Serena Neoh
Cypress Villa @ Sungai Ara,Sale,2500000.0,6,5,4100,Zhonl Saw Boon Loong
Taman Indah @ Bukit Tengah,Sale,460000.0,4,3,1800,Leesa Cheah
Taman Indah @ Bukit Tengah,Sale,850000.0,4,3,2250,Lynda Tai
Solok Bukit Jambul,Sale,1600000.0,4,4,4020,Pei Hong
Solok Bukit Jambul,Sale,1800000.0,4,3,3000,Zhonl Saw Boon Loong
Solok Bukit Jambul,Sale,950000.0,4,3,1668,Vallen Teo
11 Brook Residences,Sale,7000000.0,6,6,5500,Andrew Ng
11 Brook Residences,Sale,17500000.0,8,4,5000,Irene Goh
11 Brook Residences,Sale,7000000.0,5,6,5500,Yihang Lim
Asia Hills,Sale,2200000.0,6,4,4887,Yonii Tan
Asia Hills,Sale,2200000.0,6,4,4887,Yonii Tan
Asia Hills,Sale,1750000.0,5,4,4000,Jia Yong
Asia Hills,Sale,2200000.0,6,5,3900,Dillon Tan
Asia Hills,Sale,2200000.0,6,6,3900,Bryan Teng
Asia Hills,Sale,2800000.0,6,6,4300,Bryan Teng
Asia Hills,Sale,1820000.0,5,4,4000,Jia Yong
Asia Hills,Sale,1690000.0,5,4,4000,Jia Yong
Asia Hills,Sale,1860000.0,5,5,4000,Kingslee .
Asia Hills,Sale,1860000.0,5,5,4000,Kingslee .
Asia Hills,Sale,2350000.0,7,7,5387,Caiwei Chew
Asia Hills,Sale,2800000.0,6,6,4300,Ming Ho
Asia Hills,Sale,1860000.0,5,5,4000,Kingslee .
Asia Hills,Sale,1790000.0,6,5,4086,Hao Tan
Asia Hills,Sale,2800000.0,5,7,4900,Pei Hong
Asia Hills,Sale,1860000.0,5,5,4700,Zhonl Saw Boon Loong
Asia Hills,Sale,1860000.0,5,4,4000,Jia Yong
Asia Hills,Sale,2200000.0,6,5,5351,WK Yam
Asia Hills,Sale,2800000.0,6,6,4300,Dylan Lee
Asia Hills,Sale,2270000.0,6,5,3900,Alex Cheah
Asia Hills,Sale,1860000.0,5,4,4000,Jia Yong
Asia Hills,Rent,4900.0,6,5,4086,Hao Tan
Asia Hills,Rent,6000.0,5,5,3900,Anders Ong
Asia Hills,Rent,4400.0,6,5,3900,Alison Chng
Asia Hills,Rent,5000.0,6,5,5351,WK Yam
Permatang Sanctuary,Sale,850000.0,4,3,2112,Quinn Beh
Permatang Sanctuary,Sale,860000.0,4,3,2112,Quinn Beh
Permatang Sanctuary,Sale,1100000.0,4,4,2861,Quinn Beh
Permatang Sanctuary,Sale,738000.0,4,3,3136,Celine Tan
Permatang Sanctuary,Sale,950000.0,4,3,1800,Jovine Ng
Permatang Sanctuary,Sale,950000.0,4,3,2100,Jonathan Chng
Permatang Sanctuary,Sale,860000.0,4,3,2100,Jonathan Chng
Permatang Sanctuary,Sale,980000.0,4,3,1800,Jovine Ng
Permatang Sanctuary,Sale,1200000.0,5,4,2400,Jovine Ng
Permatang Sanctuary,Sale,750000.0,4,3,1840,Siang Lim
Permatang Sanctuary,Sale,1100000.0,4,3,2000,Quinn Beh
Permatang Sanctuary,Sale,1050000.0,4,3,2134,Ellyn Tee
Permatang Sanctuary,Sale,978000.0,4,3,1840,Ellyn Tee
Permatang Sanctuary,Sale,820000.0,4,3,2112,Danny Ch'ng
Permatang Sanctuary,Sale,1000000.0,4,3,2200,Quinn Beh
Permatang Sanctuary,Rent,1800.0,4,3,1900,Grace Sim
Medan York @ Georgetown,Sale,3880000.0,6,7,6069,CT CHAI
Medan York @ Georgetown,Sale,3950000.0,7,8,6068,Amos Sin
Medan York @ Georgetown,Sale,2800000.0,4,3,3500,Amos Sin
Medan York @ Georgetown,Sale,6000000.0,6,6,4000,Amos Sin
Medan York @ Georgetown,Sale,6000000.0,4,3,4200,Elaine Ooi
Medan York @ Georgetown,Sale,5800000.0,5,3,4500,Elaine Ooi
Medan York @ Georgetown,Sale,3300000.0,6,6,6010,Lissa Ooi
Medan York @ Georgetown,Sale,2000000.0,5,3,2578,Alisson Chew
Medan York @ Georgetown,Sale,3990000.0,7,9,4500,Welson Teh
Medan York @ Georgetown,Sale,5800000.0,6,6,4000,Fennie Seow
Medan York @ Georgetown,Sale,12250000.0,8,5,24500,CT CHAI
Medan York @ Georgetown,Sale,10500000.0,5,4,20500,CT CHAI
Medan York @ Georgetown,Sale,6000000.0,6,6,4000,Allen Yeoh
Medan York @ Georgetown,Rent,5800.0,6,6,4000,Irene Goh
Medan York @ Georgetown,Rent,2700.0,4,4,2200,Eric Tan
Juru Villa,Sale,1150000.0,5,3,3060,Nicol Tan
Juru Villa,Sale,1288888.0,6,5,3900,Aaron Quah
Juru Villa,Sale,1200000.0,6,5,4750,Aaron Quah
Fettes Park,Sale,1100000.0,4,2,2000,Sharon Goay
Fettes Park,Sale,3600000.0,4,2,3000,Steven Hng
Fettes Park,Sale,680000.0,3,2,1000,Steven Hng
Fettes Park,Sale,1000000.0,3,1,1100,Sunny Tan
Fettes Park,Sale,1450000.0,5,3,1700,Pei Hoon
Fettes Park,Sale,998000.0,3,2,1700,Max Tay
Fettes Park,Sale,770000.0,3,1,1000,Alex Cheah
