PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Harmoni Park,Sale,900000.0,5,4,2816.0,LS Chu
Harmoni Park,Sale,870000.0,5,4,2816.0,WAN MUHAMMAD
Harmoni Park,Sale,870000.0,5,4,2816.0,Iqbal Rafei
Harmoni Park,Sale,950000.0,5,4,2800.0,Syed Shah
Harmoni Park,Sale,880000.0,5,4,2815.0,WAN MUHAMMAD
Harmoni Park,Sale,1200000.0,4,4,2880.0,Syafiq Razak
Harmoni Park,Sale,555000.0,,,4245.0,Alex Loo
Harmoni Park,Sale,1050000.0,5,4,2816.0,Azila .
Harmoni Park,Sale,1050000.0,5,4,2816.0,Farrah Khairuddin
Harmoni Park,Sale,870000.0,5,4,2816.0,Alif Saad
Harmoni Park,Sale,850000.0,5,4,2815.0,Liana Sofea
Harmoni Park,Sale,540000.0,,,4145.0,Aziz Saad
Harmoni Park,Sale,900000.0,5,4,2816.0,Candy Tan
Harmoni Park,Sale,880000.0,4,4,2815.0,Badrul Hisyam
Harmoni Park,Sale,870000.0,5,4,2816.0,Siti Fatimah
Harmoni Park,Sale,1380000.0,5,4,2816.0,Atiqah Yaacob
Harmoni Park,Sale,880000.0,5,4,2816.0,Ahmad Fadlee
Harmoni Park,Sale,880000.0,4,4,2815.0,Ahmad Fadlee
Harmoni Park,Sale,870000.0,5,4,2816.0,WAN MUHAMMAD
Harmoni Park,Sale,880000.0,5,4,2815.0,WAN MUHAMMAD
Harmoni Park,Sale,1168000.0,4,4,3700.0,Wenny Lee
Taman Impian Gemilang,Sale,3900000.0,7,7,5000.0,Jessie Choi
Taman Impian Gemilang,Sale,830000.0,5,3,2300.0,Azrul Ismail
Taman Impian Gemilang,Sale,830000.0,5,3,2500.0,Ahmad Ikhwan Arif
Taman Impian Gemilang,Sale,830000.0,5,3,3185.0,Muizz Razak
Taman Impian Gemilang,Sale,830000.0,5,3,3185.0,Ahmad Fikri Amer Hamzah
Taman Impian Gemilang,Sale,830000.0,5,3,3185.0,Nazli Ambak
