PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Jati Flat Kulim (Block A B C D),Sale,135000.0,3,1,539,Janice Lim
Taman Jati Flat Kulim (Block A B C D),Sale,145000.0,3,1,592,Ruswahida .
Tropicana Cenang,Sale,457000.0,1,1,380,Cenang Resort Sdn Bhd
Tropicana Cenang,Sale,457000.0,1,1,380,Edwin Ong
Tropicana Cenang,Sale,457000.0,Studio,Studio,380,Jennifer Lee
Tropicana Cenang,Sale,438000.0,Studio,Studio,380,Lim Jin Hong
Tropicana Cenang,Sale,457000.0,1,1,380,AHMAD SYUKRI
Tropicana Cenang,Sale,457000.0,Studio,Studio,380,AHMAD SYUKRI
Tropicana Cenang,Sale,430000.0,Studio,Studio,380,Jack Lee
Century Suria,Sale,1600000.0,4,4,2142,Eugene Tung
Tropicana Cenang,Sale,457000.0,Studio,Studio,380,Lim Jin Hong
Tropicana Cenang,Sale,975000.0,2,2,771,Francis Ngooi
Tropicana Cenang,Sale,975000.0,2,1,771,Larry Wong
Tropicana Cenang,Sale,1800000.0,4,3,1310,AHMAD SYUKRI
Tropicana Cenang,Sale,457000.0,Studio,Studio,380,Larry Wong
Tropicana Cenang,Sale,1231000.0,3,2,986,Larry Wong
Tropicana Cenang,Sale,1733000.0,4,3,1310,Larry Wong
Tropicana Cenang,Sale,1800000.0,4,3,1310,AHMAD SYUKRI
Lavanya Residences,Sale,623000.0,2,2,484,Haneef .
Lavanya Residences,Sale,3392000.0,5,4,4640,Francis Ngooi
