PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Sinaran Ukay Condominium,Sale,310000.0,3,2,1135.0,Muhammad Affan
Sinaran Ukay Condominium,Sale,200000.0,3,2,1139.0,Patrick Wong
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Faizal Effendi
Sinaran Ukay Condominium,Sale,398000.0,4,2,1988.0,Eddie Loh
Sinaran Ukay Condominium,Sale,299000.0,3,2,1150.0,Howard Tang
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,MOHD HUZAIRI
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Fa-izul Hakimi
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Nor Sheela Tamat
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Ahmad Waikmal
Sinaran Ukay Condominium,Sale,310000.0,3,2,1135.0,Izza Samsudin
Sinaran Ukay Condominium,Sale,310000.0,3,2,1135.0,Rashidah Juremi
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,AimiRahim Hartanah
Sinaran Ukay Condominium,Sale,310000.0,3,2,1135.0,Mohamad Yusre
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Cik Ida
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Khairul Nizam
Sinaran Ukay Condominium,Sale,310000.0,3,2,1135.0,Bryan Cho
Sinaran Ukay Condominium,Sale,200000.0,3,2,1139.0,Tim Chong
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Mahafiz .
Sinaran Ukay Condominium,Sale,310000.0,3,2,1135.0,Ahmad Ikhwan Arif
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Sheila Mutalib
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Muhammad Afiq
Sinaran Ukay Condominium,Sale,310000.0,3,2,1135.0,Azli Ibrahim
Sinaran Ukay Condominium,Sale,320000.0,3,2,1135.0,Arif Halim
