PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Cempaka Apartment (Garden Avenue S2),Sale,150000.0,3,1,624,Theresa Chew
Cempaka Apartment (Garden Avenue S2),Sale,96000.0,3,2,624,Chong Yuen Kiong
Cempaka Apartment (Garden Avenue S2),Sale,96000.0,3,1,624,Chong Yuen Kiong
Cempaka Apartment (Garden Avenue S2),Rent,800.0,3,1,624,Theresa Chew
Desa Palma (Putra Nilai),Sale,210000.0,3,2,828,Aiman Aqilah
Desa Palma (Putra Nilai),Sale,200000.0,3,2,791,Dr. Laily Rashid
Desa Palma (Putra Nilai),Sale,215000.0,3,2,828,ZulFikri .
Desa Palma (Putra Nilai),Sale,200000.0,3,2,728,Arif Halim
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Shafiq Amerudin
Desa Palma (Putra Nilai),Sale,188000.0,3,2,807,Connie Chong
Desa Palma (Putra Nilai),Sale,110000.0,3,2,728,Athena Cho
Desa Palma (Putra Nilai),Sale,200000.0,3,2,828,Athena Cho
Desa Palma (Putra Nilai),Sale,175000.0,3,2,728,Athena Cho
Desa Palma (Putra Nilai),Sale,190000.0,3,2,828,Athena Cho
Desa Palma (Putra Nilai),Sale,195000.0,3,2,828,Michelle Hui
Desa Palma (Putra Nilai),Sale,175000.0,3,2,728,Jason Siew
Desa Palma (Putra Nilai),Sale,200000.0,3,2,791,Haliza Mohamad Haron
Desa Palma (Putra Nilai),Sale,215000.0,3,2,828,Ainun Duyal
Desa Palma (Putra Nilai),Sale,215000.0,3,2,828,Aini Rafiqah
Desa Palma (Putra Nilai),Sale,215000.0,3,2,828,mohd zamri mohd duyalmi
Desa Palma (Putra Nilai),Sale,220000.0,4,2,720,Ally Chong
Desa Palma (Putra Nilai),Sale,220000.0,4,2,720,Ally Chong
Desa Palma (Putra Nilai),Sale,178000.0,3,2,828,Damon Er
Desa Palma (Putra Nilai),Sale,110000.0,3,2,728,Chrix Soo
Desa Palma (Putra Nilai),Sale,190000.0,3,2,828,Chrix Soo
Desa Palma (Putra Nilai),Sale,175000.0,3,2,728,Chrix Soo
Desa Palma (Putra Nilai),Sale,200000.0,3,2,828,Chrix Soo
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Nalhalim Othman
Desa Palma (Putra Nilai),Sale,215000.0,3,2,828,Mohamad Hanafi
Desa Palma (Putra Nilai),Sale,178000.0,3,2,828,Damon Er
Desa Palma (Putra Nilai),Sale,188000.0,3,2,806,Billy Chan
Desa Palma (Putra Nilai),Sale,175000.0,3,2,728,Azli Ibrahim
Desa Palma (Putra Nilai),Rent,1100.0,3,2,850,Mr Teoh .
Desa Palma (Putra Nilai),Rent,700.0,3,2,850,Hisham Ahmad
Glory Beach Resort Apartment,Sale,220000.0,2,1,625,Intan Maslyn
Glory Beach Resort Apartment,Sale,220000.0,2,1,625,Najibah Sahari
