PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Villa Indah @ Bukit Tinggi Pahang,Sale,345000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,330000.0,3,2,850,Jennifer Yap
Villa Indah @ Bukit Tinggi Pahang,Sale,345000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,230000.0,2,1,450,HONG .
Villa Indah @ Bukit Tinggi Pahang,Sale,338000.0,3,2,850,Lay Kien
Villa Indah @ Bukit Tinggi Pahang,Sale,400000.0,3,3,1205,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,355000.0,3,3,1200,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,338000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,345000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,295000.0,2,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,295000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Rent,1900.0,3,3,1600,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Rent,1200.0,3,3,1400,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Rent,1250.0,3,2,850,Jenny Kong
Mont’ Hill @ Cameron Highlands,Sale,450000.0,3,2,1041,Lee Luke
"Crown Imperial Court, Cameron Highlands",Sale,267300.0,3,1,1227,P M Chan
"Crown Imperial Court, Cameron Highlands",Sale,360000.0,3,2,1077,Nicholas Lee
"Crown Imperial Court, Cameron Highlands",Sale,358000.0,3,2,1077,Nicholas Lee
"Crown Imperial Court, Cameron Highlands",Sale,297000.0,3,2,1227,P M Chan
"Crown Imperial Court, Cameron Highlands",Sale,340000.0,3,2,1077,Elsie Yoong
"Crown Imperial Court, Cameron Highlands",Sale,400000.0,3,2,1077,Davina Chai
"Genting View, Genting Highlands",Sale,480795.0,4,3,958,Cindy Siew
"Genting View, Genting Highlands",Sale,450000.0,2,2,850,Gaily Tay
"Genting View, Genting Highlands",Sale,387000.0,1,1,581,Jennifer Yap
"Genting View, Genting Highlands",Sale,397000.0,2,1,1330,Hasnah Pandak
"Genting View, Genting Highlands",Sale,430000.0,2,2,800,Cindy Siew
"Genting View, Genting Highlands",Sale,386365.0,1,1,581,Cindy Siew
"Genting View, Genting Highlands",Sale,439999.0,2,2,684,Jeff Siow
"Genting View, Genting Highlands",Sale,930000.0,1,1,520,Jimmy Teng
"Genting View, Genting Highlands",Sale,700000.0,3,2,1060,Jennifer Yap
"Genting View, Genting Highlands",Sale,318000.0,1,1,630,Angie Ng
"Genting View, Genting Highlands",Sale,580000.0,3,2,1050,Allan Foo
"Genting View, Genting Highlands",Sale,950000.0,2,2,870,Jeff Kuon
"Genting View, Genting Highlands",Sale,420000.0,1,1,600,Allan Foo
"Genting View, Genting Highlands",Sale,664620.0,3,2,1141,Cindy Siew
"Genting View, Genting Highlands",Sale,8000000.0,10,5,8500,Allan Foo
"Genting View, Genting Highlands",Rent,2600.0,3,2,1066,Cindy Siew
"Genting View, Genting Highlands",Rent,2600.0,3,2,1066,Cindy Siew
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,357000.0,Studio,Studio,380,Eugene Yap
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,493000.0,Studio,Studio,383,Cindy Low Mee Yong
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,822000.0,2,2,746,Cindy Low Mee Yong
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,357000.0,Studio,Studio,379,Stephy Lau
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,648000.0,2,1,577,Cindy Low Mee Yong
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,574000.0,2,1,574,Yahoo Wong
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,397000.0,1,1,379,Tropicana Sierra Sdn Bhd
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,402000.0,1,1,388,Ryon Chow
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,573000.0,2,1,570,Ryon Chow
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,750000.0,2,2,741,Maggie Chin
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,580000.0,2,1,570,Maggie Chin
TwinPines Serviced Suites @ Tropicana Grandhill,Sale,1200000.0,4,3,1150,Maggie Chin
