PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Dwiputra Residences,Sale,495000.0,3,2,950,Saiful Bahri Abdul Manan
Dwiputra Residences,Sale,520000.0,3,3,1200,Natalie Loke
Dwiputra Residences,Sale,520000.0,3,2,950,Mohd Adryzam Zamree
Dwiputra Residences,Sale,348000.0,3,2,958,Allen .
Dwiputra Residences,Sale,348000.0,3,2,958,Gary Chow
Dwiputra Residences,Sale,369000.0,3,2,958,Zinc Tsai
Dwiputra Residences,Sale,348500.0,3,2,958,Clayton Song PBMV
Dwiputra Residences,Sale,550000.0,3,3,1238,P M Chan
Dwiputra Residences,Sale,348000.0,3,2,958,Michele Lum
Dwiputra Residences,Sale,348000.0,3,2,958,Gary Chow
Dwiputra Residences,Sale,348500.0,3,2,958,Jaze Ong
Dwiputra Residences,Sale,348000.0,3,2,958,Samuel Yap
Dwiputra Residences,Sale,348000.0,3,2,958,Marcus Heh
Dwiputra Residences,Sale,510000.0,3,2,950,Muhamad Akmal Zakaria
Dwiputra Residences,Sale,500000.0,4,3,1200,May Tai
Dwiputra Residences,Sale,560000.0,3,3,1200,Natalie Loke
Dwiputra Residences,Sale,560000.0,3,3,1200,Haliza Mohamad Haron
Dwiputra Residences,Sale,460000.0,3,2,950,Rohani .
Dwiputra Residences,Sale,550000.0,3,2,950,Najah .
Dwiputra Residences,Sale,500000.0,3,2,950,Amirruddin .
Dwiputra Residences,Sale,560000.0,4,2,1200,Saiful Wazir
Dwiputra Residences,Sale,510000.0,4,3,1200,Elvis Ko
Dwiputra Residences,Sale,450000.0,3,2,950,Izza Samsudin
Dwiputra Residences,Sale,630000.0,3,3,1200,Fakhzan Badiran
Dwiputra Residences,Sale,530000.0,3,3,1200,Fakhzan Badiran
Dwiputra Residences,Sale,500000.0,3,2,950,Muhammad Fahid Fitlla
Dwiputra Residences,Sale,650000.0,3,2,950,JAMIL .
Dwiputra Residences,Sale,630000.0,4,3,1238,JAMIL .
Dwiputra Residences,Sale,410000.0,3,2,958,Chai .
Dwiputra Residences,Sale,440000.0,3,2,950,Shamzjoe .
Dwiputra Residences,Sale,495000.0,3,2,950,Saiful Bahri Abdul Manan
Dwiputra Residences,Sale,450000.0,3,2,950,Lela Rasmawati
Dwiputra Residences,Sale,450000.0,3,2,950,Izza Samsudin
