PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Beverly Hills Apartment Phase 3,Sale,318000.0,3,2,850,shirley Chow
Country Heights Apartments 1,Sale,170000.0,2,1,455,shirley Chow
Country Heights Apartments 1,Sale,150000.0,2,1,455,P M Chan
Country Heights Apartments 1,Sale,252000.0,3,2,845,Jason Tang
Villa Permai Jaya,Sale,165000.0,3,2,957,Jason Tang
Villa Permai Jaya,Sale,165000.0,3,2,957,Alwen Choong
The Peak Vista (Likas),Sale,1224000.0,4,3,1678,Allen .
The Peak Vista (Likas),Sale,950000.0,3,2,1293,shirley Chow
The Peak Vista (Likas),Sale,950000.0,3,2,1293,shirley Chow
The Peak Vista (Likas),Sale,1224000.0,4,4,1678,Chai .
The Peak Vista (Likas),Sale,1190000.0,3,2,1288,Grace Teo
The Peak Vista (Likas),Sale,1359000.0,3,3,1678,Alan Ho
The Peak Vista (Likas),Sale,1359000.0,4,4,1678,Michele Lum
The Peak Vista (Likas),Sale,1500000.0,4,3,1760,Japheth Liew
The Peak Vista (Likas),Sale,1080000.0,4,4,1443,Jason Tang
The Peak Vista (Likas),Sale,1510000.0,4,4,1678,Jason Tang
The Peak Vista (Likas),Rent,4000.0,3,2,1288,shirley Chow
The Peak Vista (Likas),Rent,3500.0,3,2,1309,shirley Chow
The Peak Condo (Likas),Sale,1390000.0,4,3,1689,Grace Teo
The Peak Condo (Likas),Sale,1150000.0,3,2,1290,shirley Chow
The Peak Condo (Likas),Rent,3900.0,3,2,1288,Grace Teo
Alam Damai Condominium,Rent,2100.0,3,2,1302,Gavin Chia
Likas Square,Sale,800000.0,3,2,1350,Faye Robert
Jesselton Residences,Sale,1790000.0,3,3,1669,Japheth Liew
Jesselton Residences,Sale,2880000.0,4,5,2266,Japheth Liew
Jesselton Residences,Sale,2121590.0,3,3,1669,Chloe Chee
Jesselton Residences,Rent,5000.0,3,4,2342,Gavin Chia
Jesselton Residences,Rent,5000.0,3,3,1669,Japheth Liew
Jesselton Residences,Rent,3000.0,2,2,965,Japheth Liew
Jesselton Residences,Rent,3700.0,3,3,1669,Japheth Liew
Pelagos Designer Suites,Rent,6500.0,4,4,2783,Ivy Lim
Pelagos Designer Suites,Rent,6000.0,3,3,1663,Japheth Liew
Pelagos Designer Suites,Rent,2300.0,Studio,Studio,780,Japheth Liew
Jesselton Twin Towers,Sale,629850.0,1,2,832,Grace Teo
Jesselton Twin Towers,Sale,539583.0,Studio,Studio,649,shirley Chow
Jesselton Twin Towers,Sale,622634.0,1,5,649,Jesselton Properties Sdn Bhd
Jesselton Twin Towers,Sale,1303701.0,4,3,1895,Chloe Chee
Jesselton Twin Towers,Sale,738140.0,1,2,832,Chloe Chee
Jesselton Twin Towers,Sale,696150.0,2,2,832,Gavin Chia
Jesselton Twin Towers,Sale,1002059.0,3,2,1357,Gavin Chia
Jesselton Twin Towers,Sale,1258398.0,3,3,1895,Gavin Chia
Jesselton Twin Towers,Sale,1041778.0,3,3,1641,Gavin Chia
Jesselton Twin Towers,Sale,1095862.0,3,3,1718,Gavin Chia
Jesselton Twin Towers,Sale,863600.0,2,2,1270,Gavin Chia
Jesselton Twin Towers,Sale,1041778.0,3,3,1641,Gavin Chia
Jesselton Twin Towers,Sale,1002059.0,3,3,1641,Gavin Chia
Jesselton Twin Towers,Sale,1002059.0,3,2,1357,Gavin Chia
Jesselton Twin Towers,Sale,1713164.0,3,4,2041,Gavin Chia
Jesselton Twin Towers,Sale,1258398.0,3,3,1895,Gavin Chia
Jesselton Twin Towers,Sale,742560.0,2,2,832,Gavin Chia
Jesselton Twin Towers,Sale,601643.0,Studio,Studio,649,Gavin Chia
Jesselton Twin Towers,Sale,1041255.0,3,3,1641,Chloe Chee
Jesselton Twin Towers,Sale,853480.0,2,2,1270,Chloe Chee
Jesselton Twin Towers,Sale,580956.0,Studio,Studio,649,Chloe Chee
Jesselton Twin Towers,Sale,1200000.0,3,3,1641,Grace Teo
Jesselton Twin Towers,Sale,629000.0,2,2,649,Faye Robert
Jesselton Twin Towers,Sale,1258390.0,4,3,1895,Chloe Chee
Jesselton Twin Towers,Sale,1136957.0,3,3,1719,Chloe Chee
