PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
De Summit Condominium,Sale,1000000.0,4,4,3450,KON SIEW PING
SkyVilla Condominium (MJC),Sale,435600.0,3,2,1089,Hunter Wee
SkyVilla Condominium (MJC),Sale,700000.0,3,2,1205,David Ling
SkyVilla Condominium (MJC),Sale,368000.0,3,2,100,KON SIEW PING
SkyVilla Condominium (MJC),Rent,1300.0,3,2,100,KON SIEW PING
SkyVilla Condominium (MJC),Rent,1800.0,3,2,1108,Hunter Wee
SkyVilla Condominium (MJC),Rent,1800.0,3,2,100,KON SIEW PING
The Tropics Condominium (Kuching),Sale,728000.0,3,4,1528,Clement Toh
Green Heights Villa,Rent,1500.0,4,2,100,KON SIEW PING
Kozi Square,Sale,224000.0,2,2,493,CY Leong
Ariva Gateway,Sale,650000.0,3,2,1179,Hunter Wee
Ariva Gateway,Rent,2500.0,3,2,1179,Hunter Wee
Stutong Heights Apartment 1,Rent,1900.0,3,2,1054,Clement Toh
The Ryegates,Sale,1250000.0,4,4,2949,Kevin Ton
Chonglin Plaza,Rent,1600.0,3,2,1290,Clement Toh
Riverine Emerald,Sale,680000.0,4,2,1600,Hunter Wee
Riverine Emerald,Sale,660000.0,3,2,1601,Kevin Ton
Riverine Emerald,Sale,660000.0,3,2,1547,Kenneth Wong
Riverine Emerald,Rent,2500.0,3,3,100,KON SIEW PING
Riverine Emerald,Rent,2500.0,3,2,100,KON SIEW PING
Riverine Emerald,Rent,2300.0,3,2,100,KON SIEW PING
