PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Livia Residences @ C180,Sale,365000.0,2,2,853.0,Joey Lim
Livia Residences @ C180,Sale,400000.0,2,2,850.0,Aaron Loh Liang Wei
Livia Residences @ C180,Sale,300000.0,1,1,550.0,Aaron Loh Liang Wei
Livia Residences @ C180,Sale,350000.0,Studio,Studio,551.0,Elaine Chen
Livia Residences @ C180,Sale,265000.0,1,1,551.0,Justin Allan
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Hei Kar Jun
Livia Residences @ C180,Sale,279999.0,1,1,551.0,Jorden Law
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Eric Ng
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Charisse Ng
Livia Residences @ C180,Sale,438000.0,1,1,551.0,Brandy Ho
Livia Residences @ C180,Sale,408000.0,3,2,853.0,Stacy Young
Livia Residences @ C180,Sale,388000.0,2,2,853.0,Brandy Ho
Livia Residences @ C180,Sale,375000.0,2,2,853.0,JJ Ooi
Livia Residences @ C180,Sale,258000.0,1,1,551.0,Yenyen .
Livia Residences @ C180,Sale,300000.0,1,1,551.0,Terrie Chai
Livia Residences @ C180,Sale,280000.0,1,1,551.0,Jenny E
Livia Residences @ C180,Sale,380000.0,2,2,853.0,Rony Yeo
Livia Residences @ C180,Sale,285000.0,1,1,551.0,Rony Yeo
Livia Residences @ C180,Sale,360000.0,2,2,850.0,Rony Yeo
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Catherine Hu
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Mohd Amir Anandh Abdullah
Livia Residences @ C180,Sale,420000.0,3,2,853.0,Khor Wen Han
Livia Residences @ C180,Sale,365000.0,2,2,853.0,Joey Lim
Livia Residences @ C180,Sale,300000.0,1,1,551.0,Katty Soon
Livia Residences @ C180,Sale,356000.0,2,2,852.0,Brandy Ho
Livia Residences @ C180,Sale,350000.0,1,1,551.0,Jan Ho
Livia Residences @ C180,Sale,290000.0,1,1,551.0,Katty Soon
Livia Residences @ C180,Sale,283000.0,1,1,551.0,Eric Yap
Livia Residences @ C180,Sale,280000.0,1,1,551.0,Markko Mak
Livia Residences @ C180,Rent,1400.0,2,2,800.0,Zed Lim
Livia Residences @ C180,Rent,1400.0,2,2,800.0,Zed Lim
Livia Residences @ C180,Rent,1800.0,2,2,853.0,Denson Yong
Livia Residences @ C180,Rent,1100.0,1,1,551.0,Trevor Chai
Livia Residences @ C180,Rent,1400.0,1,1,550.0,Lai Yuen
Livia Residences @ C180,Rent,1000.0,1,1,551.0,Tom Tan
