PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
The Serai,Sale,3200000.0,5,6,4600,Eugene Yap
The Serai,Sale,3200000.0,6,6,4600,Sim Chee Ming
The Serai,Sale,3200000.0,6,6,4600,Kent Chua
The Serai,Sale,3200000.0,6,6,4600,Kim Meng Lew
The Serai,Sale,3250000.0,6,6,4600,Edmond Loke
Duta Tropika,Sale,3500000.0,6,5,4300,Charles Lee
Duta Tropika,Sale,3500000.0,5,6,4200,Teoh Yie Hao
Duta Tropika,Sale,4000000.0,Studio,Studio,4200,Jenny Li
Duta Tropika,Sale,4000000.0,Studio,Studio,3800,Jenny Li
Duta Tropika,Sale,4500000.0,5,4,4000,Benedict Loh
Duta Tropika,Sale,4400000.0,5,5,4300,Sunny Lim
Duta Tropika,Sale,3680000.0,5,5,4200,Sunny Lim
Duta Tropika,Sale,3450000.0,5,5,4300,Anson Tan
Duta Tropika,Sale,3900000.0,5,6,4906,Clement Chan
Duta Tropika,Sale,3500000.0,5,5,4306,EK Chai
Duta Tropika,Sale,3500000.0,5,5,4375,Chris Brown
Duta Tropika,Sale,3600000.0,5,5,4305,Tricia Lee
Duta Tropika,Sale,3600000.0,5,6,4306,Donna Sim
Duta Tropika,Sale,4000000.0,5,6,4200,Donna Sim
Duta Tropika,Sale,3700000.0,4,6,4036,Melissa Tan
Duta Tropika,Sale,4380000.0,5,4,4200,Adrian Ang
Duta Tropika,Sale,4379999.0,5,6,4400,Jeremy .
Duta Tropika,Sale,3900000.0,5,6,4400,Jeremy .
Duta Tropika,Sale,4200000.0,4,4,4934,Xinzi Yew
Duta Tropika,Sale,3500000.0,5,6,4306,Chris Brown
Duta Tropika,Sale,4000000.0,5,4,3800,Lim Guat Im
Duta Tropika,Sale,3600000.0,6,6,3800,Peter Sek
Duta Tropika,Sale,3800000.0,5,5,4350,Kristing .
Duta Tropika,Sale,4380000.0,6,6,4300,Alan Chin
Duta Tropika,Sale,4950000.0,6,6,3821,Kevin Teh
Duta Tropika,Sale,4300000.0,5,4,3821,Kevin Teh
Duta Tropika,Sale,3500000.0,5,4,4020,Anson Tan
Duta Tropika,Sale,4500000.0,4,3,3600,KK .
Duta Tropika,Sale,3500000.0,5,4,3600,Xinzi Yew
Duta Tropika,Sale,5999000.0,5,5,4800,Gerald Ng
Duta Tropika,Sale,3500000.0,5,5,4212,Adibah Talip
Duta Tropika,Sale,4200000.0,6,6,3800,May Leong
Duta Tropika,Sale,3700000.0,5,6,4300,May Leong
Duta Tropika,Sale,4800000.0,5,4,3821,Gerald Ng
Duta Tropika,Sale,4300000.0,6,6,5000,Jeremy Tang
Duta Tropika,Sale,4800000.0,5,4,3821,Andi Tee
Duta Tropika,Sale,4380000.0,6,4,4300,Gerald Ng
Duta Tropika,Sale,4380000.0,6,4,4300,Gerald Ng
Duta Tropika,Sale,3999900.0,5,4,4300,Gerald Ng
Duta Tropika,Rent,12000.0,4,4,3800,Benedict Loh
Duta Tropika,Rent,11000.0,5,5,3900,Benedict Loh
Duta Tropika,Rent,12000.0,5,5,4000,Sunny Lim
Duta Tropika,Rent,11000.0,5,4,4856,Celine Lee
Duta Tropika,Rent,12000.0,6,5,4800,Jamie Aw
Duta Tropika,Rent,12000.0,5,4,4800,Jeremy Tan
Duta Tropika,Rent,11000.0,5,4,3900,Adrian Ang
Duta Tropika,Rent,12500.0,5,4,4200,Adrian Ang
Duta Tropika,Rent,12000.0,5,5,4300,Mike Tung
