PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Anjung Sungai Petai Phase 3,Sale,908800.0,4,2,1238,Southern Sierra S/B
Taman Peringgit Jaya,Sale,200000.0,,,6717,Fiqri Hazim Rozmi
Taman Desa Bertam,Sale,440000.0,4,3,2835,Gwee .
Taman Desa Bertam,Sale,699888.0,4,3,5660,Danny Kuah Kim Hai
Taman Desa Bertam,Sale,679888.0,4,3,3240,Danny Kuah Kim Hai
Taman Desa Bertam,Sale,698000.0,4,3,3240,Danny Kuah Kim Hai
Taman Desa Bertam,Sale,528800.0,4,4,2681,Joslin Liu
Taman Desa Bertam,Sale,440000.0,4,3,2825,Gwee .
Taman Desa Bertam,Sale,515000.0,4,3,2835,Gwee .
Taman Desa Bertam,Sale,440000.0,4,3,1800,Liza Khalid
Taman Desa Bertam,Sale,680000.0,4,3,3576,Aiden Teo
Taman Desa Bertam,Sale,515000.0,4,3,1680,Vinc Pheng
Taman Desa Bertam,Sale,450000.0,4,3,2112,Fadzle Padzil
Taman Desa Bertam,Sale,515000.0,4,3,3093,Kenny Tay
Taman Desa Bertam,Sale,440000.0,4,3,1540,Kenny Tay
Taman Desa Bertam,Sale,450000.0,4,3,1600,Kenny Tay
Taman Desa Bertam,Rent,1200.0,4,3,1920,Kenny Tay
