PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Seri Binjai,Sale,420000.0,4,4,3210,Emma Wong
Seri Binjai,Sale,438000.0,5,5,2800,Emma Wong
Seri Binjai,Sale,409000.0,4,4,3210,Emma Wong
Seri Binjai,Sale,408000.0,4,4,3200,Emma Wong
Seri Binjai,Sale,409000.0,5,4,2516,Emma Wong
Seri Binjai,Sale,428000.0,4,4,2516,Emma Wong
Seri Binjai,Sale,428000.0,4,4,2800,Emma Wong
Seri Binjai,Sale,450000.0,5,5,2315,Emma Wong
Seri Binjai,Sale,528000.0,4,4,3210,Emma Wong
Seri Binjai,Sale,420000.0,4,4,3155,Emma Wong
Seri Binjai,Sale,409000.0,4,4,3111,Emma Wong
Seri Binjai,Sale,408000.0,4,4,3214,Emma Wong
Seri Binjai,Sale,447111.0,4,4,3156,Emma Wong
Seri Binjai,Sale,455000.0,5,5,3151,Emma Wong
Seri Binjai,Sale,406000.0,4,4,3200,Emma Wong
Seri Binjai,Sale,502000.0,5,5,3511,Emma Wong
Seri Binjai,Sale,409000.0,5,5,3315,Emma Wong
Seri Binjai,Sale,1200000.0,4,4,3000,Chong Yuen Kiong
Seri Binjai,Rent,1450.0,4,3,2100,Jess Lim
Garden City Homes,Sale,500000.0,4,3,1800,Afifi Sedzali
Garden City Homes,Sale,790000.0,5,4,2847,Eddy Azuan
Garden City Homes,Sale,790000.0,5,4,2847,Tun Fatimah
Garden City Homes,Sale,630000.0,4,3,2200,Khoo .
Garden City Homes,Sale,550000.0,4,3,2000,Chia Henric
Garden City Homes,Sale,480000.0,4,3,2608,Muhammad Afiq
Garden City Homes,Sale,600000.0,4,3,2242,Nyco Lim
Garden City Homes,Sale,790000.0,5,4,2847,Nurul Waheeda
Garden City Homes,Sale,550000.0,4,3,1610,Tun Fatimah
Garden City Homes,Sale,550000.0,4,3,1610,Tun Fatimah
Garden City Homes,Sale,580000.0,4,3,2100,Rashidah Juremi
Garden City Homes,Sale,500000.0,4,3,1800,Nazli Ambak
Garden City Homes,Sale,790000.0,5,4,2847,Iqbal Rafei
Garden City Homes,Sale,500000.0,4,3,1800,Khadijah Zakaria
Garden City Homes,Rent,1400.0,4,3,2050,Khoo .
Garden City Homes,Rent,2500.0,6,3,1920,CL Yap
Taman Permai @ Seremban,Sale,509000.0,4,3,2185,Billy Chan
Taman Permai @ Seremban,Sale,466000.0,4,4,2880,Emma Wong
Taman Permai @ Seremban,Sale,402000.0,5,4,3151,Emma Wong
Taman Permai @ Seremban,Sale,406000.0,4,4,2599,Emma Wong
Taman Permai @ Seremban,Sale,490000.0,5,5,3115,Emma Wong
Taman Permai @ Seremban,Sale,501900.0,5,5,2667,Emma Wong
Taman Permai @ Seremban,Sale,408000.0,4,5,2315,Emma Wong
Taman Permai @ Seremban,Sale,428000.0,4,4,2800,Emma Wong
Taman Permai @ Seremban,Sale,300000.0,3,2,1560,Victor Chong
Taman Permai @ Seremban,Sale,307000.0,3,2,1000,Suriaty Binti Haji Sulaiman
Taman Permai @ Seremban,Sale,396888.0,4,4,2680,Siti Nurhaliza
Taman Permai @ Seremban,Sale,380000.0,4,3,2000,Chong Yuen Kiong
Taman Permai @ Seremban,Sale,988888.0,5,6,4288,Siti Nurhaliza
Taman Permai @ Seremban,Sale,428000.0,4,4,3211,Emma Wong
Taman Permai @ Seremban,Rent,1000.0,3,2,1400,Mimi Foo
Vision Homes,Sale,400000.0,5,3,1491,Juliana Mahmud
Vision Homes,Sale,498000.0,4,3,1600,Chong Yuen Kiong
Vision Homes,Sale,498000.0,4,3,1492,Marcus Yeow
Vision Homes,Sale,435000.0,4,3,1800,Nurul Aqeedah
Vision Homes,Sale,455500.0,4,4,2980,Emma Wong
Vision Homes,Rent,2100.0,4,3,3000,Chong Yuen Kiong
Ara Sendayan,Sale,550000.0,4,4,2380,Leo .
Ara Sendayan,Sale,463888.0,4,4,2680,Siti Nurhaliza
Ara Sendayan,Sale,364500.0,4,3,1496,Allen .
Ara Sendayan,Sale,414000.0,4,3,1496,Allen .
Ara Sendayan,Sale,619000.0,4,4,2398,Nelson Ng
Ara Sendayan,Sale,364500.0,4,4,2350,Khoo .
Ara Sendayan,Sale,750000.0,4,4,2380,Wan Rafizal
Ara Sendayan,Sale,414000.0,4,3,1496,Alan Ho
Ara Sendayan,Sale,680000.0,4,4,1760,HjLim .
Ara Sendayan,Sale,750000.0,4,4,2363,Wan Rafizal
Ara Sendayan,Sale,485000.0,4,5,3210,Emma Wong
Ara Sendayan,Sale,434888.0,4,4,3516,Emma Wong
Ara Sendayan,Sale,449000.0,4,4,3662,Emma Wong
Ara Sendayan,Sale,438000.0,4,5,2471,Emma Wong
Ara Sendayan,Sale,489000.0,4,4,2616,Emma Wong
Ara Sendayan,Sale,438000.0,4,5,2810,Emma Wong
Ara Sendayan,Sale,439000.0,4,4,3210,Emma Wong
Ara Sendayan,Sale,398900.0,4,4,2671,Emma Wong
Ara Sendayan,Sale,449000.0,4,4,3226,Emma Wong
Ara Sendayan,Sale,441000.0,5,5,2671,Emma Wong
Ara Sendayan,Sale,433000.0,4,4,3111,Emma Wong
Ara Sendayan,Sale,428000.0,4,4,3215,Emma Wong
Ara Sendayan,Sale,428000.0,4,5,2561,Emma Wong
Ara Sendayan,Sale,440000.0,4,4,3511,Emma Wong
Ara Sendayan,Sale,459000.0,4,4,2388,Emma Wong
Ara Sendayan,Sale,488000.0,4,4,2291,Emma Wong
Ara Sendayan,Sale,488000.0,4,4,3288,Emma Wong
Ara Sendayan,Sale,429000.0,4,4,2399,Emma Wong
Ara Sendayan,Sale,369000.0,5,4,3199,Emma Wong
Ara Sendayan,Sale,388000.0,4,4,2611,Emma Wong
Ara Sendayan,Sale,398000.0,4,4,3156,Emma Wong
Ara Sendayan,Sale,448222.0,4,5,2415,Emma Wong
Ara Sendayan,Sale,448000.0,4,4,3166,Emma Wong
Ara Sendayan,Sale,469000.0,4,4,3310,Emma Wong
Ara Sendayan,Sale,429000.0,4,4,3156,Emma Wong
Ara Sendayan,Sale,422000.0,4,4,3190,Emma Wong
Ara Sendayan,Sale,428000.0,4,4,3110,Emma Wong
Ara Sendayan,Sale,429000.0,5,5,2556,Emma Wong
Ara Sendayan,Sale,430000.0,4,5,2315,Emma Wong
Ara Sendayan,Sale,438000.0,4,4,3280,Emma Wong
Ara Sendayan,Sale,439000.0,4,4,2451,Emma Wong
Ara Sendayan,Sale,439000.0,5,4,3210,Emma Wong
Ara Sendayan,Sale,433000.0,4,4,3414,Emma Wong
Ara Sendayan,Sale,438000.0,4,4,3115,Emma Wong
Ara Sendayan,Sale,438000.0,4,4,3222,Emma Wong
Ara Sendayan,Sale,458000.0,4,4,3315,Emma Wong
Ara Sendayan,Sale,406000.0,4,4,3511,Emma Wong
Ara Sendayan,Sale,455000.0,4,4,3210,Emma Wong
Ara Sendayan,Sale,488000.0,5,5,3516,Emma Wong
Ara Sendayan,Sale,928000.0,4,4,2860,Chong Yuen Kiong
Ara Sendayan,Sale,550000.0,4,3,2150,Aizul Zakaria Bin Hamzah
Ara Sendayan,Sale,580000.0,5,3,2140,NADZNIN HAFIZU
Ara Sendayan,Sale,438000.0,5,4,3221,Emma Wong
Ara Sendayan,Sale,430000.0,5,5,3215,Emma Wong
Ara Sendayan,Sale,449000.0,4,4,2325,Emma Wong
Ara Sendayan,Sale,455300.0,4,4,3511,Emma Wong
Ara Sendayan,Sale,570000.0,4,3,2160,Mohamad Hanafi
Ara Sendayan,Sale,414000.0,4,3,1496,Gary Chow
Ara Sendayan,Sale,569000.0,4,4,2584,Joshua Lee
Ara Sendayan,Sale,790000.0,4,4,2363,Muhammad Taufeeq
Ara Sendayan,Sale,610000.0,4,4,2778,Haliza Mohamad Haron
Ara Sendayan,Sale,650000.0,4,4,2584,Haliza Mohamad Haron
Ara Sendayan,Sale,660000.0,4,4,2584,MD ILHAMUDIN BAHAROM
Ara Sendayan,Sale,414000.0,4,3,1496,Alwen Choong
Ara Sendayan,Sale,670000.0,4,4,2584,Nelson Ng
Ara Sendayan,Sale,590000.0,4,4,2398,Chan KS
Ara Sendayan,Sale,458000.0,4,4,3299,Joey Toh
Ara Sendayan,Sale,480000.0,5,5,3166,Emma Wong
Ara Sendayan,Sale,438000.0,5,4,2833,Emma Wong
Ara Sendayan,Sale,398000.0,5,4,2688,Emma Wong
Ara Sendayan,Sale,368000.0,4,4,3157,Emma Wong
Ara Sendayan,Sale,422000.0,4,5,3190,Emma Wong
Ara Sendayan,Sale,388000.0,5,4,2669,Emma Wong
Ara Sendayan,Sale,469000.0,4,4,3156,Emma Wong
Ara Sendayan,Sale,430000.0,4,4,2156,Emma Wong
Ara Sendayan,Sale,418000.0,4,4,3516,Emma Wong
Ara Sendayan,Sale,470000.0,5,5,3166,Emma Wong
Ara Sendayan,Sale,482900.0,5,5,3611,Emma Wong
Ara Sendayan,Sale,368000.0,4,4,3299,Emma Wong
Ara Sendayan,Sale,429000.0,5,4,3214,Emma Wong
