PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Jerjak 6 @ Taman Seri Jerjak,Sale,1300000.0,3,2,1600,Zhonl Saw Boon Loong
Jerjak 6 @ Taman Seri Jerjak,Sale,1200000.0,4,3,2000,Nor Idawaty Roslan
BM Permai Semi-D Homes,Sale,1290000.0,5,4,3000,Quinn Beh
BM Permai Semi-D Homes,Sale,1400000.0,5,5,3727,Lee Shanny
BM Permai Semi-D Homes,Sale,790000.0,4,3,1980,Lillie Ong
BM Permai Semi-D Homes,Sale,1280000.0,5,5,3750,Jocelyn Neoh
BM Permai Semi-D Homes,Sale,850000.0,4,4,2500,Quinn Beh
BM Permai Semi-D Homes,Sale,1150000.0,4,3,2500,Quinn Beh
BM Permai Semi-D Homes,Sale,1100000.0,4,4,3507,Quinn Beh
BM Permai Semi-D Homes,Sale,1300000.0,5,5,3750,Jocelyn Neoh
BM Permai Semi-D Homes,Sale,1280000.0,5,5,3750,Jocelyn Neoh
Brydon Collection @ Eco Horizon,Rent,2700.0,4,4,2290,Ansel Tan
Hijauan Valdor,Sale,579500.0,3,2,1535,May Chiam Khooi Bee
Hijauan Valdor,Sale,598500.0,3,2,1535,May Chiam Khooi Bee
Hijauan Valdor,Sale,550000.0,3,2,1250,Chuah Jy
Hijauan Valdor,Sale,427500.0,3,2,1084,May Chiam Khooi Bee
Hijauan Valdor,Sale,630000.0,3,2,2800,Chris Teoh
Hijauan Valdor,Sale,785000.0,5,5,3332,Chris Teoh
Hijauan Valdor,Sale,590000.0,3,2,1200,Jason Lim
Hijauan Valdor,Sale,388000.0,4,2,800,Jeff Koay
Hijauan Valdor,Sale,579500.0,3,2,1200,Tavyi Poh
Hijauan Valdor,Sale,579500.0,3,2,1250,Jason Lim
Hijauan Valdor,Sale,450000.0,3,2,832,Iris Chuah
Hijauan Valdor,Sale,579500.0,3,2,1535,May Chiam Khooi Bee
Hijauan Valdor,Sale,548000.0,3,2,1200,Chris Huah
Hijauan Valdor,Sale,579500.0,3,2,1250,Iris Chuah
Hijauan Valdor,Sale,340000.0,3,2,872,May Chiam Khooi Bee
Hijauan Valdor,Sale,598500.0,3,2,1628,May Chiam Khooi Bee
Hijauan Valdor,Sale,427500.0,3,2,832,Jason Lim
Hijauan Valdor,Sale,427500.0,3,2,843,Tavyi Poh
Hijauan Valdor,Sale,370000.0,3,2,1040,Lily Ong
Hijauan Valdor,Sale,579000.0,3,2,1628,Lynda Tai
Hijauan Valdor,Sale,598500.0,3,2,1250,Chii Lee
Hijauan Valdor,Sale,579500.0,3,2,1200,Chii Lee
Hijauan Valdor,Sale,579500.0,3,2,1200,CC Tan
Hijauan Valdor,Sale,598500.0,3,2,1250,Tavyi Poh
Hijauan Valdor,Sale,579000.0,3,2,1200,KP Huah
Hijauan Valdor,Sale,427500.0,3,2,1084,Chris Huah
Hijauan Valdor,Sale,450000.0,3,2,830,Lynda Tai
Hijauan Valdor,Sale,450000.0,3,2,832,Tavyi Poh
Hijauan Valdor,Sale,328000.0,3,2,740,Chii Lee
Hijauan Valdor,Sale,427500.0,3,2,1364,Chii Lee
Hijauan Valdor,Sale,630000.0,3,2,2200,Chii Lee
Hijauan Valdor,Sale,648000.0,5,5,2000,Yvonne Loh
