PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Chandan Putri @ Kuala Kangsar,Sale,369700.0,4,3,1995,Mr Yuen
Taman Chandan Putri @ Kuala Kangsar,Sale,350000.0,4,3,1800,Faiz .
Phase 6.2(1) @ Bandar Seri Botani,Sale,800000.0,4,4,4187,Jasmine Seow
Phase 6.2(1) @ Bandar Seri Botani,Sale,950000.0,5,5,3600,Kelvin Chong
Phase 6.2(1) @ Bandar Seri Botani,Sale,968000.0,5,5,3600,Kelvin Chong
Phase 6.2(1) @ Bandar Seri Botani,Sale,960000.0,5,5,3600,Sharon Poh
Phase 6.2(1) @ Bandar Seri Botani,Sale,980000.0,5,5,3600,Sook Yee
Phase 6.2(1) @ Bandar Seri Botani,Sale,960000.0,5,5,3600,Jeff Tan
Phase 6.2(1) @ Bandar Seri Botani,Rent,3800.0,5,5,2000,Alan Leong
Serene Villas @ Sunway City Ipoh,Sale,1150000.0,4,4,3055,Nicholas Lee
Serene Villas @ Sunway City Ipoh,Sale,1350000.0,4,4,2500,Clement Yong
Serene Villas @ Sunway City Ipoh,Sale,1400000.0,4,4,2406,Clement Yong
Serene Villas @ Sunway City Ipoh,Sale,1240000.0,4,3,2671,Clement Yong
Serene Villas @ Sunway City Ipoh,Sale,1240000.0,4,4,2671,Christine Lau
Serene Villas @ Sunway City Ipoh,Sale,1200000.0,4,4,2412,Dominic Leo
Serene Villas @ Sunway City Ipoh,Rent,3500.0,4,4,2000,Megan Chee
