PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Casablanca 2,Sale,1730889.0,4,4,2339,I&P Alam Impian Sdn Bhd
Casablanca 2,Sale,670000.0,4,4,1400,Chen Yu
Sejati Lakeside 2,Sale,1480000.0,4,4,2600,Eugene Yap
Sejati Lakeside 2,Sale,1480000.0,4,4,2368,Yannick Ng
Sejati Lakeside 2,Sale,1480000.0,4,4,2500,Ian Loh
Sejati Lakeside 2,Sale,1484000.0,4,4,2400,Sarah Lee
Sejati Lakeside 2,Sale,1484000.0,4,4,2500,Sarah Lee
Sejati Lakeside 2,Sale,1484000.0,4,4,2500,Sarah Lee
Sejati Lakeside 2,Sale,1484400.0,4,4,2368,Muhammad Khairis Ishak
Sejati Lakeside 2,Sale,1484400.0,4,4,2400,Faizzatul Farhana
Sejati Lakeside 2,Sale,1484000.0,4,4,2500,Sarah Lee
Sejati Lakeside 2,Sale,1484000.0,4,4,2500,Sarah Lee
Sejati Lakeside 2,Sale,1484000.0,4,4,2500,Sarah Lee
Sejati Lakeside 2,Sale,2348500.0,4,4,2407,Paramount Property Development Sdn Bhd
Sejati Lakeside 2,Sale,1484000.0,4,4,2400,Keith Ng
Sejati Lakeside 2,Sale,1484000.0,4,4,2400,Sarah Lee
Sejati Lakeside 2,Sale,1484000.0,4,4,2500,Sarah Lee
Sejati Lakeside 2,Sale,1484000.0,4,4,2500,Sarah Lee
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Jared Wong
Sejati Lakeside 2,Sale,1484400.0,4,4,2407,Bill Wong
Sejati Lakeside 2,Sale,1484000.0,4,4,2400,Samuel Tan
Sejati Lakeside 2,Sale,1488888.0,4,4,3200,Quvan Khoo
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Aaron Tham
Sejati Lakeside 2,Sale,1468868.0,4,4,2768,David Ng
Sejati Lakeside 2,Sale,1484000.0,4,4,2400,Lee Jia Ern
Sejati Lakeside 2,Sale,1484400.0,4,4,2407,Eden Tan
Sejati Lakeside 2,Sale,1497000.0,4,4,2368,Jasper Yong
Sejati Lakeside 2,Sale,1484000.0,4,4,2500,Sarah Lee
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Robert Law
Sejati Lakeside 2,Sale,1484400.0,4,4,2407,Hamizah .
Sejati Lakeside 2,Sale,1480000.0,4,4,2407,Eugene Yap
Sejati Lakeside 2,Sale,1480000.0,4,4,2400,Yuki Chan
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,EDNES PUNG
Sejati Lakeside 2,Sale,1484400.0,4,4,2407,Bill Wong
Sejati Lakeside 2,Sale,1484000.0,4,4,2368,Walter Kwan
Sejati Lakeside 2,Sale,1484000.0,4,4,2368,Walter Kwan
Sejati Lakeside 2,Sale,1480000.0,4,4,2368,Walter Kwan
Sejati Lakeside 2,Sale,1484000.0,4,4,2400,Izzahan .
Sejati Lakeside 2,Sale,1484400.0,4,4,2407,Ainin Sofiya
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Ainin Sofiya
Sejati Lakeside 2,Sale,1484400.0,4,4,2407,Jennifer Guo
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Jennifer Guo
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Jared Wong
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Jared Wong
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Jared Wong
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,Jared Wong
Sejati Lakeside 2,Sale,1484000.0,4,4,2407,EDNES PUNG
Canary Garden,Sale,1150000.0,6,5,2688,Dominic Kuah
Canary Garden,Sale,1750000.0,5,5,4500,Lim Wai Yee
Canary Garden,Sale,980000.0,5,5,2640,Eric Chew
Canary Garden,Sale,1650000.0,5,5,3560,Eric Chew
Canary Garden,Sale,1600000.0,7,8,4739,Eric Chew
Canary Garden,Sale,1680000.0,5,5,1760,William Yeoh
Canary Garden,Sale,1100000.0,4,4,2800,Jordan Ng
Canary Garden,Sale,1000000.0,5,5,2600,Mohamad Faizal Haini
Canary Garden,Sale,990000.0,4,4,2800,Jordan Ng
Canary Garden,Sale,1000000.0,5,5,2600,Hairul Hafiz Harun
Canary Garden,Sale,1100000.0,5,4,2200,Tom Lee
Canary Garden,Sale,1100002.0,4,4,2560,Daniel Kok
Canary Garden,Sale,990000.0,5,4,2400,Elaine khoo
Canary Garden,Sale,1400000.0,4,4,2400,William Chua
Canary Garden,Sale,1100009.0,4,4,2560,Christine Cheoh
Canary Garden,Sale,1100000.0,5,4,2400,Elaine khoo
Canary Garden,Sale,1000000.0,5,5,2560,Jordan Ng
Canary Garden,Sale,1750000.0,5,5,4000,Lim Jeon
Canary Garden,Sale,1400000.0,6,5,3450,Mahendran Kanesan
Canary Garden,Sale,1200000.0,6,5,2688,Sam Ser
Canary Garden,Sale,1000000.0,5,5,2560,Damon Er
Canary Garden,Sale,1230000.0,5,4,2688,Shereen Tan
Canary Garden,Sale,1650000.0,8,8,3200,Derrick Ang
Canary Garden,Sale,995000.0,5,5,2848,Richard Low
Canary Garden,Sale,995000.0,5,5,2848,Richard Low
Canary Garden,Sale,1400000.0,4,4,4000,Terrance Tan
Canary Garden,Sale,1050000.0,5,5,2560,Ethan Chua
Canary Garden,Sale,980000.0,5,5,2560,Ethan Chua
Canary Garden,Sale,1030000.0,5,5,2560,Ethan Chua
Canary Garden,Sale,980000.0,5,5,2848,Teh Yong San
Canary Garden,Sale,420000.0,3,2,1450,Mohamad Yusre
Canary Garden,Sale,1380000.0,5,5,3600,James Teoh
Canary Garden,Sale,1400000.0,4,4,4000,Damon Er
Canary Garden,Sale,1500000.0,5,4,2847,Anne David
Canary Garden,Sale,1400000.0,5,4,4000,Elaine khoo
Canary Garden,Sale,1550000.0,6,5,3200,Sam Ser
Canary Garden,Sale,1550000.0,6,5,3200,Terrance Tan
Canary Garden,Sale,1200000.0,5,5,3284,KH Chong
Canary Garden,Sale,888000.0,4,5,3280,KH Chong
Canary Garden,Sale,1400000.0,4,4,4000,Jordan Ng
Canary Garden,Sale,1400000.0,5,4,4000,Emily Tse Sio Teng
Canary Garden,Sale,1150000.0,6,5,2688,Jean Heng
Canary Garden,Sale,968000.0,5,5,2560,Kenny Chan
Canary Garden,Sale,1700002.0,7,7,3200,Daniel Kok
Canary Garden,Sale,930000.0,5,5,2580,Lillian Ng
Canary Garden,Sale,1250000.0,4,4,2300,James Tan
Canary Garden,Sale,988000.0,5,5,2560,Tony Chia
Canary Garden,Sale,1600000.0,8,8,4500,Charlotte Tee
Canary Garden,Sale,1650000.0,6,5,4739,Charlotte Tee
Canary Garden,Sale,1400009.0,5,5,1400,Christine Cheoh
Canary Garden,Sale,1550000.0,6,5,3200,Elaine khoo
Canary Garden,Sale,1400000.0,5,5,2560,Tony Chia
Canary Garden,Sale,1550000.0,5,5,3200,Jordan Ng
Canary Garden,Sale,1550000.0,6,5,3200,Alex Lee
Canary Garden,Sale,1650000.0,8,8,3200,Derrick Ang
Canary Garden,Sale,980000.0,5,5,2640,Jason Phuon
Canary Garden,Sale,1680000.0,7,8,4739,Alex Lee
Canary Garden,Sale,950000.0,5,5,2580,Lillian Ng
Canary Garden,Sale,1380000.0,5,5,2847,Eric Chew
Canary Garden,Sale,1250000.0,4,4,2688,Tony Chia
Canary Garden,Sale,968000.0,5,5,2560,Mason Chiah
Canary Garden,Sale,968000.0,5,5,3280,KH Chong
Canary Garden,Sale,1100000.0,5,5,2560,Ezra Ezzry
Canary Garden,Sale,968000.0,5,5,3000,William Chua
Canary Garden,Sale,1150000.0,5,5,2550,Steve Lieow
Canary Garden,Sale,1280000.0,5,5,2560,Adeline Foong
Canary Garden,Sale,980000.0,5,5,3280,Alex Lee
Canary Garden,Sale,1380000.0,5,5,2600,Jimmy Lim
Canary Garden,Sale,968000.0,5,5,2560,Steve Lieow
Canary Garden,Sale,1330000.0,5,5,2800,Warren Yee
Canary Garden,Sale,1170000.0,5,4,3200,M.K. Heng
Canary Garden,Sale,2100000.0,7,8,3200,Shawn .
Canary Garden,Sale,1230000.0,5,5,2688,Ang JQ
Canary Garden,Sale,935000.0,5,5,2580,Lillian Ng
Canary Garden,Sale,1580000.0,5,5,2800,Kubi Chia Chin Guan
Canary Garden,Rent,4000.0,5,5,4000,Lim Wai Yee
Canary Garden,Rent,2000.0,5,5,3280,Alex Lee
Canary Garden,Rent,5000.0,8,8,3200,Billy Chow
Canary Garden,Rent,2000.0,5,5,2560,Billy Chow
Canary Garden,Rent,2000.0,5,5,2560,Mason Chiah
Canary Garden,Rent,2100.0,5,4,2400,Elaine khoo
Canary Garden,Rent,800.0,Room,Room,400,Teh Yong San
Canary Garden,Rent,2100.0,5,4,2560,Elaine khoo
Ebony @ Seri Aman Heights,Sale,1200000.0,6,5,3300,Sylvia Lim
Ebony @ Seri Aman Heights,Sale,1300000.0,,,7212,HK Lee
Bandar Setia Alam: Leegeana,Sale,1320000.0,5,4,2451,Alvin Lim
Bandar Setia Alam: Leegeana,Sale,1220000.0,6,6,2835,Khairi Azizi
Bandar Setia Alam: Leegeana,Sale,1320000.0,5,4,2522,Sariza Hartanah
Bandar Setia Alam: Leegeana,Sale,1380000.0,6,6,3568,YAW JX
Bandar Setia Alam: Leegeana,Sale,1030000.0,4,3,1750,Rahmad .
Bandar Setia Alam: Leegeana,Sale,1350000.0,4,3,2990,Jason Phay
Bandar Setia Alam: Leegeana,Rent,2200.0,4,3,2650,Angela Ng
D'Impian Tropika,Sale,1100000.0,6,5,3800,Ong Teck Hong
D'Impian Tropika,Sale,1060000.0,6,5,3772,Bill Wong
D'Impian Tropika,Sale,998000.0,6,5,3772,Vincent Tan
D'Impian Tropika,Sale,1100000.0,6,5,3800,Wen Jet
D'Impian Tropika,Sale,1080000.0,5,4,3574,MUAZAM ROSLI
D'Impian Tropika,Sale,1100000.0,6,5,3772,Bryan Beh
D'Impian Tropika,Sale,1099999.0,6,5,3800,Terrance Yap
D'Impian Tropika,Sale,1100000.0,6,5,3772,Stacy Young
D'Impian Tropika,Sale,990000.0,5,4,3196,James Wong
D'Impian Tropika,Sale,800000.0,5,4,3007,James Wong
D'Impian Tropika,Sale,568000.0,4,3,1600,Chris Lee
D'Impian Tropika,Sale,570000.0,3,3,2000,Hendry Goh
D'Impian Tropika,Sale,1098000.0,6,5,3800,Vincent Lee
D'Impian Tropika,Sale,1100000.0,6,5,3800,Dlynie Ooi
D'Impian Tropika,Sale,2300000.0,6,7,5283,Lutfi .
D'Impian Tropika,Sale,1080000.0,5,4,3574,Mahafiz .
D'Impian Tropika,Sale,1100000.0,6,5,3772,Habib Rehmen
D'Impian Tropika,Sale,1100000.0,6,5,3800,Vittor Soon
D'Impian Tropika,Sale,1100000.0,6,5,3800,JIMMY NG
D'Impian Tropika,Sale,1100000.0,6,5,2800,Jayden Yong
D'Impian Tropika,Sale,1100000.0,6,5,2800,Sheila Mutalib
D'Impian Tropika,Sale,1060000.0,6,5,3800,Marcus .
D'Impian Tropika,Sale,1100000.0,6,5,3800,Ong Teck Hong
D'Impian Tropika,Sale,568000.0,4,3,1600,Kenji Lau
D'Impian Tropika,Sale,1080000.0,5,4,3574,Azli Ibrahim
D'Impian Tropika,Sale,2300000.0,5,6,5283,Afifi Mohd Noor
D'Impian Tropika,Sale,1098000.0,6,5,3772,Rony Yeo
D'Impian Tropika,Sale,1000000.0,5,5,3574,Shaharul Ridzuan
D'Impian Tropika,Sale,1080000.0,5,4,3574,Nadia Rahim
D'Impian Tropika,Sale,980000.0,,,11300,Lisa .
D'Impian Tropika,Sale,1080000.0,5,4,3574,Sarliza Jafar
