PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
The Greenway @ Meridin East Phase 1G,Sale,342000.0,4,3,1622.0,Dexter .
The Greenway @ Meridin East Phase 1G,Sale,398000.0,4,3,1170.0,Yee Hsin
The Greenway @ Meridin East Phase 1G,Sale,560000.0,4,3,1800.0,Fakhrul Imlan
The Greenway @ Meridin East Phase 1G,Sale,423000.0,4,3,1170.0,Max Kan
The Greenway @ Meridin East Phase 1G,Sale,399000.0,4,3,1595.0,Eddy Chan
The Greenway @ Meridin East Phase 1G,Rent,1500.0,4,3,1700.0,Hafiz Noor
The Greenway @ Meridin East Phase 1G,Rent,1400.0,4,3,1700.0,Hafiz Noor
The Greenway @ Meridin East Phase 1G,Rent,1300.0,4,3,1400.0,Joe Sim
The Greenway @ Meridin East Phase 1G,Rent,1400.0,4,3,1560.0,Win .
The Greenway @ Meridin East Phase 1G,Rent,1200.0,4,3,1000.0,Edmund Ling
The Greenway @ Meridin East Phase 1G,Rent,1500.0,4,3,1890.0,A. Desaraj
The Greenway @ Meridin East Phase 1G,Rent,1500.0,4,3,1890.0,Joan Yee
The Greenway @ Meridin East Phase 1G,Rent,1400.0,4,3,1964.0,Edmund Ling
The Greenway @ Meridin East Phase 1G,Rent,1150.0,4,3,1170.0,Leo Lee BH
Eco Tropics,Sale,492000.0,4,3,1818.0,Joe Tan
Eco Tropics,Sale,488000.0,3,3,1400.0,Rean Goh
Eco Tropics,Sale,650000.0,4,3,2400.0,Rean Goh
Eco Tropics,Sale,580000.0,4,3,1600.0,Rean Goh
Eco Tropics,Sale,370000.0,3,2,1300.0,KY Cheah
Eco Tropics,Sale,580000.0,3,3,2100.0,Louis Tan
Eco Tropics,Sale,420000.0,3,3,2100.0,Max Lam
Eco Tropics,Sale,478000.0,3,3,1400.0,Joe Sim
Eco Tropics,Sale,515000.0,4,3,1701.0,Joe Sim
Eco Tropics,Sale,420000.0,3,3,2000.0,Low Wei Chao
Eco Tropics,Sale,567000.0,4,4,2454.0,Jason Tang
Eco Tropics,Sale,650000.0,4,3,1600.0,Carmen Gan
Eco Tropics,Sale,420000.0,3,3,1700.0,Low Wei Chao
Eco Tropics,Sale,528000.0,4,4,1900.0,Yuki Cheng
Eco Tropics,Sale,495000.0,3,3,1700.0,Wesley Chiang
Eco Tropics,Sale,538000.0,4,3,2000.0,Max Lam
Eco Tropics,Sale,503000.0,3,3,1659.0,CS Tan
Eco Tropics,Sale,780000.0,4,3,1882.0,M.L. Mok
Eco Tropics,Sale,680000.0,4,3,1791.0,M.L. Mok
Eco Tropics,Sale,520000.0,4,3,1400.0,Robbie Tan
Eco Tropics,Sale,638000.0,4,4,2320.0,Alex Looi
Eco Tropics,Sale,530000.0,3,3,1600.0,Winson Yap
Eco Tropics,Sale,515000.0,4,3,1800.0,Yuki Cheng
Eco Tropics,Sale,580000.0,4,4,1400.0,Bryan Koh
Eco Tropics,Sale,540000.0,4,3,1400.0,Sr Mohd Affandi Bin Haji Mohammad Idris
Eco Tropics,Sale,750000.0,4,4,2284.0,Terence Tan
Eco Tropics,Sale,538000.0,4,3,1707.0,Terence Tan
Eco Tropics,Sale,690000.0,4,3,2218.0,Terence Tan
Eco Tropics,Sale,450000.0,3,2,1389.0,Terence Tan
Eco Tropics,Sale,528000.0,4,4,1700.0,Joe Sim
Eco Tropics,Sale,495000.0,3,3,1400.0,Ah Toh
Eco Tropics,Sale,870000.0,4,5,4715.0,Huiling Cheong
Eco Tropics,Sale,399000.0,4,3,1700.0,Elaine Goh
Eco Tropics,Sale,570000.0,3,3,2100.0,Mandy Goh Siew Li
Eco Tropics,Sale,635000.0,4,3,1707.0,Alviss Tay
Eco Tropics,Sale,635000.0,4,3,1707.0,Alviss Tay
Eco Tropics,Sale,530000.0,4,4,1400.0,Alviss Tay
Eco Tropics,Sale,750000.0,4,4,2800.0,Joe Sim
Eco Tropics,Sale,849000.0,4,5,4340.0,Joe Sim
Eco Tropics,Sale,688000.0,4,4,2800.0,Joe Sim
Eco Tropics,Sale,650000.0,4,3,2800.0,Joe Sim
Eco Tropics,Sale,510000.0,3,3,1600.0,Joe Sim
Eco Tropics,Sale,518000.0,3,3,1700.0,Joe Sim
Eco Tropics,Sale,760000.0,4,3,2450.0,Joe Sim
Eco Tropics,Sale,790000.0,4,3,2240.0,Henric Chng
Eco Tropics,Sale,495000.0,3,3,1700.0,Wesley Chiang
Eco Tropics,Sale,490000.0,3,3,1659.0,Lifen .
Eco Tropics,Sale,630000.0,4,4,1815.0,Hannah Lim
Eco Tropics,Sale,530000.0,4,3,2100.0,Seri Wangi
Eco Tropics,Sale,750000.0,5,4,2665.0,Michelle Liang
Eco Tropics,Sale,580000.0,4,4,1400.0,Jeff Lim
Eco Tropics,Sale,515000.0,3,3,1560.0,Nicholas Ong
Eco Tropics,Sale,660000.0,3,3,1659.0,Ann Heng
Eco Tropics,Sale,670000.0,3,3,1400.0,Tan Vena
Eco Tropics,Sale,620000.0,3,3,1400.0,Raymond Khoo
Eco Tropics,Sale,640000.0,4,3,1400.0,Ryon Teh
Eco Tropics,Sale,640000.0,4,3,1400.0,Jayden Neo
Eco Tropics,Sale,640000.0,4,3,1400.0,Calvin Lee
Eco Tropics,Sale,648000.0,4,3,2240.0,Ivan Lim
Eco Tropics,Sale,630000.0,4,3,1800.0,Tan Bee Bee
Eco Tropics,Sale,640000.0,4,3,1700.0,Darren Chun
Eco Tropics,Sale,495000.0,3,3,1800.0,Carson .
Eco Tropics,Sale,400000.0,4,3,1750.0,Elaine Goh
Eco Tropics,Sale,399000.0,4,3,1700.0,Elaine Goh
Eco Tropics,Sale,750000.0,5,4,2665.0,Jane Ang
Eco Tropics,Sale,490000.0,3,3,1659.0,Terence Tan
Eco Tropics,Sale,520000.0,4,3,1707.0,Edwin Dass
Eco Tropics,Sale,640000.0,4,4,1400.0,Jono Tan
Eco Tropics,Sale,580000.0,4,4,1839.0,Amber Ma
Eco Tropics,Sale,870000.0,4,5,2665.0,Kennly Chia
Eco Tropics,Sale,580000.0,4,3,1400.0,Azizi Zainordin
Eco Tropics,Sale,495000.0,3,3,1400.0,Cherie Chan
Eco Tropics,Sale,530000.0,3,3,1600.0,Sharon Tan
Eco Tropics,Sale,495000.0,3,3,1400.0,Michelle Fong
Eco Tropics,Sale,540000.0,4,3,1600.0,Wind Chok
Eco Tropics,Sale,580000.0,4,4,1839.0,Chloe Ngoi
Eco Tropics,Sale,660000.0,4,3,1707.0,Terence Tan
Eco Tropics,Sale,960000.0,5,4,2665.0,Terence Tan
Eco Tropics,Sale,530000.0,4,4,1839.0,Terence Tan
Eco Tropics,Sale,540000.0,4,3,1659.0,Azizi Zainordin
Eco Tropics,Sale,530000.0,3,3,1622.0,Terrence Loh
Eco Tropics,Sale,640000.0,4,4,1400.0,Joanne Yong
Eco Tropics,Sale,640000.0,4,4,1400.0,Joseph Tan
