PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Sutera Jaya,Sale,150000.0,3,2,1000,Derrick Ng
Bintang Maya @ Sungai Petani,Sale,550000.0,4,4,2508,Abdul Muhaimin
Bandar Perdana,Sale,280000.0,3,3,1800,Muhd Hanif
Bandar Perdana,Rent,900.0,3,2,770,Yvnee Hang
Taman PKNK,Sale,360000.0,4,3,1760,Haziq Hasri
Taman PKNK,Sale,360000.0,4,3,1760,Haziq Hasri
Residensi Sungai Petani 2,Sale,380000.0,4,2,1340,Selina Khoo
Residensi Sungai Petani 2,Sale,682632.0,2,2,1400,Lissa Ooi
Residensi Sungai Petani 2,Rent,1100.0,4,3,3600,Selina Khoo
Taman Sri Abadi,Sale,320000.0,3,2,800,LH Chew
Taman Keranji,Sale,250000.0,3,2,1001,Sean Chong
Taman Keranji,Sale,250000.0,3,2,1346,Haziq Hasri
Taman Seluang,Sale,429300.0,5,6,3330,Jason Tang
