PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Villa OUG,Sale,535000.0,3,3,1335,Kok Peng Choy
Villa OUG,Sale,590000.0,3,2,1300,Jack .
Villa OUG,Sale,538000.0,3,3,1225,Bobo Lee
Villa OUG,Sale,620000.0,3,3,1200,Katherine Lam
Villa OUG,Sale,650000.0,3,3,1135,Lennard Lim
Villa OUG,Sale,535000.0,3,3,1231,Bryan Choo
Villa OUG,Sale,535000.0,3,3,1122,Tom Lee
Villa OUG,Sale,650000.0,3,3,1231,Celine Kong
Villa OUG,Sale,580000.0,3,2,1335,Jane Shoo
Villa OUG,Sale,620000.0,3,3,1200,Katherine Lam
Villa OUG,Sale,580000.0,3,3,1231,Kenny Ng
Villa OUG,Sale,580000.0,3,3,1325,Jason Yap
Villa OUG,Sale,680000.0,3,3,1135,Lennard Lim
Villa OUG,Sale,1320000.0,4,3,2800,Yeo Chin Lay
Taman Desa Aman,Sale,1698000.0,6,6,3500,Kevin Yai
Taman Desa Aman,Sale,1730000.0,6,5,3165,CS Lim
Taman Desa Aman,Sale,940000.0,4,4,2500,Fred Chai Meng Foong
Taman Desa Aman,Sale,800000.0,4,4,2500,Fred Chai Meng Foong
Taman Desa Aman,Sale,950000.0,4,3,2000,Nick Teo
Taman Desa Aman,Sale,1750000.0,6,5,3046,Mico Law
Taman Desa Aman,Sale,950000.0,4,3,1650,Aaron Ong
Taman Desa Aman,Sale,935000.0,4,4,1540,Evelyn Lim
Taman Desa Aman,Sale,938000.0,4,4,2000,Kevin Yai
Taman Desa Aman,Sale,1690000.0,6,5,3046,Chris Chong
Taman Desa Aman,Sale,699000.0,4,3,1500,Stanley Yap
Taman Desa Aman,Sale,1690000.0,6,5,3046,Chris Chong
Taman Desa Aman,Sale,950000.0,4,3,2300,Nicole Low
Taman Desa Aman,Sale,1680000.0,6,5,3500,Kelvin Chooi
Taman Desa Aman,Sale,699000.0,4,3,1500,Stanley Yap
Taman Desa Aman,Sale,950000.0,4,3,1650,Almon Yeap
Taman Desa Aman,Sale,1690000.0,6,5,3046,Chris Chong
Taman Desa Aman,Sale,1680000.0,6,5,2400,Kris Tan
Taman Desa Aman,Sale,800000.0,4,3,1650,Kris Tan
Taman Desa Aman,Sale,800000.0,5,2,2500,Joly Liew
Taman Desa Aman,Sale,2650000.0,7,6,3200,Rony Yeo
Taman Desa Aman,Sale,699000.0,4,3,1500,Stanley Yap
Taman Desa Aman,Sale,1700000.0,6,5,3200,Michelle How
Taman Desa Aman,Sale,1180000.0,3,3,2700,Ken Lew
Taman Desa Aman,Sale,1680000.0,6,5,2400,Ken Lew
Taman Desa Aman,Sale,800000.0,4,4,2000,Kevin Yai
Taman Desa Aman,Sale,1690000.0,6,5,3165,YP Tan
Taman Desa Aman,Sale,2650000.0,7,6,3200,CY Liew
Taman Desa Aman,Sale,2650000.0,7,6,3200,Vincent Yong
Taman Desa Aman,Sale,950000.0,4,3,1650,Hailey Kok
Taman Desa Aman,Sale,699000.0,4,3,2000,Stanley Yap
Taman Desa Aman,Sale,1350000.0,6,3,2701,Ava Lau
Taman Desa Aman,Sale,2650000.0,7,6,3200,Rony Yeo
Taman Desa Aman,Sale,1700000.0,6,5,3500,Kevin Yai
Taman Desa Aman,Sale,1700000.0,6,5,3500,Kevin Yai
Taman Desa Aman,Sale,1699800.0,6,6,3500,Kevin Yai
Taman Desa Aman,Sale,950000.0,4,3,2000,Nick Teo
Taman Desa Aman,Sale,2650000.0,7,6,3200,Haw .
Taman Desa Aman,Sale,800000.0,5,3,2000,Iris Yong
Taman Desa Aman,Sale,940000.0,4,4,2500,Iris Yong
Taman Desa Aman,Sale,1180000.0,3,3,3500,Felix Wong
Taman Desa Aman,Sale,780000.0,4,3,2000,Ken Lew
Taman Desa Aman,Sale,800000.0,5,3,2000,Tony Chang
Taman Desa Aman,Sale,940000.0,4,4,2500,Kent Wong
Taman Desa Aman,Sale,938000.0,4,4,2000,Kevin Yai
Taman Desa Aman,Sale,800000.0,5,3,2000,Kent Wong
Taman Desa Aman,Sale,938000.0,4,4,2000,Kevin Yai
Taman Desa Aman,Sale,2650000.0,6,6,3200,Kent Wong
Taman Desa Aman,Sale,1250000.0,4,3,3000,Kelvin Chooi
Taman Desa Aman,Sale,1500000.0,4,3,2701,Habib Rehmen
Taman Desa Aman,Sale,950000.0,4,3,1650,Almon Yeap
Taman Desa Aman,Sale,950000.0,4,3,2000,Minnie Wong
Taman Desa Aman,Sale,1350000.0,4,3,4000,YP Tan
Taman Desa Aman,Sale,1680000.0,6,5,3165,YP Tan
Taman Desa Aman,Sale,950000.0,4,3,2000,Max Gan
Taman Desa Aman,Sale,2688000.0,7,7,4560,Aliff Sani
Taman Desa Aman,Sale,1340000.0,5,3,2701,Ken Lew
Taman Desa Aman,Sale,780000.0,4,3,2000,Ken Lew
Taman Desa Aman,Sale,699000.0,4,3,1500,Stanley Yap
Taman Desa Aman,Rent,6500.0,7,6,3200,TRON WAN
Taman Desa Aman,Rent,6500.0,7,6,4000,Fred Chai Meng Foong
Taman Desa Aman,Rent,6500.0,7,6,3200,Cassey Yong
Taman Desa Aman,Rent,7000.0,7,6,3200,Haw .
Taman Desa Aman,Rent,6500.0,7,6,3500,Hadwin Lee
Taman Desa Aman,Rent,6000.0,7,6,3200,Hugo Gooi
Taman Desa Aman,Rent,6500.0,7,6,3200,Joey Wong
Taman Desa Aman,Rent,6500.0,7,6,3200,Kew .
Taman Desa Aman,Rent,6499.0,7,6,3200,Karl .
Taman Desa Aman,Rent,7000.0,7,6,3200,Rony Yeo
Taman Desa Aman,Rent,7000.0,7,6,3200,Jay Yong
Taman Desa Aman,Rent,6500.0,6,6,3200,Kent Wong
Taman Desa Aman,Rent,7000.0,7,6,3200,Rony Yeo
Taman Bunga Raya,Sale,580000.0,8,2,1300,Alan Chin
Taman Bunga Raya,Sale,750000.0,5,3,2500,Jagger Moo
Taman Bunga Raya,Sale,580000.0,10,2,1400,Alan Chin
Taman Bunga Raya,Sale,550000.0,6,2,1200,Mandy Khoo
Taman Bunga Raya,Sale,550000.0,6,2,1200,Mandy Khoo
Taman Bunga Raya,Sale,818000.0,8,2,1800,YK. Ho
Taman Bunga Raya,Sale,618000.0,6,2,1200,YK. Ho
Taman Bunga Raya,Sale,550000.0,4,1,1000,SS PROPERTY
