PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Nilai Impian : Dayana,Sale,350000.0,4,4,2490,Lily Chia
Nilai Impian : Dayana,Sale,520000.0,4,4,2550,Connie Lim
Nilai Impian : Dayana,Sale,540000.0,5,3,2320,Ida Harun
Nilai Impian : Dayana,Sale,428888.0,4,4,2860,Kayden Lim
Nilai Impian : Dayana,Sale,448000.0,4,4,2700,Connie Lim
Nilai Impian : Dayana,Sale,489000.0,4,4,2319,Emma Wong
Nilai Impian : Dayana,Sale,510000.0,4,4,2780,Connie Lim
Taman Sikamat Utama,Sale,380000.0,1,1,5000,Dicky Yap
Taman Sikamat Utama,Sale,349000.0,4,2,1200,Kelvin Goh
Taman Sikamat Utama,Sale,314000.0,4,2,1200,Yuki Ng
Taman Sikamat Utama,Sale,240000.0,3,2,1100,Connie Lim
Taman Sikamat Utama,Sale,270000.0,3,2,1600,HAIRUL HAFIZ
Taman Sikamat Utama,Sale,320000.0,3,2,1300,Mufarridun Zamri
Rimbun Alam,Sale,370888.0,4,4,2580,Siti Nurhaliza
Rimbun Alam,Sale,1100000.0,4,3,2000,Chia Henric
Rimbun Alam,Sale,850000.0,5,4,3445,Eddy .
Rimbun Alam,Sale,855000.0,5,4,3560,Eddy .
Rimbun Alam,Sale,439000.0,4,4,2600,Connie Lim
Rimbun Alam,Rent,2300.0,4,3,2000,Chia Henric
Taman Alamanda,Sale,400000.0,Studio,Studio,1800,Suriaty Binti Haji Sulaiman
Clover II Resort Residence,Sale,,4,4,1540,BSS Development Sdn Bhd
Clover II Resort Residence,Sale,586000.0,4,4,2797,Joshua Lee
Clover II Resort Residence,Sale,509000.0,4,4,2780,Siti Nurhaliza
Clover II Resort Residence,Sale,611000.0,4,4,2586,Lex Ho
Clover II Resort Residence,Sale,638999.0,4,4,2798,Lex Ho
Clover II Resort Residence,Sale,622000.0,4,4,2586,Agnes Wong
Clover II Resort Residence,Sale,628888.0,4,4,2586,Joey Toh
Clover II Resort Residence,Rent,1500.0,4,4,2856,Rid Afzal
Balista,Sale,990000.0,4,4,1920,Fadilah Yusoff
Balista,Sale,490000.0,5,5,3500,Emma Wong
Balista,Rent,1500.0,4,4,2835,Jackson Chua
Bandar Springhill,Sale,275000.0,4,3,1600,Hendric .
Bandar Springhill,Sale,200000.0,3,2,1200,Nalhalim Othman
Bandar Springhill,Sale,230000.0,3,2,1280,Dr. Laily Rashid
Bandar Springhill,Sale,215000.0,3,2,832,Khadijah Zakaria
Bandar Springhill,Sale,1500000.0,4,3,2970,Alicia Chan
Bandar Springhill,Sale,480000.0,4,4,2600,Connie Lim
Bandar Springhill,Sale,433000.0,4,4,2600,Connie Lim
Bandar Springhill,Sale,220000.0,3,2,1281,Khadijah Zakaria
Bandar Springhill,Sale,225000.0,3,2,800,Muhammad Fahid Fitlla
Bandar Springhill,Sale,220000.0,3,2,1040,Khadijah Zakaria
Bandar Springhill,Sale,225000.0,3,2,800,Fauran Nawawi
Bandar Springhill,Sale,220000.0,3,2,1040,Khadijah Zakaria
Bandar Springhill,Rent,1350.0,4,3,1600,BC Lee
Bandar Springhill,Rent,2100.0,4,3,1400,BC Lee
Bandar Springhill,Rent,2300.0,4,3,1400,Mohd Safuan Sidin
Bandar Springhill,Rent,2300.0,5,3,1400,Mohd Rizalman
