PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Sathu Terraces,Sale,1500000.0,4,4,2360,Amanda Lam
Sathu Terraces,Sale,2000000.0,4,4,2360,Amanda Lam
Sathu Terraces,Sale,1600000.0,5,4,3000,Png Lee Peng
Sathu Terraces,Sale,2200000.0,4,3,2780,Ivan Chia
Sathu Terraces,Sale,1600000.0,5,4,3000,Ivan Chia
Sathu Terraces,Sale,1600000.0,5,4,3000,Png Lee Peng
Sathu Terraces,Sale,2000000.0,4,4,2756,Jake Khoo
Sathu Terraces,Sale,1400000.0,4,4,2756,Jake Khoo
Sathu Terraces,Sale,1400000.0,4,4,2360,Zhonl Saw Boon Loong
Sathu Terraces,Sale,1600000.0,4,4,3000,Siang .
Sathu Terraces,Sale,1900000.0,5,3,2756,Zhonl Saw Boon Loong
Sathu Terraces,Sale,1980000.0,4,4,2780,Zhonl Saw Boon Loong
Sathu Terraces,Sale,1600000.0,5,4,3000,Zhonl Saw Boon Loong
Sathu Terraces,Sale,1600000.0,4,8,2360,Calvin Yeoh
Sathu Terraces,Sale,1900000.0,5,4,1378,Anson Low
Sathu Terraces,Sale,1600000.0,4,8,2360,Calvin Yeoh
Sathu Terraces,Sale,1450000.0,4,4,2360,Adrian Choo
Sathu Terraces,Sale,1600000.0,5,4,3000,Millie Chew
Sathu Terraces,Sale,1440000.0,4,4,2360,Millie Chew
Sathu Terraces,Sale,1900000.0,4,4,2770,Jin Lim
Sathu Terraces,Sale,1400000.0,4,4,2360,Alex Cheah
Sathu Terraces,Sale,1500000.0,4,4,2360,Ivan Chia
Sathu Terraces,Sale,1400000.0,4,4,2360,Zhonl Saw Boon Loong
Sathu Terraces,Sale,1450000.0,4,4,2360,Mike Kheoh
Sathu Terraces,Sale,1900000.0,4,4,2780,Amanda Lam
Sathu Terraces,Sale,1600000.0,5,4,3000,Tavyi Poh
Sathu Terraces,Sale,1600000.0,4,3,2800,Alisson Chew
Sathu Terraces,Sale,1450000.0,4,3,2360,Ivan Chia
Sathu Terraces,Sale,1900000.0,6,4,2700,Ivan Chia
Sathu Terraces,Sale,1400000.0,4,4,2360,Dicorin .
Sathu Terraces,Sale,1500000.0,4,4,2360,Zhonl Saw Boon Loong
Sathu Terraces,Sale,1400000.0,4,4,2360,Adrian Foo
Sathu Terraces,Sale,1600000.0,5,4,3000,May Chiam Khooi Bee
Sathu Terraces,Sale,1600000.0,5,4,3000,Loh EC
Sathu Terraces,Sale,1400000.0,4,4,2360,Warren Yong
Sathu Terraces,Sale,1500000.0,4,4,2360,Zhonl Saw Boon Loong
Sathu Terraces,Sale,1400000.0,4,4,2360,Aaron Quah
Sathu Terraces,Rent,2300.0,4,3,2390,Matthew Low
Sunway Aspera,Sale,750000.0,4,3,1800,Zhonl Saw Boon Loong
Sunway Aspera,Sale,850000.0,4,3,2300,RAZALI ABDUL RAHIM
Sunway Aspera,Sale,1080000.0,4,3,2440,David Lee
Sunway Aspera,Sale,880000.0,4,3,1200,Lee .
Sunway Aspera,Sale,1200000.0,5,4,2720,Elaine Ooi
Sunway Aspera,Sale,1200000.0,5,4,2750,Calvin Yeoh
Sunway Aspera,Sale,880000.0,4,3,2572,Calvin Yeoh
Sunway Aspera,Sale,1200000.0,5,4,2750,Calvin Yeoh
Sunway Aspera,Sale,880000.0,4,3,2572,Calvin Yeoh
Sunway Aspera,Sale,1200000.0,5,4,2750,Calvin Yeoh
Sunway Aspera,Sale,880000.0,4,3,1200,WK Yam
Sunway Aspera,Sale,880000.0,4,3,1200,Joshua Lee
Sunway Aspera,Sale,750000.0,4,3,2000,Alex Cheah
Sunway Aspera,Sale,850000.0,5,3,2300,Akmal Rafidi
Sunway Aspera,Sale,790000.0,4,3,1900,CG Tan
Sunway Aspera,Sale,850000.0,5,3,2300,Azura Ghani
Sunway Aspera,Sale,1200000.0,5,4,2500,Dave Soon
Sunway Aspera,Sale,850000.0,4,3,2300,WK Yam
Sunway Aspera,Sale,1200000.0,5,4,3000,Joshua Ong
Vanilla Bay,Sale,680000.0,4,3,1600,Zhonl Saw Boon Loong
Vanilla Bay,Sale,600000.0,4,3,1800,Alex Cheah
Vanilla Bay,Sale,600000.0,4,3,1800,Rex Tung
Vanilla Bay,Sale,650000.0,4,3,1800,Sean Lim
Eco Meadows – Northampton Terraces,Sale,898000.0,4,3,2000,Felicia Poh
Eco Meadows – Northampton Terraces,Sale,699000.0,4,3,1800,Jayden Tan
Eco Meadows – Northampton Terraces,Sale,900000.0,4,4,2206,Jayden Tan
Eco Meadows – Northampton Terraces,Sale,685000.0,4,3,1800,Jayden Tan
Eco Meadows – Northampton Terraces,Sale,788000.0,4,4,2206,Jayden Tan
Eco Meadows – Northampton Terraces,Sale,738000.0,4,3,1800,Jayden Tan
Eco Meadows – Northampton Terraces,Sale,738000.0,4,3,1800,Jayden Tan
Eco Meadows – Northampton Terraces,Sale,788000.0,4,4,2206,Jake Khoo
Eco Meadows – Northampton Terraces,Sale,685000.0,4,3,1800,Jake Khoo
Eco Meadows – Northampton Terraces,Sale,895000.0,4,3,2555,Jake Khoo
Eco Meadows – Northampton Terraces,Sale,699000.0,4,3,2206,Jake Khoo
Eco Meadows – Northampton Terraces,Sale,700000.0,4,3,2206,Jake Khoo
Eco Meadows – Northampton Terraces,Sale,900000.0,4,3,1800,Jake Khoo
Eco Meadows – Northampton Terraces,Sale,888000.0,4,3,2500,Lissa Ooi
Eco Meadows – Northampton Terraces,Sale,940000.0,4,3,3080,Jocelyn Neoh
Eco Meadows – Northampton Terraces,Sale,648000.0,4,3,2300,Charles Chaw
Eco Meadows – Northampton Terraces,Sale,940000.0,4,3,2206,Frankie Tan
Eco Meadows – Northampton Terraces,Sale,880000.0,4,3,2000,Anders Ong
Eco Meadows – Northampton Terraces,Sale,778000.0,4,4,2200,Anders Ong
Eco Meadows – Northampton Terraces,Sale,888000.0,4,3,2200,Anders Ong
Eco Meadows – Northampton Terraces,Sale,768000.0,4,4,2200,Anders Ong
Eco Meadows – Northampton Terraces,Sale,858000.0,4,3,2000,Anders Ong
Eco Meadows – Northampton Terraces,Sale,700000.0,4,3,2000,Anders Ong
Eco Meadows – Northampton Terraces,Sale,690000.0,4,3,2000,Roy Kuak
Eco Meadows – Northampton Terraces,Sale,890000.0,4,4,2006,Roy Kuak
Eco Meadows – Northampton Terraces,Sale,1300000.0,4,3,2006,Roy Kuak
Eco Meadows – Northampton Terraces,Sale,895000.0,4,3,1400,WK Yam
Eco Meadows – Northampton Terraces,Sale,699000.0,4,3,2000,Low Wei Heng
Eco Meadows – Northampton Terraces,Sale,685000.0,4,3,2206,Low Wei Heng
Eco Meadows – Northampton Terraces,Sale,788000.0,4,4,2206,Roy Kuak
Eco Meadows – Northampton Terraces,Sale,699000.0,4,3,2026,Chris Huah
Eco Meadows – Northampton Terraces,Rent,2500.0,4,3,1400,Sunny Yang
Eco Meadows – Northampton Terraces,Rent,2300.0,4,3,1400,Weng Sern
Eco Meadows – Northampton Terraces,Rent,1900.0,4,3,1800,Jayden Tan
Eco Meadows – Northampton Terraces,Rent,2900.0,4,3,1800,Jayden Tan
Eco Meadows – Northampton Terraces,Rent,2300.0,4,3,1800,Sunny Yang
Eco Meadows – Northampton Terraces,Rent,2400.0,4,3,1800,Jayden Tan
Eco Meadows – Northampton Terraces,Rent,1800.0,4,3,1600,Roy Kuak
Eco Meadows – Northampton Terraces,Rent,2900.0,4,3,1400,Elson Dee
Eco Meadows – Northampton Terraces,Rent,2300.0,4,3,1400,Elson Dee
Eco Meadows – Northampton Terraces,Rent,2900.0,4,3,2206,Jake Khoo
Eco Meadows – Northampton Terraces,Rent,1900.0,4,3,1800,Jake Khoo
Eco Meadows – Northampton Terraces,Rent,1700.0,4,3,2000,Lucas Tan
