PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,176000.0,3,2,900,Aynal Maryam
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,230900.0,3,2,920,Ita .
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,221000.0,3,2,900,Nurul Property
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,171000.0,3,2,900,Syaza Zamry
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,204250.0,3,2,980,Khairul Safuan
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,179800.0,3,2,900,Syaza Zamry
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,179800.0,3,2,900,Zulrizqhartanah .
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,179800.0,3,2,1300,Afif Khalib
LTI Fasa 2 @ Lagenda Teluk Intan,Sale,171000.0,3,2,1300,Aynal Maryam
Residensi Sungai Raia,Sale,185000.0,4,2,1100,Mohamad Irwan
Residensi Sungai Raia,Sale,195000.0,3,2,1400,Mohamad Irwan
Residensi Sungai Raia,Sale,173000.0,4,2,1540,Mohamad Irwan
Tiara Lake Park - 10T2,Sale,520000.0,4,4,2450,Lucas Yau
Tiara Lake Park - 10T2,Sale,530000.0,4,4,2300,Yeo Chin Lay
Tiara Lake Park - 10T2,Sale,580000.0,4,3,2293,Jessey Ng
Tiara Lake Park - 10T2,Sale,450000.0,4,4,1760,Alan Leong
Tiara Lake Park - 10T2,Sale,520000.0,4,4,1400,Alan Leong
Tiara Lake Park - 10T2,Sale,438000.0,4,3,2800,Vincent Chin
Tiara Lake Park - 10T2,Sale,370000.0,4,3,1200,Jasmine Seow
Tiara Lake Park - 10T2,Sale,380000.0,4,3,1200,Christine Lee
Bandar Baru Setia Awan Perdana (BBSAP),Sale,179800.0,3,2,1063,Ita .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,188405.0,3,2,1060,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240610.0,4,3,1060,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,192000.0,3,2,900,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,201000.0,3,2,880,Farhan Bakar
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,190000.0,3,2,900,Syahidani Suhaimi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240000.0,4,3,1400,Atikah Amirah
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,3,800,Khairul Safuan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,185000.0,3,2,900,Farhan Bakar
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohd Zakhiruddin Bin Zulkifli
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Suryati Tohid
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Faiz .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,270000.0,4,3,1950,Faiz .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,185000.0,3,2,900,Redzuan Ahmad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198405.0,3,2,900,Sariza Hartanah
Bandar Baru Setia Awan Perdana (BBSAP),Sale,185000.0,3,2,900,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240610.0,4,3,1903,Mohd Zulhilmi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohd Zulhilmi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,215000.0,3,2,1200,Kok Beng Hui
Bandar Baru Setia Awan Perdana (BBSAP),Sale,190000.0,3,2,900,Mohd Nasharil
