PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Precinct 14 @ Putrajaya,Sale,398888.0,4,4,2950,James Tan
Precinct 14 @ Putrajaya,Sale,435888.0,4,4,2580,Joey Toh
Precinct 14 @ Putrajaya,Sale,480000.0,4,4,2600,Connie Lim
Precinct 14 @ Putrajaya,Sale,3400000.0,6,6,6832,Zaiful Ismail
Precinct 14 @ Putrajaya,Sale,2600000.0,6,6,4800,Fairuz Izhhar
Precinct 14 @ Putrajaya,Sale,339000.0,4,4,2650,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,850000.0,4,3,2600,Izza Samsudin
Precinct 14 @ Putrajaya,Sale,2600000.0,6,6,4800,Muhammad Faeiz Mohd Zin
Precinct 14 @ Putrajaya,Sale,433000.0,4,4,2874,Kayden Lim
Precinct 14 @ Putrajaya,Sale,1035000.0,5,4,2400,Abdul Mun'im Abdul Rahman
Precinct 14 @ Putrajaya,Sale,950000.0,4,4,2500,Mohd Nazri Roslan
Precinct 14 @ Putrajaya,Sale,950000.0,5,4,2500,Syahmi Khadari
Precinct 14 @ Putrajaya,Sale,450000.0,4,4,2600,James Tan
Precinct 14 @ Putrajaya,Sale,1100000.0,4,3,1900,BILYA ARIFF
Precinct 14 @ Putrajaya,Sale,758000.0,4,4,2458,Alan Lai
Precinct 14 @ Putrajaya,Sale,568888.0,4,4,2650,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,408000.0,4,4,2380,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,420000.0,4,4,2800,James Tan
Precinct 14 @ Putrajaya,Sale,2600000.0,6,6,4800,Aimi Zamzuri
Precinct 14 @ Putrajaya,Sale,1300000.0,5,5,2900,BURHANUDDIN Mat sakam
Precinct 14 @ Putrajaya,Sale,406666.0,4,4,2160,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,1400000.0,5,5,2800,Najah .
Precinct 14 @ Putrajaya,Sale,2600000.0,7,6,4800,Fadilah Yusoff
Precinct 14 @ Putrajaya,Sale,403000.0,4,4,2530,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,430000.0,4,4,2800,Joey Toh
Precinct 14 @ Putrajaya,Sale,940000.0,4,3,2500,Siti Fatimah
Precinct 14 @ Putrajaya,Sale,376888.0,4,4,2250,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,406000.0,4,4,2188,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,568888.0,4,4,2788,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,950000.0,5,4,2500,Riduan Supian
Precinct 14 @ Putrajaya,Sale,476888.0,4,4,2344,Eddy .
Precinct 14 @ Putrajaya,Sale,520000.0,4,4,2600,Connie Lim
Precinct 14 @ Putrajaya,Sale,9360000.0,7,7,11796,Sean Seng
Precinct 14 @ Putrajaya,Sale,398888.0,4,4,2580,Sam Sim
Precinct 14 @ Putrajaya,Sale,586000.0,4,4,2380,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,388000.0,4,4,2280,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,510000.0,4,4,2780,Clarise Tee
Precinct 14 @ Putrajaya,Sale,455000.0,4,4,2800,Edmond Chen
Precinct 14 @ Putrajaya,Sale,498888.0,4,4,2680,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,435000.0,4,4,2200,James Tan
Precinct 14 @ Putrajaya,Sale,406666.0,4,4,2160,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,1400000.0,5,5,2800,Najah .
Precinct 14 @ Putrajaya,Sale,2600000.0,7,6,4800,Fadilah Yusoff
Precinct 14 @ Putrajaya,Sale,403000.0,4,4,2530,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,430000.0,4,4,2800,Joey Toh
Precinct 14 @ Putrajaya,Sale,940000.0,4,3,2500,Siti Fatimah
Precinct 14 @ Putrajaya,Sale,376888.0,4,4,2250,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,406000.0,4,4,2188,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,568888.0,4,4,2788,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,950000.0,5,4,2500,Riduan Supian
Precinct 14 @ Putrajaya,Sale,476888.0,4,4,2344,Eddy .
Precinct 14 @ Putrajaya,Sale,520000.0,4,4,2600,Connie Lim
Precinct 14 @ Putrajaya,Sale,9360000.0,7,7,11796,Sean Seng
Precinct 14 @ Putrajaya,Sale,398888.0,4,4,2580,Sam Sim
Precinct 14 @ Putrajaya,Sale,586000.0,4,4,2380,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,388000.0,4,4,2280,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,510000.0,4,4,2780,Clarise Tee
Precinct 14 @ Putrajaya,Sale,455000.0,4,4,2800,Edmond Chen
Precinct 14 @ Putrajaya,Sale,498888.0,4,4,2680,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,435000.0,4,4,2200,James Tan
Precinct 14 @ Putrajaya,Rent,2100.0,4,3,2000,Bryan Wong
