PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
"UDA Heights, Urban Villa",Sale,1980000.0,7,5,10161,Ron Wong
"UDA Heights, Urban Villa",Sale,3500000.0,8,8,5000,Nicholas Ong
"UDA Heights, Urban Villa",Sale,2750000.0,6,6,3948,Low Wei Chao
"UDA Heights, Urban Villa",Sale,2750000.0,6,6,3948,U Hon Kun
"UDA Heights, Urban Villa",Sale,3500000.0,8,8,6000,Joseph Tan
"UDA Heights, Urban Villa",Sale,3500000.0,8,8,5000,Mohamad Haziq Bin Md. Dolkarnain
"UDA Heights, Urban Villa",Sale,3500000.0,8,8,5000,Onion Teng
"UDA Heights, Urban Villa",Sale,3500000.0,8,8,5000,LZ Cong
"UDA Heights, Urban Villa",Sale,3500000.0,8,8,5000,Low Chia Hue
"UDA Heights, Urban Villa",Sale,3500000.0,8,8,5000,Max Keng
"UDA Heights, Urban Villa",Sale,3500000.0,8,8,5000,YUYIN POH
Bayou Creek @ Leisure Farm,Sale,1480000.0,4,5,3500,Carine Wong
Bayou Creek @ Leisure Farm,Sale,1480000.0,4,5,3500,Deric Ng
Bayou Creek @ Leisure Farm,Sale,3270000.0,5,7,4404,Sumi Tio
Bayou Creek @ Leisure Farm,Sale,3150000.0,5,6,4120,Katherine Leow
Bayou Creek @ Leisure Farm,Sale,1808000.0,4,5,3721,Katherine Leow
Bayou Creek @ Leisure Farm,Sale,1700000.0,5,5,3500,Katherine Leow
Bayou Creek @ Leisure Farm,Sale,3150000.0,6,6,4120,Rachel See
Bayou Creek @ Leisure Farm,Sale,3150000.0,6,6,4120,Joaan Eng
Bayou Creek @ Leisure Farm,Sale,2300000.0,5,6,5249,Jacelyn Ng
Bayou Creek @ Leisure Farm,Sale,2300000.0,4,4,4391,Bk .
Bayou Creek @ Leisure Farm,Sale,1480000.0,5,5,3500,Doreen Wong
Bayou Creek @ Leisure Farm,Sale,2800000.0,5,5,13000,FM Sam
Bayou Creek @ Leisure Farm,Sale,1480000.0,5,5,3500,Stacey Ong
Bayou Creek @ Leisure Farm,Sale,3200000.0,6,5,5500,Rachel See
Bayou Creek @ Leisure Farm,Sale,1700000.0,5,5,3500,Kia .
Bayou Creek @ Leisure Farm,Sale,3680000.0,5,6,4500,Angel Lee
Bayou Creek @ Leisure Farm,Sale,3380000.0,5,6,9400,Phoebe Foo
Bayou Creek @ Leisure Farm,Sale,3000000.0,5,5,5000,Phoebe Foo
Bayou Creek @ Leisure Farm,Sale,1700000.0,5,5,3500,Phoebe Foo
Bayou Creek @ Leisure Farm,Sale,422900.0,4,3,1539,Gabriel Wong
Bayou Creek @ Leisure Farm,Sale,1850000.0,3,3,2203,K.K Lai
Bayou Creek @ Leisure Farm,Sale,2990000.0,5,5,5000,Lavine Beh
Bayou Creek @ Leisure Farm,Sale,422900.0,4,3,1539,Fion Cheong
Bayou Creek @ Leisure Farm,Sale,1700000.0,5,5,3500,Jeff Lim
Bayou Creek @ Leisure Farm,Sale,800000.0,4,3,1500,MJ Lai
