PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Green Beverly Hills,Sale,450000.0,3,2,1816,Kian Leap
Green Beverly Hills,Sale,480000.0,3,2,1044,Chrix Soo
Green Beverly Hills,Sale,2400000.0,6,6,5000,Chrix Soo
Green Beverly Hills,Sale,640000.0,4,3,1816,Chrix Soo
Green Beverly Hills,Sale,440000.0,3,2,1077,Chrix Soo
Green Beverly Hills,Sale,560000.0,3,2,1596,Chrix Soo
Green Beverly Hills,Sale,320000.0,2,2,932,Chrix Soo
Green Beverly Hills,Sale,300000.0,2,2,951,Chrix Soo
Green Beverly Hills,Sale,600000.0,3,3,1816,Chrix Soo
Green Beverly Hills,Sale,600000.0,3,3,1816,Athena Cho
Green Beverly Hills,Sale,310500.0,3,2,958,Jason Tang
Green Beverly Hills,Sale,2000000.0,6,6,4000,Rasyadan Hussin
Green Beverly Hills,Sale,310500.0,2,2,958,Jack Chia
Green Beverly Hills,Sale,320000.0,2,2,932,Athena Cho
Green Beverly Hills,Sale,2400000.0,6,6,5000,Athena Cho
Green Beverly Hills,Sale,440000.0,3,2,1077,Athena Cho
Green Beverly Hills,Sale,560000.0,3,3,1596,Athena Cho
Green Beverly Hills,Sale,640000.0,4,3,1816,Athena Cho
Green Beverly Hills,Sale,300000.0,2,2,951,Athena Cho
Green Beverly Hills,Sale,480000.0,3,2,1044,Athena Cho
Green Beverly Hills,Sale,360000.0,2,2,721,P M Chan
Green Beverly Hills,Rent,1500.0,2,2,940,Jeffrey Yap
Green Beverly Hills,Rent,1350.0,2,2,952,Jason Lii
Green Beverly Hills,Rent,1500.0,2,2,940,Jeffrey Yap
Green Beverly Hills,Rent,1700.0,2,2,932,Muhammad Hazim Bin Ismail
Green Beverly Hills,Rent,1200.0,2,2,952,Chrix Soo
Green Beverly Hills,Rent,1200.0,2,2,952,Athena Cho
Green Beverly Hills,Rent,1900.0,3,3,1816,Chrix Soo
Green Beverly Hills,Rent,1900.0,3,3,1816,Athena Cho
Green Beverly Hills,Rent,1500.0,2,2,940,Jeffrey Yap
Green Beverly Hills,Rent,2200.0,3,2,1596,Michael Ooi
Green Beverly Hills,Rent,1800.0,3,2,1077,Michael Ooi
Green Beverly Hills,Rent,1500.0,2,2,940,Jeffrey Yap
Green Beverly Hills,Rent,1500.0,2,2,932,Danny Shoa
Green Beverly Hills,Rent,1500.0,2,2,940,Jeffrey Yap
Green Beverly Hills,Rent,1700.0,2,2,952,Firdhaus Roslan
Green Beverly Hills,Rent,1600.0,2,2,932,Firdhaus Roslan
Green Beverly Hills,Rent,2000.0,3,2,1596,Firdhaus Roslan
Green Beverly Hills,Rent,1500.0,2,2,940,Jeffrey Yap
Kota Seriemas,Sale,750000.0,4,3,2228,Muhammad Fahid Fitlla
Kota Seriemas,Sale,1590000.0,6,7,3666,Muhd Fahmie
Kota Seriemas,Sale,280000.0,,,5600,Adilah Adib
Kota Seriemas,Sale,280000.0,,,5600,Mohamad Hafiz Abdul Basher
Kota Seriemas,Sale,460000.0,4,3,2200,Anas Ashaari
Kota Seriemas,Sale,700000.0,4,4,3387,Mohd Syazwan
Kota Seriemas,Sale,274000.0,,,4983,Adilah Adib
Kota Seriemas,Sale,700000.0,4,4,1930,Mohamad Khaidir Shah Md Razak
Kota Seriemas,Sale,490000.0,4,4,1727,NoorisHaris .
Kota Seriemas,Sale,1590000.0,6,7,3666,Shamzjoe .
Kota Seriemas,Sale,650000.0,3,4,2000,Alif Saad
Kota Seriemas,Sale,750000.0,4,3,2228,Syahmi Khadari
Kota Seriemas,Sale,1400000.0,5,6,4517,Muhammad Hafidz
Kota Seriemas,Sale,890000.0,4,3,2228,Ahmad Fadlee
Kota Seriemas,Sale,249000.0,,,5200,Norhuda Ab Rahman
Kota Seriemas,Sale,650000.0,3,4,1680,Fikri Yasmin
Kota Seriemas,Sale,750000.0,4,4,2000,Wan Rafizal
Kota Seriemas,Sale,470000.0,4,4,1620,Chrix Soo
Kota Seriemas,Sale,1590000.0,6,7,3666,Mh Haffiz
Kota Seriemas,Sale,870000.0,4,3,2500,Ahmad Fikri Amer Hamzah
Kota Seriemas,Sale,1590000.0,6,7,3666,Mohd Syazwan
Kota Seriemas,Sale,460000.0,4,3,2200,Najibah Sahari
Kota Seriemas,Sale,460000.0,4,3,2200,Yasmin Sulaiman
Kota Seriemas,Sale,1600000.0,6,7,3866,Nadirah Azmi .
Kota Seriemas,Sale,1750000.0,6,7,3650,Zarif Zahisham
Kota Seriemas,Sale,525000.0,3,3,1540,Ainun Duyal
Kota Seriemas,Sale,525000.0,3,3,1540,Aini Rafiqah
Kota Seriemas,Sale,525000.0,3,3,1540,mohd zamri mohd duyalmi
Kota Seriemas,Sale,470000.0,4,4,1620,Athena Cho
Kota Seriemas,Sale,485000.0,4,4,2600,Connie Lim
Kota Seriemas,Sale,870000.0,4,3,2228,Rahman Isa
Kota Seriemas,Sale,750000.0,4,3,2228,Afiq Anuar
