PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Danau Mutiara @ Presint 16 Putrajaya,Sale,3050000.0,6,6,4218,Fatma Hani Hussin
Danau Mutiara @ Presint 16 Putrajaya,Sale,2700000.0,6,6,5154,Fatma Hani Hussin
Danau Mutiara @ Presint 16 Putrajaya,Sale,2400000.0,6,5,4212,Riduan Supian
Danau Mutiara @ Presint 16 Putrajaya,Sale,2580000.0,7,6,5154,Adam Foo
Danau Mutiara @ Presint 16 Putrajaya,Sale,2580000.0,6,6,5154,Jason Choy Kok Leong
Danau Mutiara @ Presint 16 Putrajaya,Sale,3000000.0,6,6,4218,Esyam Halim
Danau Mutiara @ Presint 16 Putrajaya,Sale,2400000.0,6,5,4212,Fazie Noor
Danau Mutiara @ Presint 16 Putrajaya,Sale,2500000.0,6,6,4218,Fadilah Yusoff
Danau Mutiara @ Presint 16 Putrajaya,Sale,470000.0,3,3,1722,Jocelyn Mak
Danau Mutiara @ Presint 16 Putrajaya,Sale,2550000.0,6,6,4496,Fadilah Yusoff
Danau Mutiara @ Presint 16 Putrajaya,Sale,2700000.0,6,6,5154,Fatma Hani Hussin
Danau Mutiara @ Presint 16 Putrajaya,Sale,850000.0,6,5,3010,James TanCP
Danau Mutiara @ Presint 16 Putrajaya,Sale,2700000.0,6,6,5154,Afnee .
