PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Sunway Rydgeway,Sale,2300000.0,5,4,3433.0,Azizol .
Sunway Rydgeway,Sale,3188888.0,5,6,5629.0,James Tan
Sunway Rydgeway,Sale,2300000.0,5,4,3500.0,Hugo Gooi
Sunway Rydgeway,Sale,2700000.0,4,5,3600.0,YK. Ho
Sunway Rydgeway,Sale,2250000.0,5,6,5345.0,YK. Ho
Sunway Rydgeway,Sale,2450000.0,6,6,5345.0,Adam Foo
Sunway Rydgeway,Sale,2980000.0,6,6,5038.0,Ras Shaz
Sunway Rydgeway,Sale,2230000.0,4,5,3600.0,Alan Chin
Sunway Rydgeway,Sale,2400000.0,6,6,5345.0,Ras Shaz
Sunway Rydgeway,Sale,2200000.0,5,5,3600.0,Irsyard Anhar
Sunway Rydgeway,Sale,2200000.0,5,5,3600.0,Muhamad Bukhairi Samsudin
Sunway Rydgeway,Sale,2195000.0,5,6,5500.0,Kay Nizham
Sunway Rydgeway,Sale,2196000.0,6,5,5300.0,Kay Nizham
Sunway Rydgeway,Sale,2200000.0,6,5,5500.0,Kay Nizham
Sunway Rydgeway,Sale,2250000.0,6,5,5340.0,Kay Nizham
Sunway Rydgeway,Sale,2200000.0,5,6,5350.0,Kay Nizham
Sunway Rydgeway,Sale,1999000.0,5,5,3643.0,Mohd Khairil Fitri
Sunway Rydgeway,Sale,2600000.0,5,5,3643.0,Farah Kamal
Sunway Rydgeway,Sale,2290000.0,6,6,5345.0,Calvin Tan
Sunway Rydgeway,Sale,4800000.0,6,6,5039.0,Alan Chin
Sunway Rydgeway,Sale,2000000.0,6,6,5600.0,Rashid Sukri
Sunway Rydgeway,Sale,2600000.0,6,6,5345.0,Khairil Anwar Sirajudin
Sunway Rydgeway,Sale,2600000.0,5,5,3390.0,William Wong
Sunway Rydgeway,Sale,2300000.0,6,6,5600.0,Rashid Sukri
Sunway Rydgeway,Sale,2300000.0,6,6,5600.0,Rashid Sukri
Sunway Rydgeway,Sale,1890000.0,5,5,3900.0,Rashid Sukri
Sunway Rydgeway,Sale,2200000.0,5,5,3600.0,Mohamad Hafiz Abdul Basher
Sunway Rydgeway,Sale,2250000.0,5,6,5345.0,YK. Ho
Sunway Rydgeway,Sale,2700000.0,4,5,3600.0,YK. Ho
Sunway Rydgeway,Sale,2300000.0,6,6,5345.0,Calvin Tan
Sunway Rydgeway,Sale,2200000.0,5,5,3600.0,Mohd Syahidie
Sunway Rydgeway,Sale,3950000.0,6,7,6000.0,Welson Moo
Sunway Rydgeway,Sale,4800000.0,6,6,5039.0,Welson Moo
Sunway Rydgeway,Sale,2400000.0,6,6,5345.0,Welson Moo
Sunway Rydgeway,Sale,2700000.0,5,5,3600.0,Welson Moo
Sunway Rydgeway,Sale,1800000.0,5,6,3900.0,Rashid Sukri
Sunway Rydgeway,Sale,2000000.0,5,5,3434.0,Habib Rehmen
Sunway Rydgeway,Sale,2200000.0,5,5,3600.0,Zulfarhan Sama Jamal
Sunway Rydgeway,Sale,2220000.0,6,6,4800.0,Rashid Sukri
Sunway Rydgeway,Sale,2250000.0,6,6,5600.0,Rashid Sukri
Sunway Rydgeway,Sale,2600000.0,5,5,3890.0,William Wong
Sunway Rydgeway,Sale,3950000.0,7,7,6000.0,Cindy Chuah
