PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Amberside @ Country Garden Danga Bay,Sale,570000.0,2,2,882,Jessy Yip
Amberside @ Country Garden Danga Bay,Sale,570000.0,2,2,875,Caleb Yeo
Amberside @ Country Garden Danga Bay,Sale,345000.0,Studio,Studio,475,Sow .
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,3,1249,Victor Chia
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,2,1226,Ang Boon Chai
Amberside @ Country Garden Danga Bay,Sale,1300000.0,3,3,1488,Ang Boon Chai
Amberside @ Country Garden Danga Bay,Sale,570000.0,2,2,875,Ang Boon Chai
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,739,Ang Boon Chai
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,2,875,Purple Heng
Amberside @ Country Garden Danga Bay,Sale,1300000.0,4,4,1474,Victor Chia
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,2,875,Agnes Lee
Amberside @ Country Garden Danga Bay,Sale,340000.0,Studio,Studio,472,Jay Pun
Amberside @ Country Garden Danga Bay,Sale,345000.0,1,1,472,Jessy Yip
Amberside @ Country Garden Danga Bay,Sale,400000.0,2,1,721,CS Tan
Amberside @ Country Garden Danga Bay,Sale,335000.0,Studio,Studio,500,Phoebe Foo
Amberside @ Country Garden Danga Bay,Sale,425000.0,2,1,698,Philip Shaik
Amberside @ Country Garden Danga Bay,Sale,340000.0,Studio,Studio,521,Philip Shaik
Amberside @ Country Garden Danga Bay,Sale,345000.0,1,1,472,Purple Heng
Amberside @ Country Garden Danga Bay,Sale,345000.0,Studio,Studio,466,Purple Heng
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,3,1264,Purple Heng
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,699,Purple Heng
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,2,1270,Ricky Woo
Amberside @ Country Garden Danga Bay,Sale,570000.0,2,2,875,Ricky Woo
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,699,Ricky Woo
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,2,875,Anson Hiong
Amberside @ Country Garden Danga Bay,Sale,340000.0,1,1,472,Vivian Sim
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,3,1232,June Lim
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,700,Kee Wong
Amberside @ Country Garden Danga Bay,Sale,820000.0,3,3,1226,Anson Hiong
Amberside @ Country Garden Danga Bay,Sale,520000.0,2,2,700,Doris Ng
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,3,1249,Gucca Tay
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,3,1249,Gucca Tay
Amberside @ Country Garden Danga Bay,Sale,565000.0,3,2,699,Robbie Tan
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,700,Sean Lee
Amberside @ Country Garden Danga Bay,Sale,570000.0,2,2,850,Elaine Goh
Amberside @ Country Garden Danga Bay,Sale,380000.0,1,1,472,Serene Chua
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,2,1249,Angie Wong
Amberside @ Country Garden Danga Bay,Sale,345000.0,1,1,407,Sharon Chong
Amberside @ Country Garden Danga Bay,Sale,570000.0,2,2,850,Sharon Ong
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,2,1300,Sharon Ong
Amberside @ Country Garden Danga Bay,Sale,580000.0,2,2,850,Sharon Ong
Amberside @ Country Garden Danga Bay,Sale,520000.0,2,2,700,Doris Ng
Amberside @ Country Garden Danga Bay,Sale,335000.0,Studio,Studio,465,Shirley Yap
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,2,1291,Lucas Loh
Amberside @ Country Garden Danga Bay,Sale,335000.0,Studio,Studio,500,James Ng
Amberside @ Country Garden Danga Bay,Sale,570000.0,2,2,875,Tan Bing Yi
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,732,Tan Bing Yi
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,705,Deven Thye
Amberside @ Country Garden Danga Bay,Sale,570450.0,2,2,850,Sharon Ong
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,700,Ben Eu
Amberside @ Country Garden Danga Bay,Sale,699000.0,2,2,816,Shawn Tee
Amberside @ Country Garden Danga Bay,Sale,330000.0,1,1,472,Jane Ngoi
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,722,Sow .
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,1,699,Kelvin Lim
Amberside @ Country Garden Danga Bay,Sale,570000.0,2,2,882,Sow .
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,3,1232,Sow .
Amberside @ Country Garden Danga Bay,Sale,345000.0,Studio,Studio,466,Penny Lee
Amberside @ Country Garden Danga Bay,Sale,335000.0,Studio,Studio,484,Ang Boon Chai
Amberside @ Country Garden Danga Bay,Sale,335000.0,Studio,Studio,599,Jesrene Loh
Amberside @ Country Garden Danga Bay,Sale,530000.0,2,2,700,Doris Ng
Amberside @ Country Garden Danga Bay,Sale,335000.0,Studio,Studio,450,William Pang
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,3,1237,Woo Wei Jie
Amberside @ Country Garden Danga Bay,Sale,850000.0,3,3,1250,Lucas Loh
Amberside @ Country Garden Danga Bay,Sale,485000.0,Studio,Studio,473,Kinki Loh
Amberside @ Country Garden Danga Bay,Sale,1000000.0,3,3,1237,Irene Tan
Amberside @ Country Garden Danga Bay,Sale,335000.0,Studio,Studio,465,Wan Ning
