PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Selat Horizon,Sale,258000.0,3,2,979,Kelvin Chia
Selat Horizon,Sale,279000.0,3,2,1000,Mathias Tan
Selat Horizon,Sale,250000.0,3,2,979,Shawn Teh
Selat Horizon,Sale,298000.0,3,2,968,HG KOH
Selat Horizon,Sale,228000.0,3,2,968,Yeong .
Selat Horizon,Sale,325000.0,3,2,1200,Kellyn Foo
Selat Horizon,Sale,265000.0,3,2,1000,Jordan Lee
Selat Horizon,Sale,330000.0,3,2,1100,Jordan Lee
Selat Horizon,Sale,265000.0,3,2,986,BL Bong
Selat Horizon,Sale,278000.0,3,2,988,B Fong Law
Selat Horizon,Sale,290000.0,3,2,979,Fiona Woon
Selat Horizon,Sale,328000.0,3,2,1150,Aaron Wong
Selat Horizon,Sale,288000.0,3,2,988,Aiden Teo
Selat Horizon,Sale,288000.0,3,2,970,Aaron Wong
Selat Horizon,Rent,1500.0,3,2,968,HG KOH
Selat Horizon,Rent,1200.0,3,2,1200,Kellyn Foo
Selat Horizon,Rent,1300.0,3,2,1100,Jordan Lee
Selat Horizon,Rent,1300.0,3,2,1000,Jordan Lee
Selat Horizon,Rent,1300.0,3,2,988,Kelvin Chia
Selat Horizon,Rent,1300.0,3,2,988,Eddy Leow
Selat Horizon,Rent,1100.0,3,2,1000,Jordan Lee
Selat Horizon,Rent,1700.0,4,2,1400,B Fong Law
Selat Horizon,Rent,1200.0,3,2,700,Fiona Woon
Pangsapuri Taman Cheng Ria,Sale,175000862.0,3,2,862,Lawrance Lim
Pangsapuri Taman Cheng Ria,Sale,145000.0,3,2,862,Lawrance Lim
Pangsapuri Taman Cheng Ria,Sale,145000.0,3,2,868,Tim Piong
Pangsapuri Taman Cheng Ria,Sale,178000.0,3,2,861,Fiona Woon
Pangsapuri Taman Cheng Ria,Sale,250000.0,3,2,1150,Steven Sor
Pangsapuri Taman Cheng Ria,Sale,100000.0,3,2,861,Raymond Lim PW
Ocean Palms (Permata Idaman),Sale,350000.0,3,2,1033,B Fong Law
Ocean Palms (Permata Idaman),Sale,428000.0,3,2,1410,Kelvin Chia
Ocean Palms (Permata Idaman),Sale,348000.0,2,2,1033,Kellyn Foo
Ocean Palms (Permata Idaman),Sale,2000000.0,4,5,3500,Wesley Tan
Ocean Palms (Permata Idaman),Sale,350000.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Sale,330000.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Sale,370000.0,2,2,1033,BL Bong
Ocean Palms (Permata Idaman),Sale,518000.0,3,2,1440,Sinclair Tan
Ocean Palms (Permata Idaman),Sale,480000.0,3,2,1440,Sinclair Tan
Ocean Palms (Permata Idaman),Sale,488000.0,3,2,1440,Robin Soong
Ocean Palms (Permata Idaman),Sale,360000.0,2,2,1033,BL Bong
Ocean Palms (Permata Idaman),Sale,398000.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Sale,310000.0,2,2,1050,Raymond Lim PW
Ocean Palms (Permata Idaman),Sale,450000.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Sale,398000.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Sale,410000.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Sale,428000.0,3,2,1440,Sinclair Tan
Ocean Palms (Permata Idaman),Sale,398000.0,3,2,1450,Jenny Tai Chen Leen
Ocean Palms (Permata Idaman),Sale,550000.0,3,2,1442,NS Han
Ocean Palms (Permata Idaman),Sale,428000.0,3,2,1460,Raymond Lim PW
Ocean Palms (Permata Idaman),Sale,500000.0,3,2,1442,NS Han
Ocean Palms (Permata Idaman),Sale,330000.0,2,2,1033,Wesley Tan
Ocean Palms (Permata Idaman),Sale,1200000.0,4,5,2766,NS Han
Ocean Palms (Permata Idaman),Sale,460000.0,3,2,1442,NS Han
Ocean Palms (Permata Idaman),Rent,1500.0,2,2,1055,Kenny Tay
Ocean Palms (Permata Idaman),Rent,1600.0,2,2,750,Bee .
Ocean Palms (Permata Idaman),Rent,5500.0,4,6,3509,Steve Wong
Ocean Palms (Permata Idaman),Rent,5500.0,4,6,3509,Steve Wong
Ocean Palms (Permata Idaman),Rent,1900.0,3,2,1500,Mathias Tan
Ocean Palms (Permata Idaman),Rent,1800.0,3,2,1440,Kenny Tay
Ocean Palms (Permata Idaman),Rent,2500.0,3,2,1410,NS Han
Ocean Palms (Permata Idaman),Rent,1200.0,2,2,1033,NS Han
Ocean Palms (Permata Idaman),Rent,1500.0,2,2,1033,Kellyn Foo
Ocean Palms (Permata Idaman),Rent,1200.0,2,2,1033,NS Han
