PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Ramin Apartment,Sale,320000.0,1,1,600,Ernest Chuah
Ramin Apartment,Sale,693120.0,3,2,1216,Cindy Siew
Ramin Apartment,Sale,410000.0,1,1,700,Elisa Bong
Ramin Apartment,Sale,380000.0,1,1,630,Elisa Bong
Ramin Apartment,Sale,315000.0,1,1,600,Elisa Bong
Ramin Apartment,Sale,335000.0,1,1,600,Kelvin Ho
Ramin Apartment,Sale,320000.0,1,1,602,Angie Ng
Villa Indah @ Bukit Tinggi Pahang,Sale,230000.0,2,1,450,HONG .
Villa Indah @ Bukit Tinggi Pahang,Sale,338000.0,3,2,850,Lay Kien
Villa Indah @ Bukit Tinggi Pahang,Sale,400000.0,3,3,1205,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,355000.0,3,3,1200,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,338000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,330000.0,3,2,850,Jennifer Yap
Villa Indah @ Bukit Tinggi Pahang,Sale,345000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,335000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,295000.0,2,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,345000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,295000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,345000.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Sale,330000.0,3,2,850,Zack Tan
Villa Indah @ Bukit Tinggi Pahang,Sale,440000.0,3,3,1507,Shirley Sai
Villa Indah @ Bukit Tinggi Pahang,Sale,300000.0,3,2,850,Azwan Hassan
Villa Indah @ Bukit Tinggi Pahang,Rent,1250.0,3,2,850,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Rent,1200.0,3,3,1400,Jenny Kong
Villa Indah @ Bukit Tinggi Pahang,Rent,1900.0,3,3,1600,Jenny Kong
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Eugene Yap
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Stephanie Tan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Jonathan Raj
Grand Ion Majestic @ Genting Highlands,Sale,950000.0,2,2,850,Bryan Gan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,1,1,320,Ryon Chow
Grand Ion Majestic @ Genting Highlands,Sale,2395000.0,3,3,1500,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,960000.0,3,2,870,Brian .
